id,metric_name,metric_definition,dimension_id,priority,nature,category,direction,digital,unit_of_measurement,weightage,last_updated_date,last_updated_by,type,min_value,max_value
709,Availability,Availability,209,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
710,Session duration,Session duration,209,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
711,Tracking latency across the entire system,Tracking latency across the entire system,209,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
712,Traffic based on demand on the system,Traffic based on demand on the system,209,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
713,Level of saturation ensuring service performance for customers,Level of saturation ensuring service performance for customers,209,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
714,"SLO violation duration graph, response time and load for your critical API calls","SLO violation duration graph, response time and load for your critical API calls",210,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
715,Tracing Error Rate for running applications,Tracing Error Rate for running applications,210,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
716,Database response time,Database response time,210,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
717,End-user response time,End-user response time,210,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
718,Requests per minute,Requests per minute,210,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
719,Availability,Availability,210,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
720,Session duration,Session duration,210,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
721,Tracking latency across the entire system,Tracking latency across the entire system,210,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
722,Traffic based on demand on the system,Traffic based on demand on the system,210,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
723,Level of saturation ensuring service performance for customers,Level of saturation ensuring service performance for customers,210,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
724,"SLO violation duration graph, response time and load for your critical API calls","SLO violation duration graph, response time and load for your critical API calls",211,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
725,Tracing Error Rate for running applications,Tracing Error Rate for running applications,211,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
726,Database response time,Database response time,211,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
727,End-user response time,End-user response time,211,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
728,Requests per minute,Requests per minute,211,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
729,Availability,Availability,211,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
730,Session duration,Session duration,211,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
731,"SLO violation duration graph, response time and load for your critical API calls","SLO violation duration graph, response time and load for your critical API calls",212,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
732,Tracing Error Rate for running applications,Tracing Error Rate for running applications,212,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
733,Database response time,Database response time,212,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
734,End-user response time,End-user response time,212,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
735,Requests per minute,Requests per minute,212,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
736,Availability,Availability,212,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
737,Session duration,Session duration,212,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
738,Tracking latency across the entire system,Tracking latency across the entire system,212,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
739,Traffic based on demand on the system,Traffic based on demand on the system,212,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
740,Level of saturation ensuring service performance for customers,Level of saturation ensuring service performance for customers,212,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
741,"SLO violation duration graph, response time and load for your critical API calls","SLO violation duration graph, response time and load for your critical API calls",214,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
742,Tracing Error Rate for running applications,Tracing Error Rate for running applications,214,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
743,Database response time,Database response time,214,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
744,End-user response time,End-user response time,214,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
745,Requests per minute,Requests per minute,214,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
746,Availability,Availability,214,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
747,Session duration,Session duration,214,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
748,Tracking latency across the entire system,Tracking latency across the entire system,214,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
749,Traffic based on demand on the system,Traffic based on demand on the system,214,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
750,Level of saturation ensuring service performance for customers,Level of saturation ensuring service performance for customers,214,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
751,"SLO violation duration graph, response time and load for your critical API calls","SLO violation duration graph, response time and load for your critical API calls",216,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
752,Tracing Error Rate for running applications,Tracing Error Rate for running applications,216,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
753,Database response time,Database response time,216,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
754,End-user response time,End-user response time,216,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
755,Requests per minute,Requests per minute,216,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
756,Availability,Availability,216,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
757,Session duration,Session duration,216,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
758,Tracking latency across the entire system,Tracking latency across the entire system,216,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
759,Traffic based on demand on the system,Traffic based on demand on the system,216,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
760,Level of saturation ensuring service performance for customers,Level of saturation ensuring service performance for customers,216,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
886,Agile maturity,Agile maturity,329,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
887,% of Applications/Products that have adopted DevSecOps model,% of Applications/Products that have adopted DevSecOps model,332,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
888,% of tickets addressed through manual SOPs,NULL,336,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
889,% of Ticket Reduction (due to self-service),% of Ticket Reduction (due to self-service),336,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
890,% of applications enabled for capturing performance data,% of applications enabled for capturing performance data,338,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
891,% of alerts with intelligent machine driven processing,NULL,339,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
892,% of app impact correlated with business KPIs,% of app impact correlated with business KPIs,340,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
893,% of Ticket Reduction (Due to Elimination),NULL,341,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
894,Zero Touch Ticket Automation %,NULL,342,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
895,Zero Touch Ticket Automation %,NULL,343,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
896,% of Tickets partially automated,% of Tickets partially automated,336,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
897,% of Ticket Reduction (due to self-serviced),NULL,343,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
898,% of alerts suppressed,NULL,345,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
899,SLA Adherence Improvement %,NULL,347,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
900,% of Application Availability Improvement,NULL,348,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
901,% Coverage of applications in KM central repository,% Coverage of applications in KM central repository,349,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,4
902,"% of alerts, anomalies in the system proactively self healed through automation","% of alerts, anomalies in the system proactively self healed through automation",350,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
903,% of code delivered through LCNC,NULL,352,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
904,Business KPIs monitored and optimized,Business KPIs monitored and optimized,353,NULL,NULL,AMS Effectiveness,Up,NULL,#,NULL,NULL,NULL,NULL,0,5
905,Bot to Human Ratio %,NULL,354,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
906,Improvement in TAT %,NULL,355,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
907,% of value stream activities mapped and monitored through command center,NULL,356,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
908,% of processes mined through AI/ML driven process analytics,NULL,353,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
909,Improvement in MTTR %,NULL,354,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
1010,% of platform usage in automation plan,NULL,3318,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1011,Service line alignment for productivity improvement plan,NULL,3318,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1012,Ratio of skilled automation FTE identified/skilled automation FTE required,NULL,3318,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1013,% of infra provisioning requests processed through on-demand infra provisioning tools,NULL,3320,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1014,% of apps having automated data refresh from prod to lower environments,NULL,3320,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1015,% of automated deployments from package repository,NULL,3320,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1016,% of DB objects with automated data archival,NULL,3321,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1017,% of data objects with profiling and cleaning managed through data management tools,NULL,3321,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1018,% of configuration/low code driven data migration,NULL,3321,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1019,"% of SLAs auto calculated, real-time",NULL,3322,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1020,% of compliance reports auto generated,NULL,3322,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1021,% of status reports auto generated,NULL,3322,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1023,% applications and infra using observability tools,NULL,3323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1024,% of automated capacity planning,NULL,3325,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1025,% of DB objects monitored in automated manner,NULL,3325,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1026,% of apps havings APM configured for monitoring,NULL,3325,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,100
1027,% of apps leveraging AI based recommendations in operations,NULL,3326,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1028,% of apps with automated monitoring and reporting of app health,NULL,3327,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1029,% of alerts generated alerts that are self-healed,NULL,3327,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1030,% of business disruptions identified and self-healed,NULL,3327,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1031,% of business processed monitored through the integrated command centers,NULL,3327,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1032,% of synthetic alerts generated based on log analytics,NULL,3328,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1033,ratio of benefits realized to the benefits planned,NULL,3330,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,100
1034,% applications and infra using observability tools,NULL,3330,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1035,Number of feedbacks per established channels,NULL,3331,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1036,% of App/Infra provisioned on demand,NULL,3332,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1037,% of reusable artefacts accessible to the entire org,NULL,3333,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1038,% of applications/portfolios having defined team structure,NULL,3334,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1039,% of Applications/Products that have adopted DevSecOps model,NULL,3335,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1040,% of reports generated through self-service,NULL,3336,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1041,% of data update requests automated,NULL,3336,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1042,% of simple queries automated and addressed through the chatbot,NULL,3336,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1043,% of batch job failures predicted by ML,NULL,3336,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1044,% of incidents auto routed and responded,NULL,3336,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1045,% of user request exceptions for security policy deviation,NULL,3336,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1046,% of server and DB failures predicted by ML,NULL,3336,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1047,% of auto resolved incidents based on ML prediction,NULL,3336,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1048,% of service requests auto resolved,NULL,3336,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1049,% of simple queries automated,NULL,3336,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1050,% of tickets auto enriched with additional relevant data,NULL,3336,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1051,% of UAM requests automated,NULL,3336,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1052,% of Shift Mangement process automation,NULL,3336,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1053,% of Applications and teams following defined processes and tools,NULL,3336,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,50
1054,% of change tickets automatically generated,NULL,3337,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1055,% of regression test cases automated,NULL,3337,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1056,% of performance test cases automated,NULL,3337,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1057,% of deployments supporting automated rollback and rollforward,NULL,3337,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1058,% of code gated through code quality tools,NULL,3337,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1059,% of applications having end to end traceability between code and other SDLC artefacts,NULL,3337,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1060,% of model based CR estimates,NULL,3337,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1061,% of apps following trunk based release approach,NULL,3337,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1062,% of code generated,NULL,3337,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1063,% of DB change and rollback requests handled with automation,NULL,3337,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1064,% of unit testing automated,NULL,3337,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1065,% of apps following gated checkin for code quality,NULL,3337,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1066,% of LoBs following automated progressive testing,NULL,3337,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1067,% of processes having SOPs and SOPs are automated,NULL,3338,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1068,% of team members that can build automation independently,NULL,3338,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1069,average year on year ticket reduction through different intervention plans in last 3 years,NULL,3339,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,500
1070,% of improvement suggestions through proactive introspection,NULL,3339,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1071,% of Applications and teams following defined tools,NULL,3340,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,60
1155,% of problem tickets processed through PMA tool,% of problem tickets processed through PMA tool,3432,Yes,Controllable,AMS Effectiveness,Up,Yes,%,NULL,NULL,NULL,Engineering Metric,0,5
1217,% of tickets are handled through standard operating procedures,NULL,3336,NULL,NULL,AMS Effectiveness,Up,NULL,%,NULL,NULL,NULL,NULL,0,80
1218,% of incidents auto resolved,NULL,3336,NULL,NULL,AMS Effectiveness,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5
1264,Cycle time reduction,Cycle time reduction,329,NULL,NULL,Innovation,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
1265,Time savings,Time savings,329,NULL,NULL,Innovation,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
1266,Reduction in decision-making time,Reduction in decision-making time,329,NULL,NULL,Innovation,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
1267,Reduction in processing time,Reduction in processing time,329,NULL,NULL,Innovation,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
1268,"Time to market, Number of successful releases, Customer satisfaction","Time to market, Number of successful releases, Customer satisfaction",332,NULL,NULL,Innovation,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
1269,"Deployment frequency, Time to market, Mean time to recovery","Deployment frequency, Time to market, Mean time to recovery",332,NULL,NULL,Innovation,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
1270,"Time to market, Number of successful releases, Employee satisfaction","Time to market, Number of successful releases, Employee satisfaction",332,NULL,NULL,Innovation,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
1272,"Reduction in incident resolution time, Increase in user satisfaction score","Reduction in incident resolution time, Increase in user satisfaction score",336,NULL,NULL,Innovation,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
1273,"Reduction in manual effort and time, Increase in accuracy of categorization and prioritization","Reduction in manual effort and time, Increase in accuracy of categorization and prioritization",336,NULL,NULL,Innovation,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
1274,"Reduction in number of incidents, Increase in system availability","Reduction in number of incidents, Increase in system availability",336,NULL,NULL,Innovation,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
1275,"Reduction in manual effort and time, Increase in productivity of IT support team","Reduction in manual effort and time, Increase in productivity of IT support team",336,NULL,NULL,Innovation,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
1276,Reduction in manual categorization by 50%,Reduction in manual categorization by 50%,336,NULL,NULL,Innovation,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
1277,Reduction in mean time to resolve incidents by 30%,Reduction in mean time to resolve incidents by 30%,336,NULL,NULL,Innovation,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
1278,Reduction in mean time to fulfill service requests by 40%,Reduction in mean time to fulfill service requests by 40%,336,NULL,NULL,Innovation,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
1279,Increase in user satisfaction rating by 20%,Increase in user satisfaction rating by 20%,336,NULL,NULL,Innovation,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
1280,"Increase in user adoption rate, reduction in call volume to service desk, increase in successful ticket resolution rate, reduction in average ticket resolution time.","Increase in user adoption rate, reduction in call volume to service desk, increase in successful ticket resolution rate, reduction in average ticket resolution time.",336,NULL,NULL,Innovation,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
1281,"Reduction in call volume to service desk, increase in successful ticket resolution rate, reduction in average ticket resolution time, increase in user satisfaction rate.","Reduction in call volume to service desk, increase in successful ticket resolution rate, reduction in average ticket resolution time, increase in user satisfaction rate.",336,NULL,NULL,Innovation,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
1282,"Reduction in average time to resolve incidents, increase in successful incident resolution rate, reduction in number of incidents requiring manual intervention, increase in user satisfaction rate.","Reduction in average time to resolve incidents, increase in successful incident resolution rate, reduction in number of incidents requiring manual intervention, increase in user satisfaction rate.",336,NULL,NULL,Innovation,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
1283,"Reduction in number of incidents, reduction in average time to identify and resolve incidents, increase in system uptime, increase in user satisfaction rate.","Reduction in number of incidents, reduction in average time to identify and resolve incidents, increase in system uptime, increase in user satisfaction rate.",336,NULL,NULL,Innovation,Up,NULL,%,NULL,NULL,NULL,NULL,0,5
