"id","answer","question_option","coverage"
"1035","437","6083","0.0"
"1036","437","6084","0.0"
"1037","437","6085","100.0"
"1038","437","6086","0.0"
"1039","437","6087","0.0"
"1040","417","6244","100.0"
"1041","417","6245","0.0"
"1042","417","6246","0.0"
"1043","417","6247","0.0"
"1044","417","6250","0.0"
"1045","435","6073","0.0"
"1046","435","6074","0.0"
"1047","435","6075","100.0"
"1048","435","6076","0.0"
"1049","435","6077","0.0"
"1050","415","6232","80.0"
"1051","415","6233","20.0"
"1052","415","6234","0.0"
"1053","415","6235","0.0"
"1054","415","6236","0.0"
"1055","415","6237","0.0"
"1056","413","6219","0.0"
"1057","413","6220","80.0"
"1058","413","6221","20.0"
"1059","413","6222","0.0"
"1060","413","6223","0.0"
"1061","413","6224","0.0"
"1062","431","6052","0.0"
"1063","431","6053","0.0"
"1064","431","6054","20.0"
"1065","431","6055","80.0"
"1066","431","6056","0.0"
"1067","377","5992","100.0"
"1068","377","5993","0.0"
"1069","377","5994","0.0"
"1070","377","5995","0.0"
"1071","396","6148","0.0"
"1072","396","6149","40.0"
"1073","396","6150","60.0"
"1074","396","6151","0.0"
"1075","381","6276","80.0"
"1076","381","6277","20.0"
"1077","381","6278","0.0"
"1078","381","6279","0.0"
"1079","381","6098","0.0"
"1080","411","6292","30.0"
"1081","411","6293","0.0"
"1082","411","6294","0.0"
"1083","411","6214","70.0"
"1084","411","6295","0.0"
"1085","411","6296","0.0"
"1086","375","5958","0.0"
"1087","375","5959","80.0"
"1088","375","5960","20.0"
"1089","375","5961","0.0"
"1090","402","7587","80.0"
"1091","402","7588","20.0"
"1092","402","7589","0.0"
"1093","402","7590","0.0"
"1094","402","7586","0.0"
"1095","429","6039","0.0"
"1096","429","6040","0.0"
"1097","429","6041","100.0"
"1098","429","6042","0.0"
"1099","429","6043","0.0"
"1100","429","6045","0.0"
"1101","394","6133","0.0"
"1102","394","6134","20.0"
"1103","394","6135","80.0"
"1104","394","6136","0.0"
"1105","394","6137","0.0"
"1106","379","6088","0.0"
"1107","379","6089","0.0"
"1108","379","6090","100.0"
"1109","379","6091","0.0"
"1110","379","6092","0.0"
"1111","409","6200","30.0"
"1112","409","6201","70.0"
"1113","409","6202","0.0"
"1114","409","6203","0.0"
"1115","409","6204","0.0"
"1116","373","5955","0.0"
"1117","373","5951","100.0"
"1118","373","5952","0.0"
"1119","373","5953","0.0"
"1120","373","5954","0.0"
"1121","423","7459","0.0"
"1122","423","7460","0.0"
"1123","423","7461","0.0"
"1124","423","7462","0.0"
"1125","423","7463","100.0"
"1126","400","7591","0.0"
"1127","400","7592","80.0"
"1128","400","7593","10.0"
"1129","400","7594","0.0"
"1130","400","7595","0.0"
"1131","427","6028","0.0"
"1132","427","6029","100.0"
"1133","427","6030","0.0"
"1134","427","6031","0.0"
"1135","427","6032","0.0"
"1136","392","6124","0.0"
"1137","392","6125","10.0"
"1138","392","6126","90.0"
"1139","392","6127","0.0"
"1140","392","6128","0.0"
"1141","386","5979","20.0"
"1142","386","5980","80.0"
"1143","386","5981","0.0"
"1144","386","5982","0.0"
"1145","407","6195","0.0"
"1146","407","6291","0.0"
"1147","407","6286","10.0"
"1148","407","6287","90.0"
"1149","407","6288","0.0"
"1150","407","6289","0.0"
"1151","407","6290","0.0"
"1152","422","6275","0.0"
"1153","422","6271","0.0"
"1154","422","6272","100.0"
"1155","422","6273","0.0"
"1156","422","6274","0.0"
"1157","425","6019","20.0"
"1158","425","6020","80.0"
"1159","425","6021","0.0"
"1160","425","6022","0.0"
"1161","390","6115","20.0"
"1162","390","6116","80.0"
"1163","390","6117","0.0"
"1164","390","6113","0.0"
"1165","390","6114","0.0"
"1166","384","5971","0.0"
"1167","384","5972","0.0"
"1168","384","5973","100.0"
"1169","384","5974","0.0"
"1170","384","5975","0.0"
"1173","215","5682","NULL"
"1174","231","5782","NULL"
"1175","248","5862","NULL"
"1176","438","11923","NULL"
"1177","214","5680","NULL"
"1178","230","5779","NULL"
"1179","247","5859","NULL"
"1180","229","5774","NULL"
"1181","246","5856","NULL"
"1182","228","5770","NULL"
"1183","245","5852","NULL"
"1184","227","5757","NULL"
"1185","244","5849","NULL"
"1186","226","5737","NULL"
"1187","243","5845","NULL"
"1188","242","5824","NULL"
"1189","225","5730","NULL"
"1190","241","5818","NULL"
"1191","224","5724","NULL"
"1192","240","5814","NULL"
"1193","223","5713","NULL"
"1194","239","5810","NULL"
"1195","238","5808","NULL"
"1196","222","5708","NULL"
"1197","237","5805","NULL"
"1198","221","5702","NULL"
"1199","220","5700","NULL"
"1200","236","5800","NULL"
"1201","219","5698","NULL"
"1202","235","5796","NULL"
"1203","234","5789","NULL"
"1204","218","5692","NULL"
"1205","217","5689","NULL"
"1206","233","5792","NULL"
"1207","216","5687","NULL"
"1208","232","5785","NULL"
"1209","249","5864","NULL"
"1210","439","11925","NULL"
"1211","260","11527","NULL"
"1212","341","11748","NULL"
"1213","277","11592","NULL"
"1214","324","11708","NULL"
"1215","290","11618","NULL"
"1216","307","11659","NULL"
"1217","256","11514","NULL"
"1218","303","11652","NULL"
"1219","350","11773","NULL"
"1220","286","11626","NULL"
"1221","363","11815","NULL"
"1222","346","11760","NULL"
"1223","252","11542","NULL"
"1224","282","11608","NULL"
"1225","329","11718","NULL"
"1226","265","11562","NULL"
"1227","359","11783","NULL"
"1228","312","11671","NULL"
"1229","261","11531","NULL"
"1230","342","11751","NULL"
"1231","278","11596","NULL"
"1232","325","11710","NULL"
"1233","291","11622","NULL"
"1234","308","11663","NULL"
"1235","355","11794","NULL"
"1236","338","11736","NULL"
"1237","270","11575","NULL"
"1238","317","11679","NULL"
"1239","253","11547","NULL"
"1240","347","11765","NULL"
"1241","283","11612","NULL"
"1242","266","11566","NULL"
"1243","330","11722","NULL"
"1244","279","11600","NULL"
"1245","262","11555","NULL"
"1246","326","11713","NULL"
"1247","356","11797","NULL"
"1248","258","11520","NULL"
"1249","339","11740","NULL"
"1250","352","11777","NULL"
"1251","271","11579","NULL"
"1252","318","11683","NULL"
"1253","254","11550","NULL"
"1254","331","11726","NULL"
"1255","267","11569","NULL"
"1256","280","11583","NULL"
"1257","361","11806","NULL"
"1258","327","11687","NULL"
"1259","348","11818","NULL"
"1260","250","11535","NULL"
"1261","344","11757","NULL"
"1262","310","11648","NULL"
"1263","293","11634","NULL"
"1264","357","11802","NULL"
"1265","259","11523","NULL"
"1266","340","11744","NULL"
"1267","323","11701","NULL"
"1268","353","11789","NULL"
"1269","255","11509","NULL"
"1270","319","11695","NULL"
"1271","349","11769","NULL"
"1272","362","11810","NULL"
"1273","328","11691","NULL"
"1274","251","11539","NULL"
"1275","281","11604","NULL"
"1276","311","11667","NULL"
"1279","180","3863","NULL"
"1280","99","3528","NULL"
"1281","163","3793","NULL"
"1282","18","3203","NULL"
"1283","82","3459","NULL"
"1284","65","3375","NULL"
"1285","129","3648","NULL"
"1286","48","3307","NULL"
"1287","146","3730","NULL"
"1288","112","3579","NULL"
"1289","441","11933","NULL"
"1290","176","3847","NULL"
"1291","95","3512","NULL"
"1292","31","3255","NULL"
"1293","159","3775","NULL"
"1294","78","3444","NULL"
"1295","61","3359","NULL"
"1296","44","3291","NULL"
"1297","142","3716","NULL"
"1298","125","3631","NULL"
"1299","108","3564","NULL"
"1300","172","3831","NULL"
"1301","74","3411","NULL"
"1302","27","3238","NULL"
"1303","155","3752","NULL"
"1304","91","3496","NULL"
"1305","151","3675","NULL"
"1306","57","3343","NULL"
"1307","138","3699","NULL"
"1308","40","3276","NULL"
"1309","121","3615","NULL"
"1310","35","3439","NULL"
"1311","181","3806","NULL"
"1312","104","3547","NULL"
"1313","168","3816","NULL"
"1314","23","3223","NULL"
"1315","70","3396","NULL"
"1316","87","3480","NULL"
"1317","53","3327","NULL"
"1318","134","3684","NULL"
"1319","117","3599","NULL"
"1320","36","3259","NULL"
"1321","100","3532","NULL"
"1322","164","3797","NULL"
"1323","19","3207","NULL"
"1324","83","3463","NULL"
"1325","66","3379","NULL"
"1326","49","3311","NULL"
"1327","147","3736","NULL"
"1328","130","3651","NULL"
"1329","113","3583","NULL"
"1330","177","3851","NULL"
"1331","96","3515","NULL"
"1332","160","3781","NULL"
"1333","62","3363","NULL"
"1334","79","3447","NULL"
"1335","126","3635","NULL"
"1336","45","3296","NULL"
"1337","143","3720","NULL"
"1338","109","3567","NULL"
"1339","173","3835","NULL"
"1340","28","3243","NULL"
"1341","156","3756","NULL"
"1342","75","3416","NULL"
"1343","92","3499","NULL"
"1344","152","3679","NULL"
"1345","58","3347","NULL"
"1346","41","3280","NULL"
"1347","122","3619","NULL"
"1348","139","3704","NULL"
"1349","105","3552","NULL"
"1350","169","3819","NULL"
"1351","71","3400","NULL"
"1352","88","3484","NULL"
"1353","24","3228","NULL"
"1354","54","3331","NULL"
"1355","118","3603","NULL"
"1356","135","3687","NULL"
"1357","37","3262","NULL"
"1358","32","3427","NULL"
"1359","101","3535","NULL"
"1360","165","3800","NULL"
"1361","20","3212","NULL"
"1362","67","3383","NULL"
"1363","84","3467","NULL"
"1364","148","3739","NULL"
"1365","50","3315","NULL"
"1366","131","3656","NULL"
"1367","114","3587","NULL"
"1368","178","3856","NULL"
"1369","97","3519","NULL"
"1370","161","3785","NULL"
"1371","16","3196","NULL"
"1372","63","3368","NULL"
"1373","80","3452","NULL"
"1374","46","3299","NULL"
"1375","144","3723","NULL"
"1376","127","3639","NULL"
"1377","110","3571","NULL"
"1378","174","3839","NULL"
"1379","157","3760","NULL"
"1380","93","3503","NULL"
"1381","76","3420","NULL"
"1382","29","3247","NULL"
"1383","59","3351","NULL"
"1384","140","3706","NULL"
"1385","42","3284","NULL"
"1386","123","3623","NULL"
"1387","106","3556","NULL"
"1388","170","3823","NULL"
"1389","89","3487","NULL"
"1390","25","3231","NULL"
"1391","72","3403","NULL"
"1392","153","3745","NULL"
"1393","149","3668","NULL"
"1394","55","3336","NULL"
"1395","119","3607","NULL"
"1396","38","3267","NULL"
"1397","136","3692","NULL"
"1398","33","3432","NULL"
"1399","102","3539","NULL"
"1400","166","3803","NULL"
"1401","68","3388","NULL"
"1402","85","3471","NULL"
"1403","21","3215","NULL"
"1404","132","3659","NULL"
"1405","51","3320","NULL"
"1406","115","3591","NULL"
"1407","179","3860","NULL"
"1408","98","3523","NULL"
"1409","162","3789","NULL"
"1410","64","3372","NULL"
"1411","81","3456","NULL"
"1412","17","3199","NULL"
"1413","128","3643","NULL"
"1414","145","3727","NULL"
"1415","47","3303","NULL"
"1416","111","3574","NULL"
"1417","440","11929","NULL"
"1418","175","3844","NULL"
"1419","77","3423","NULL"
"1420","158","3765","NULL"
"1421","30","3251","NULL"
"1422","94","3507","NULL"
"1423","60","3355","NULL"
"1424","124","3627","NULL"
"1425","141","3711","NULL"
"1426","43","3287","NULL"
"1427","107","3559","NULL"
"1428","171","3828","NULL"
"1429","26","3235","NULL"
"1430","73","3407","NULL"
"1431","154","3748","NULL"
"1432","90","3491","NULL"
"1433","150","3671","NULL"
"1434","56","3339","NULL"
"1435","120","3612","NULL"
"1436","137","3696","NULL"
"1437","39","3271","NULL"
"1438","34","3435","NULL"
"1439","103","3543","NULL"
"1440","167","3811","NULL"
"1441","22","3219","NULL"
"1442","69","3391","NULL"
"1443","86","3475","NULL"
"1444","52","3324","NULL"
"1445","133","3663","NULL"
"1446","116","3595","NULL"
"245869","69776","14005","NULL"
"245870","69712","14011","NULL"
"245871","69772","14362","NULL"
"245872","69713","14013","NULL"
"245873","69714","14018","NULL"
"245874","69773","14366","NULL"
"245875","69715","14022","NULL"
"245876","69716","14024","NULL"
"245877","69700","13969","NULL"
"245878","69717","14030","NULL"
"245879","69775","14358","NULL"
"245880","69701","14039","NULL"
"245881","69702","14042","NULL"
"245882","69718","14032","NULL"
"245883","69703","14044","NULL"
"245884","69704","13973","NULL"
"245885","69766","14374","NULL"
"245886","69779","14382","NULL"
"245887","69705","13976","NULL"
"245888","69706","13981","NULL"
"245889","69780","14368","NULL"
"245890","69781","14376","NULL"
"245891","69707","13985","NULL"
"245892","69708","13992","NULL"
"245893","69782","14384","NULL"
"245894","69709","13996","NULL"
"245895","69710","14002","NULL"
"245977","69859","11876","NULL"
"245978","69851","11868","NULL"
"245979","69852","11854","NULL"
"245980","69860","11877","NULL"
"245981","69861","11878","NULL"
"245982","69853","11855","NULL"
"245983","69854","11885","NULL"
"245984","69862","11879","NULL"
"245985","69855","11886","NULL"
"245986","69863","11880","NULL"
"245987","69856","11873","NULL"
"245988","69849","11851","NULL"
"245989","69857","11859","NULL"
"245990","69850","11852","NULL"
"245991","69858","11860","NULL"
"246160","69996","3687","NULL"
"246161","69915","3347","NULL"
"246162","70013","3756","NULL"
"246163","69932","3416","NULL"
"246164","69949","3499","NULL"
"246165","69885","3228","NULL"
"246166","69966","3567","NULL"
"246167","70030","3823","NULL"
"246168","69902","3296","NULL"
"246169","69983","3635","NULL"
"246170","69919","3363","NULL"
"246171","69936","3447","NULL"
"246172","70000","3704","NULL"
"246173","70017","11933","NULL"
"246174","69953","3515","NULL"
"246175","69889","3243","NULL"
"246176","69970","3583","NULL"
"246177","70034","3839","NULL"
"246178","69987","3651","NULL"
"246179","69906","3311","NULL"
"246180","69940","3463","NULL"
"246181","69923","3379","NULL"
"246182","70004","3720","NULL"
"246183","69875","3435","NULL"
"246184","70021","3789","NULL"
"246185","69957","3532","NULL"
"246186","69893","3259","NULL"
"246187","69974","3599","NULL"
"246188","70038","3856","NULL"
"246189","69991","3668","NULL"
"246190","69910","3327","NULL"
"246191","69944","3480","NULL"
"246192","69927","3396","NULL"
"246193","70008","3736","NULL"
"246194","69880","3207","NULL"
"246195","70025","3803","NULL"
"246196","69961","3547","NULL"
"246197","69897","3276","NULL"
"246198","69978","3615","NULL"
"246199","69995","3684","NULL"
"246200","69914","3343","NULL"
"246201","69899","3284","NULL"
"246202","69980","3623","NULL"
"246203","69916","3351","NULL"
"246204","69997","3692","NULL"
"246205","69933","3420","NULL"
"246206","70014","3760","NULL"
"246207","69950","3503","NULL"
"246208","69886","3231","NULL"
"246209","70031","3828","NULL"
"246210","69967","3571","NULL"
"246211","69903","3299","NULL"
"246212","69984","3639","NULL"
"246213","69937","3452","NULL"
"246214","69920","3368","NULL"
"246215","70001","3706","NULL"
"246216","69954","3519","NULL"
"246217","70018","3775","NULL"
"246218","69890","3247","NULL"
"246219","70035","3844","NULL"
"246220","69971","3587","NULL"
"246221","69988","3656","NULL"
"246222","69907","3315","NULL"
"246223","69924","3383","NULL"
"246224","69941","3467","NULL"
"246225","70005","3723","NULL"
"246226","69876","3439","NULL"
"246227","69877","3196","NULL"
"246228","70022","3793","NULL"
"246229","69958","3535","NULL"
"246230","69894","3262","NULL"
"246231","70039","3860","NULL"
"246232","69975","3603","NULL"
"246233","69911","3331","NULL"
"246234","69992","3671","NULL"
"246235","69928","3400","NULL"
"246236","70009","3739","NULL"
"246237","69945","3484","NULL"
"246238","69881","3212","NULL"
"246239","69962","3552","NULL"
"246240","70026","3806","NULL"
"246241","69898","3280","NULL"
"246242","69979","3619","NULL"
"246243","69883","3219","NULL"
"246244","70028","3815","NULL"
"246245","69964","3559","NULL"
"246246","69900","3287","NULL"
"246247","69981","3627","NULL"
"246248","69917","3355","NULL"
"246249","69998","3696","NULL"
"246250","69934","3423","NULL"
"246251","70015","3765","NULL"
"246252","69951","3507","NULL"
"246253","69887","3235","NULL"
"246254","70032","3831","NULL"
"246255","69968","3574","NULL"
"246256","69904","3303","NULL"
"246257","69985","3643","NULL"
"246258","69921","3372","NULL"
"246259","69938","3456","NULL"
"246260","70002","3711","NULL"
"246261","69873","3427","NULL"
"246262","70019","3781","NULL"
"246263","69955","3523","NULL"
"246264","69891","3251","NULL"
"246265","69972","3591","NULL"
"246266","70036","3847","NULL"
"246267","69908","3320","NULL"
"246268","69989","3659","NULL"
"246269","70006","3727","NULL"
"246270","69942","3471","NULL"
"246271","69925","3388","NULL"
"246272","69878","3199","NULL"
"246273","70023","3797","NULL"
"246274","69959","3539","NULL"
"246275","69895","3267","NULL"
"246276","70040","3863","NULL"
"246277","69976","3607","NULL"
"246278","69993","3675","NULL"
"246279","69912","3336","NULL"
"246280","70010","3745","NULL"
"246281","69946","3487","NULL"
"246282","69929","3403","NULL"
"246283","69882","3215","NULL"
"246284","70027","3811","NULL"
"246285","69963","3556","NULL"
"246286","70012","3752","NULL"
"246287","69948","3496","NULL"
"246288","69931","3411","NULL"
"246289","69884","3223","NULL"
"246290","69965","3564","NULL"
"246291","70029","3819","NULL"
"246292","69901","3291","NULL"
"246293","69982","3631","NULL"
"246294","69999","3699","NULL"
"246295","69918","3359","NULL"
"246296","69935","3444","NULL"
"246297","70016","11929","NULL"
"246298","69952","3512","NULL"
"246299","69888","3238","NULL"
"246300","70033","3835","NULL"
"246301","69969","3579","NULL"
"246302","69905","3307","NULL"
"246303","69986","3648","NULL"
"246304","70003","3716","NULL"
"246305","69922","3375","NULL"
"246306","69939","3459","NULL"
"246307","69874","3432","NULL"
"246308","70020","3785","NULL"
"246309","69956","3528","NULL"
"246310","69892","3255","NULL"
"246311","69973","3595","NULL"
"246312","70037","3851","NULL"
"246313","69990","3663","NULL"
"246314","69909","3324","NULL"
"246315","70007","3730","NULL"
"246316","69926","3391","NULL"
"246317","69943","3475","NULL"
"246318","69879","3203","NULL"
"246319","70024","3800","NULL"
"246320","69960","3543","NULL"
"246321","69896","3271","NULL"
"246322","69977","3612","NULL"
"246323","69913","3339","NULL"
"246324","69994","3679","NULL"
"246325","70011","3748","NULL"
"246326","69930","3407","NULL"
"246327","69947","3491","NULL"
"246328","70041","5388","NULL"
"246329","70042","5277","100.0"
"246330","70042","5278","0.0"
"246331","70042","5279","0.0"
"246332","70042","5280","0.0"
"246333","70042","5281","0.0"
"246334","70043","5283","50.0"
"246335","70043","5284","20.0"
"246336","70043","5285","30.0"
"246337","70043","5286","0.0"
"246338","70043","5282","0.0"
"246339","70044","5287","NULL"
"246340","70045","5293","NULL"
"246341","70046","5300","NULL"
"246342","70047","5302","0.0"
"246343","70047","5303","20.0"
"246344","70047","5304","30.0"
"246345","70047","5305","50.0"
"246346","70047","5306","0.0"
"246347","70048","5307","0.0"
"246348","70048","5308","0.0"
"246349","70048","5309","80.0"
"246350","70048","5310","20.0"
"246351","70048","5311","0.0"
"246352","70049","5313","NULL"
"246353","70050","5317","0.0"
"246354","70050","5318","100.0"
"246355","70050","5319","0.0"
"246356","70050","5320","0.0"
"246357","70050","5321","0.0"
"246358","70051","5322","0.0"
"246359","70051","5323","100.0"
"246360","70051","5324","0.0"
"246361","70051","5325","0.0"
"246362","70051","5326","0.0"
"246363","70052","5329","NULL"
"246364","70053","5333","NULL"
"246365","70054","5337","0.0"
"246366","70054","5338","0.0"
"246367","70054","5339","0.0"
"246368","70054","5340","100.0"
"246369","70054","5341","0.0"
"246370","70055","5342","10.0"
"246371","70055","5343","10.0"
"246372","70055","5344","80.0"
"246373","70055","5345","0.0"
"246374","70055","5346","0.0"
"246375","70056","5347","0.0"
"246376","70056","5348","0.0"
"246377","70056","5349","100.0"
"246378","70056","5350","0.0"
"246379","70056","5351","0.0"
"246380","70057","5352","0.0"
"246381","70057","5353","100.0"
"246382","70057","5354","0.0"
"246383","70057","5355","0.0"
"246384","70057","5356","0.0"
"246385","70058","5357","100.0"
"246386","70058","5358","0.0"
"246387","70058","5359","0.0"
"246388","70058","5360","0.0"
"246389","70058","5361","0.0"
"246390","70059","5363","0.0"
"246391","70059","5364","0.0"
"246392","70059","5365","100.0"
"246393","70059","5366","0.0"
"246394","70059","5362","0.0"
"246395","70060","5367","0.0"
"246396","70060","5368","0.0"
"246397","70060","5369","100.0"
"246398","70060","5370","0.0"
"246399","70060","5371","0.0"
"246400","70061","5372","0.0"
"246401","70061","5373","0.0"
"246402","70061","5374","0.0"
"246403","70061","5375","100.0"
"246404","70061","5376","0.0"
"246405","70062","5379","100.0"
"246406","70062","5380","0.0"
"246407","70062","5381","0.0"
"246408","70062","5377","0.0"
"246409","70062","5378","0.0"
"246410","70063","5382","0.0"
"246411","70063","5383","100.0"
"246412","70063","5384","0.0"
"246413","70063","5385","0.0"
"246414","70063","5386","0.0"
"246665","70081","5782","NULL"
"246666","70065","5682","NULL"
"246667","70099","5864","NULL"
"246668","70082","5785","NULL"
"246669","70066","5687","NULL"
"246670","70083","5789","NULL"
"246671","70067","5689","NULL"
"246672","70084","5792","NULL"
"246673","70068","5692","NULL"
"246674","70100","5845","NULL"
"246675","70069","5698","NULL"
"246676","70085","5796","NULL"
"246677","70101","5849","NULL"
"246678","70070","5700","NULL"
"246679","70086","5800","NULL"
"246680","70071","5702","NULL"
"246681","70087","5805","NULL"
"246682","70088","5808","NULL"
"246683","70072","5708","NULL"
"246684","70073","5713","NULL"
"246685","70089","5810","NULL"
"246686","70090","5814","NULL"
"246687","70074","5724","NULL"
"246688","70091","5818","NULL"
"246689","70075","5730","NULL"
"246690","70092","5824","NULL"
"246691","70076","5737","NULL"
"246692","70093","11923","NULL"
"246693","70077","5757","NULL"
"246694","70095","5852","NULL"
"246695","70094","11925","NULL"
"246696","70078","5770","NULL"
"246697","70096","5856","NULL"
"246698","70079","5774","NULL"
"246699","70097","5859","NULL"
