"id","question_sl_no","question_text","use_in_score","question_type_id","questionnaire_id","weightage","metric_dimension_id"
"809","33","Is real-time data synchronisation to a repository on another vendor platform in place?","NULL","9","133","2.0","546"
"810","34","Is ingestion process continuously monitored for failures?","NULL","9","133","2.0","547"
"811","35","Does your application deliver structured data lineage information, mapped to HSBC Business Information Model (HBIM)?","NULL","9","133","2.0","548"
"812","36","Do data processing routines implement  internal data integrity checks to identify corrupted data, before processing?","NULL","9","133","2.0","549"
"813","37","Are data objects versioned and is it possible to roll back to previous version(s)?","NULL","9","133","2.0","540"
"814","38","Do you perform continuous integration tests to ensure data processing capability, as part of software development?","NULL","9","133","2.0","541"
"815","39","Have auto-healing routines such as creation of missing reference data been implemented?","NULL","9","133","2.0","542"
"816","40","Is the ability to restore backup data regularly tested, on an alternative platform?","NULL","9","133","2.0","543"
"817","41","Have your data processing routines been documented and include source-target mappings to enable analysing data flows?","NULL","9","133","2.0","544"
"818","42","Are access rights to data being regularly reviewed?","NULL","9","133","2.0","545"
"819","43","Is any regular data synchronisation in place to a repository on another independent data store platform, for example in a different datacentre or cloud availability zone or region?Please select this also in case you have selected the real-time synchronisation option at Gold.","NULL","9","133","2.0","546"
"820","44","Have procedures been implemented to ensure a test plan is in place as part of the software development for data processing workloads?","NULL","9","133","2.0","547"
"821","45","Is source data validated and quality checked, to ensure that data is present, compliant and in the right format?","NULL","9","133","2.0","548"
"822","46","Is automated orchestration in place allowing a set of processes to re-run automatically from a point in time, for example after a failure, interruption or other error condition.","NULL","9","133","2.0","549"
"823","47","Does a signed and monitored Contract (SLA) exist between the data owner and consumer, describing quality, timeliness and error procedures?","NULL","9","133","2.0","540"
"824","48","Is a fully automated procedure in place to reprocess/resend the data, in case of an incompatibility, process failure or any other error condition?","NULL","9","133","2.0","541"
"825","49","Are documented, step-by-step support procedures for data maintenance available for support teams?","NULL","9","133","2.0","542"
"826","50","Do you perform continuous integration tests to validate successful data processing capability, as part of development?","NULL","9","133","2.0","543"
"827","51","Are toll-gate checks in place prior to manual data deletion - for example that backups exist and any active processing has completed, that only validated deletion code is used, etc.?","NULL","9","133","2.0","544"
"828","52","Are automatic event notifications in place for when source system data is unavailable based on monitoring, enabling action to be taken?","NULL","9","133","2.0","545"
"829","53","Is ingestion process continuously monitored for failures?","NULL","9","133","2.0","546"
"830","54","Is it possible to track, log and monitor user activity around data access or data updates?","NULL","9","133","2.0","547"
"831","55","Do data processing routines implement basic internal data consistency checks covering field completeness, format etc.?","NULL","9","133","2.0","548"
"832","56","Is any procedure in place to reprocess/resend the data, in case of an incompatibility, process failure or any other error condition? Please select this also in case you have selected the fully automated procedure option at Platinum.","NULL","9","133","2.0","549"
"833","57","Do data processing routines implement consistency source data integrity checks, before processing?","NULL","9","133","2.0","540"
"834","58","Is the ability to restore backup data regularly tested on another independent data store platform, for example in a different datacentre or cloud availability zone or region?","NULL","9","133","2.0","541"
"835","59","Is real-time data synchronisation in place to a repository on another independent data store platform, for example in a different datacentre or cloud availability zone or region?","NULL","9","133","2.0","542"
"836","60","Are automated tests with immediate downstream systems in place, validating that successful processing is possible?","NULL","9","133","2.0","543"
"837","61","Do you utilise process orchestration frameworks for up/downstream signalling and verification of successful  processing?","NULL","9","133","2.0","544"
"838","62","Will ingestion automatically recover and reprocess in case of failures?","NULL","9","133","2.0","545"
"839","63","Is code build pipeline-driven and automated, with manual code reviews and scanning?","NULL","9","133","3.0","550"
"840","64","Have performance and capacity tests been used to determine production sizing?","NULL","9","133","3.0","551"
"841","65","Does the application follow API and microservices based, stateless design and adhere to HSBC's AIMS-FAST principles, standards and patterns?","NULL","9","133","3.0","552"
"842","66","Do you use zero downtime deployment strategy such as Blue/Green releases, supporting gradual cut-over and immediate rollback?","NULL","9","133","3.0","553"
"843","67","Is automatic retry pattern used for failed transactions?","NULL","9","133","3.0","554"
"844","68","Do you use retry and fallback patterns to handle transient failures in connecting to services and resources?","NULL","9","133","3.0","555"
"845","69","Are automated CI/CD/CT pipelines populating release dashboards for QA and production releases with pre-agreed metrics?","NULL","9","133","3.0","556"
"846","70","Is the entire application stack implemented using declarative IaC tooling and can be repeatably and consistently (re)deployed?","NULL","9","133","3.0","557"
"847","71","Do you use pre-defined breakpoints in transaction processing to allow resuming failed transactions without impacting data?","NULL","9","133","3.0","558"
"848","72","Are nonfunctional or performance testing environments sized to production capacity?","NULL","9","133","3.0","559"
"849","73","Do your CI/CD/CT pipelines have a defined gating criteria including tests and approvals?","NULL","9","133","3.0","550"
"850","74","Is code review and automated scanning in place (binary or code level)?","NULL","9","133","3.0","551"
"851","75","Has code deployment been automated end-to-end (one-click deployments)?","NULL","9","133","3.0","552"
"852","76","Are timeouts being used to limit the duration of remote service calls vs waiting indefinitely?","NULL","9","133","3.0","553"
"853","77","Is automated code review in place, covering coding standards, vulnerabilities, etc.?","NULL","9","133","3.0","554"
"854","78","Are performance and load tests being performed to understand the maximum request rate/throughput?","NULL","9","133","3.0","555"
"855","79","Have tests in the SDLC been automated (unit, integration, functional, penetration, performance etc.) and are they regularly performed?","NULL","9","133","3.0","556"
"856","80","Do you use bulkhead pattern for isolating application components, allowing execution to continue when a single component fails?","NULL","9","133","3.0","557"
"857","81","Do you use the circuit breaker pattern to handle faults related to unavailable remote system/service?","NULL","9","133","3.0","558"
"858","82","Has automated testing with rollback on failure been implemented, as part of the automated CI/CD/CT pipeline?","NULL","9","133","3.0","559"
"859","83","Is it possible to release new code into production on-demand at any time, without disrupting existing workloads and transactions?","NULL","9","133","3.0","550"
"860","84","Do all components of the application adhere to Application Architecture Principles and use Application Architecture approved Patterns, including asynchronous communication and BIAN service componentisation?","NULL","9","133","3.0","551"
"861","85","Is the application fully broken down into components that separate all BIAN service domains from one another?","NULL","9","133","3.0","552"
"862","86","Are Performance Tests run continually as part of automated CI/CD/CT pipelines?","NULL","9","133","3.0","553"
"863","87","Is Chaos Testing employed in Production Environments to simulate and identify failures?","NULL","9","133","3.0","554"
"864","88","Is there a Test Environment for this IT Service that is aliugned with production software and infrastructure configurations?","NULL","9","133","3.0","555"
"865","89","Is the application constructed of components that segregate BIAN service domains from one another?","NULL","9","133","3.0","556"
"866","90","Is performance testing completed to identify both performance baselines and limits where performance begins to degrade?","NULL","9","133","3.0","557"
"867","91","Is there a Test Environment for this IT Service that is of identical size to production, and is aligned with production software and infrastructure configurations?","NULL","9","133","3.0","558"
"868","92","Do all components of the application communicate in an asynchronous way, such that independent component failure does not cause failure of dependent processes (e.g a microservices or EDA architecture)","NULL","9","133","3.0","559"
"869","93","Are performance tests completed throughout development?","NULL","9","133","3.0","550"
"870","94","Is performance testing completed to identify performance baselines?","NULL","9","133","3.0","551"
"871","95","Is automated testing completed in Production Environments as part of a CI/CD/CT pipeline?","NULL","9","133","3.0","552"
"872","96","Is the primary site implementation running Hot/Hot across separate infrastructure platforms?","NULL","9","133","6.0","560"
"873","97","Is the failover process within the primary site being regularly tested?","NULL","9","133","6.0","561"
"874","98","Is the DR failover process automated, causing a brief outage or interruption during cut-over?","NULL","9","133","6.0","562"
"875","99","Is the platform being regularly tested to ascertain availability after component failure and/or failover?","NULL","9","133","6.0","563"
"876","100","Will the platform remain available in the face of multiple infrastructure or hardware component failures?","NULL","9","133","6.0","564"
"877","101","Is the DR failover process manual, requiring up to multiple hours of downtime?","NULL","9","133","6.0","565"
"878","102","Is the internal failover configuration of redundant components manual?","NULL","9","133","6.0","566"
"879","103","Is the implementation running Hot/Hot across multiple sites on the same infra platform?","NULL","9","133","6.0","567"
"880","104","Is the primary site implementation running Hot/Hot across separate infrastructure?","NULL","9","133","6.0","568"
"881","105","Can the primary site implementation automatically fail over to a different set of local infrastructure?","NULL","9","133","6.0","569"
"882","106","Is the DR failover process being regularly tested?","NULL","9","133","6.0","560"
"883","107","Is the internal failover configuration of redundant components automatic?","NULL","9","133","6.0","561"
"884","108","Is the implementation running Hot/Hot across multiple different infra platforms or vendors (cloud, on-prem.)?","NULL","9","133","6.0","562"
"885","109","Is the failover process within the primary site a manual process?","NULL","9","133","6.0","563"
"886","110","Does the platform utilise multiple redundant components in Hot/Hot fashion, to maintain availability?","NULL","9","133","6.0","564"
"887","111","Is the application or service hosted in a Group Data Centre (Tier 0)","NULL","9","133","6.0","565"
"888","112","Is the application or service provided in a Highly Restricted Country and hosted on RDC, CDC, LDC, SaaS and non strategic CSP location?","NULL","9","133","14.0","570"
"889","113","Is the application or service hosted in a Group Data Centre (Tier 0)?","NULL","9","133","14.0","571"
"890","114","Is the application or service hosted in a Critical Data Centre (Tier 1)?","NULL","9","133","14.0","572"
"891","115","Is the application or service hosted in a Local Data Centre (Tier 2)?","NULL","9","133","14.0","573"
"892","116","Is the application or service hosted on Strategic Cloud Service Provider platform?","NULL","9","133","14.0","574"
"893","117","Is the application or service hosted in a Regional Data Centre (Tier 0)?","NULL","9","133","14.0","575"
"894","118","Is the application or service hosted on IKP or ICP service platform in Group Data Centre (Tier 0)?","NULL","9","133","14.0","576"
"895","119","Is your DR solution implemented as Live / Live, with an active DR service instance?","NULL","9","133","5.0","577"
"896","120","Is service level capacity planning process in place covering all components?","NULL","9","133","5.0","578"
"897","121","Are daily backups taking place?","NULL","9","133","5.0","579"
"898","122","Have predictive capacity monitoring and proactive response triggers been implemented?","NULL","9","133","5.0","580"
"899","123","Is your service or application deployed locally following the following Live / Live availability pattern?","NULL","9","133","5.0","581"
"900","124","Do your backups support fast partial restore or reverting to a snapshot?","NULL","9","133","5.0","582"
"901","125","Is the failover to a local standby instance fully automated or can the whole environment be redeployed automatically?","NULL","9","133","5.0","583"
"902","126","Is capacity planning in place for some or key components of the service?","NULL","9","133","5.0","584"
"903","127","Are your workloads dynamically portable across different sites?","NULL","9","133","5.0","585"
"904","128","Is your DR process a manual workflow comprising of scripted or manual actions?","NULL","9","133","5.0","586"
"905","129","Are backups regularly tested to validate recoverability?","NULL","9","133","5.0","577"
"906","130","Does your service have a local cold-standby instance?","NULL","9","133","5.0","578"
"907","131","Is your DR solution and process an automated workflow, with optional manual inputs to control execution stages?","NULL","9","133","5.0","579"
"908","132","Can environments and service components be automatically scaled in response to increased load?","NULL","9","133","5.0","580"
"909","133","Are your workloads dynamically portable across independent local infrastructure?","NULL","9","133","5.0","581"
"910","134","Do your backups support point-in-time recovery?","NULL","9","133","5.0","582"
"911","135","Are daily backups taking place, and do they have alerting in place for backup failures?","NULL","9","133","5.0","583"
"912","136","Are complete backups regularly tested to validate recoverability against RPO and RTO?","NULL","9","133","5.0","584"
"913","137","Is there a documented Data Retention/Life Cycle/Archival Strategy for this IT Service that is aligned with Backup and Recovery plans?","NULL","9","133","5.0","585"
"914","138","Can technical components be automatically discovered and linked to an IT service?","NULL","9","133","6.0","587"
"915","139","Can the application stack be automatically started and stopped in the correct component sequence, without manual intervention?","NULL","9","133","6.0","588"
"916","140","Is automated testing and gating in place as part of the release process and pipeline?","NULL","9","133","6.0","589"
"917","141","Are proactive problem management practices in place including lessonas learnt from major incident reviews?","NULL","9","133","6.0","590"
"918","142","Have resiliency and availability objectives been set and documented in SLAs/SLOs?","NULL","9","133","6.0","591"
"919","143","Have resiliency and availability objectives been set, documented and communicated?","NULL","9","133","6.0","592"
"920","144","Is the lineage and dependencies from business services, to business processes, to underlying IT services mapped?","NULL","9","133","6.0","593"
"921","145","Is capacity planning being performed at all in-scope technology layers?","NULL","9","133","6.0","594"
"922","146","Are regular local and DR failover tests being performed for all service components?","NULL","9","133","6.0","595"
"923","147","Is proactive monitoring in place to enable warning notifications and action before failures occur?","NULL","9","133","6.0","596"
"924","148","Are architects included in incident reviews?","NULL","9","133","6.0","587"
"925","149","Can capacity be automatically increased or auto-scaled, based on telemetry feedback?","NULL","9","133","6.0","588"
"926","150","Is source code being stored and managed in version and access-controlled repositories?","NULL","9","133","6.0","589"
"927","151","Can all service components be automatically (re)deployed, without operator intervention?","NULL","9","133","6.0","590"
"928","152","Are error budgets (relating to SLA thresholds) utilised to inform release prioritisation?","NULL","9","133","6.0","591"
"929","153","Do you hold a register of risks to availability/resilience for this IT Service?","NULL","9","133","6.0","592"
"930","154","Do the workloads emit sufficient telemetry data to monitor business level performance indicators like user experience, and is such monitoring performed?","NULL","9","133","5.0","597"
"931","155","Is automatic notification and escalation process in place for service impacting events?","NULL","9","133","5.0","598"
"932","156","Is logging being performed to capture the state and events of the infrastructure underpinning the application?","NULL","9","133","5.0","599"
"933","157","Have automated recovery processes been implemented based on feedback from monitoring and telemetry data?","NULL","9","133","5.0","600"
"934","158","Has service level situational awareness been established in  monitoring to understand 'normal' and peak loads that individual components can handle?","NULL","9","133","5.0","601"
"935","159","Is logging being performed to capture the state and events of the application?","NULL","9","133","5.0","602"
"936","160","Is centralised collection and processing of telemetry data in place, supporting service and incident management, visualisation, reporting etc.?","NULL","9","133","5.0","603"
"937","161","Has heartbeat checking been implemented to detect failures of critical components?","NULL","9","133","5.0","604"
"938","162","Has synthetic monitoring and probing been implemented to gain additional telemetry?","NULL","9","133","5.0","605"
"939","163","Are application logs available for centralised telemetry processing, either by using standard logging tools or custom agents/exporters?","NULL","9","133","5.0","606"
"940","164","Have service health visualisation dashboards been implemented?","NULL","9","133","5.0","597"
"941","165","Is there a monitoring dashboard in place to visualize the health of the Service Chain in real time along with the health of the underpinning IT Services?","NULL","9","133","5.0","598"
"942","166","Is automated correlation and grouping of events and alerts in place?","NULL","9","133","5.0","599"
"943","167","Is Machine Learning used to identify the most probable root cause, or likely candidates, of an incident?","NULL","9","133","5.0","600"
"944","168","Is Machine Learning used to predict and detect possible service-impacting incidents?","NULL","9","133","5.0","601"
1374,1,"Who (""Unto Whom"") is negatively impacted by the system? (Stakeholders)",NULL,9,144,3,866
1375,2,"Can users (""For Whom"") opt out, e.g. switch systems? Can users challenge or correct the output?",NULL,9,144,3,866
1376,3,Is there any risk identified while developing AI tool?,NULL,9,144,5,866
1377,4,"Are there mechanisms in place to ensure that data quality is maintained in scenarios such as data becoming obsolete, outdated, incomplete, incorrect data being used, source tool getting decommissioned etc has to be taken care and make necessary changes in algorithm (applicable for PII data)",NULL,9,144,4,866
1378,5,"Is sensitive data such as health data, biometric data being required and processed by the tool and any propotionate controls implemented for protecting sensitive data?",NULL,9,144,4,866
1380,7,"Is there a clearly stated and documented purpose for the tool which is aligned to Human, societal well being and does not have negative impact to the privacy, rights and freedom of individuals?",NULL,9,144,5,867
1381,8,"Does the tool have DSR handling capabilities, including the process, procedures and technical capabilities?",NULL,9,144,4,867
1382,9,Is communication sent to data subjects before rolling out AI solution and are there feedbacks incorporated to ensure that the solution is not overriding the interest of the data subjects?,NULL,9,144,3,867
1383,10,Has adequate notice/consent been taken from data subjects a) before using their data for training the AI tool b) before rolling out the tool c) when they are interacting with an AI or assisted by AI for decision making or if a decision is made about them by AI. And is this consent/acknowledgement being recorded?,NULL,9,144,2,867
1384,11,Can the system’s outputs negatively impact fundamental human rights?,NULL,9,144,4,867
1385,12,Can the system’s outputs negatively impact areas of life related to well-being?,NULL,9,144,3,868
1386,13,Could the system automate non-hazardous tasks that are or were being executed by humans?,NULL,9,144,1,868
1387,14,Which industrial sector is the system deployed in?,NULL,9,144,0,868
1388,15,What business function(s) is the system employed in?,NULL,9,144,0,869
1389,16,Jurisdiction in which AI is trained & applied,NULL,9,144,2,870
1390,17,Would a disruption of the system’s function / activity affect essential services?,NULL,9,144,1,870
1391,18,Is the solution using Vendor IP solutions? If yes whether vendor has agreed to explain how the results are arrived in case of DSRs or any queries from regulatory authorities?,NULL,9,144,4,870
1392,19,"Where vendor is involved, have they been made accountable for privacy and data protection by adding relevant data protection clauses to the contract",NULL,9,144,3,871
1393,20,How technically mature is the system?,NULL,9,144,4,871
1394,21,How do you ensure training & testing data is obtained in a fair and lawful manner (applicable for PII data),NULL,9,144,3,872
1395,22,Does the AI system have functionality built in to implement data deletion after use? (Applicable for PII data),NULL,9,144,3,872
1396,23,"Are the data and input from experts; provided, observed, synthetic or derived?",NULL,9,144,2,874
1397,24,"If personal data, will the data be anonymized; pseudonymized?",NULL,9,144,1,874
1398,25,"Is the model generative, discriminative or both?",NULL,9,144,1,874
1399,26,Does the model evolve and / or acquire abilities from interacting with data in the field?,NULL,9,144,2,875
1400,27,Is there a mechanism or documentation which explains how the decision is arrived using the AI/ML model?,NULL,9,144,3,875
1402,29,Do you have any advisory committee for fairness and bias review of any AI model?,NULL,9,144,2,877
1403,30,What tasks does the system perform?,NULL,9,144,0,877
1404,31,Does the system combine several tasks and actions?,NULL,9,144,3,877
1405,32,Are there predefined KPI's available for the tool and also for measuring output of tool?,NULL,9,144,2,878
1406,33,How autonomous are the system’s actions and what role do humans play?,NULL,9,144,3,878
1409,34,Are notifications provided in accessible formats for vulnerable groups such as children or persons with disabilities?,NULL,9,144,3,878
1410,35,Is the purpose of processing of the AI system reasonably expected by Data Subject?,NULL,9,144,2,878
1411,36,Is the output analysed every quarter to avoid any biases and discrimination?,NULL,9,144,3,879
1412,37,Is the system that continue to learn after being rolled out is developed in such a way to ensure that possibly biased outputs due to outputs used as an input for future operations (‘feedback loops’) are duly addressed with appropriate mitigation measures,NULL,9,144,2,879
1413,38,Is the algorithm able to produce similar results on same dataset when it is executed multiple times?,NULL,9,144,1,879
1414,39,Is there a provision for human intervention in cases where fully automated decisions are made?,NULL,9,144,3,880
1415,40,"Are the training & testing datasets analyzed at every quarter for representativeness? Is the data being used diverse enough and balanced and are they relevant, error free and complete and devoid of any bias and discrimination?",NULL,9,144,2,880
1446,1,What is the status of automation planning?,NULL,11,150,33.33,908
1447,2,Is productivity improvement plan aligned with the service line goals?,NULL,11,150,33.33,909
1448,3,Has the team been formed for executing automation roadmap?,NULL,11,150,33.33,910
1449,4,How is infra provisioned across environments?,NULL,11,150,33.33,911
1450,5,How is data refresh done from prod to lower environments?,NULL,11,150,33.33,912
1451,6,How are packaged deployed across environments?,NULL,11,150,33.33,913
1452,7,Is the data archival and purging automated?,NULL,11,150,33.33,914
1453,8,How is data profiling and cleaning handled?,NULL,11,150,33.33,915
1454,9,How is data migration activity performed?,NULL,11,150,33.33,916
1455,10,How is SLA management done?,NULL,11,150,33.33,917
1456,11,How are audit and compliance reports produced?,NULL,11,150,33.33,918
1457,12,How are regular progress reports generated?,NULL,11,150,33.33,919
1461,16,How is application capacity planning and management performed?,NULL,11,150,33.33,922
1462,17,How are DB performance managed?,NULL,11,150,33.33,923
1463,18,What percentage of applications have the APM tool configuration done (for alert and event management)?,NULL,8,150,33.33,924
1464,19,Which of the below describes current state of adoption of AI while facilitating operations?,NULL,11,150,100,925
1465,20,How is application health monitoring performed?,NULL,11,150,25,926
1466,21,"How is the monitoring done for applications, infrastructure, databases, batch jobs, interfaces ?",NULL,11,150,25,927
1467,22,How does the Business process with Transaction monitoring set up currently?,NULL,11,150,25,928
1468,23,"Are there standard command centers to monitor the health of applications, Severity incidents, Trends etc.",NULL,11,150,25,929
1469,24,What is the current state of Log Management system?,NULL,11,150,100,930
1470,25,How does the planned improvement fair against the actuals realized?,NULL,8,150,50,931
1471,26,"How do you correlate different business, IT data sources and identify the causality for any disruptions?",NULL,11,150,25,932
1472,27,"To derive the best business value from the IT, apps, what is the strategy you follow?",NULL,11,150,25,932
1473,28,What do you do to measure and enhance the customer experience?,NULL,11,150,100,933
1474,29,What do you do to bring in agility to the response to fast moving business changes?,NULL,11,150,100,934
1475,30,What is the level of reuse maturity within your org?,NULL,11,150,100,935
1476,31,What is the operating model structure that closely match from the options?,NULL,11,150,100,936
1477,32,Your Application Management process closely matches with which of the options provided?,NULL,11,150,100,937
1478,33,How are the data report Service Requests handled?,NULL,11,150,7.14,938
1479,34,How are the data update Service Requests handled today?,NULL,11,150,7.14,939
1480,35,How do you address user queries and user training?,NULL,11,150,7.14,940
1481,36,How do you handle Batch job failures in the current state?,NULL,11,150,7.14,941
1482,37,How do you handle Incident response and triage at present?,NULL,11,150,7.14,942
1483,38,How do you handle security related request specific to user role?,NULL,11,150,7.14,943
1484,39,How do you handle server and DB issues at present?,NULL,11,150,7.14,944
1485,40,How does historical resolution repository help in solving the new tickets?,NULL,11,150,7.14,945
1487,42,How does the Simple Queries get addressed in the System?,NULL,11,150,7.14,947
1488,43,How does the ticket enrichment happens in the current process?,NULL,11,150,7.14,948
1489,44,How does the User Lifecycle Management happens today?,NULL,11,150,7.14,949
1490,45,What is the current state of Shift Management process?,NULL,11,150,7.14,950
1491,46,What percentage of incidents are automatically created in ITSM tool?,NULL,8,150,7.14,951
1492,47,Which of these is closest to the change planning and approval processes followed at your org?,NULL,11,150,7.7,952
1493,48,How are regression test cases executed?,NULL,11,150,7.7,953
1494,49,How are performance test cases executed?,NULL,11,150,7.7,954
1495,50,What is the closest state of deploying new changes to production?,NULL,11,150,7.7,955
1496,51,How is code quality improved?,NULL,11,150,7.7,956
1497,52,How is impact analysis performed for the changes and disruptions?,NULL,11,150,7.7,957
1498,53,How are change requests estimated?,NULL,11,150,7.7,958
1499,54,What is the branching strategy for the source code and releases?,NULL,11,150,7.7,959
1500,55,How is coding accelerated?,NULL,11,150,7.7,960
1501,56,How are forward and rollback changes for DB applied?,NULL,11,150,7.7,961
1502,57,What is the approach for unit testing of the enhancements?,NULL,11,150,7.7,962
1503,58,How is the code quality ensured for the enhancements?,NULL,11,150,7.7,963
1504,59,How is progressive testing performed?,NULL,11,150,7.7,964
1505,60,Are the support processes SOP driven?,NULL,11,150,50,965
1506,61,How capable is the team to build and deploy automations for their use cases?,NULL,11,150,50,966
1507,62,What is the average year on year ticket reduction through different intervention plans in last 3 years,NULL,8,150,50,967
1508,63,How frequently are the incidents/service requests reviewed to provide improvement suggestions?,NULL,11,150,50,968
1509,64,"What percentage of alerts, anomalies in the system are proactively self healed thru automations?",NULL,8,150,50,969
1510,65,How is the event and  alert data from various sources used to optimize the operations?,NULL,11,150,50,969
1511,1,How many applications are in the production environment as of this month?,NULL,8,150,100,972
1512,2,"What is the average number of problems tickets  per month, based on the last 6 months data?",NULL,8,150,100,973
1513,3,What % applications use full stack DevOps for Application Management?,NULL,8,150,50,974
1514,4,What % applications use ScrumBan / Kanban for Application Management?,NULL,8,150,50,974
1515,5,"What is the average number of critical and high priority (P1 and P2) tickets per month, based on the last 6 months data?",NULL,8,150,100,975
1516,6,What is the average number of FTEs working on Application management based on the last 6 months data?,NULL,8,150,100,976
1517,7,What is the average monthly ticket volume for application management (exclude Infra support tickets) based on the last 6 months data?,NULL,8,150,50,977
1518,8,What is the average number of incidents  per month based on the last 6 months data?,NULL,8,150,50,977
1827,99,What is the maturity level of your problem management process?,NULL,11,150,100,1106
1904,99,What percentage of tickets are handled through standard operating procedures and/ or run books?,NULL,8,150,100,1175
1905,41,How does the service request resolution happens today?,NULL,11,150,3.57,946
1906,41,How does the incident resolution happens today?,NULL,11,150,3.57,1176
2067,9,What is the average number of service requests per month based on the last 6 months data?,NULL,8,150,50,977
"1459","14","How do you correlate different business, IT data sources and identify the causality for any disruptions?",NULL,"11","150","25","921"
"1460","15","To derive the best business value from the IT, apps, what is the strategy you follow?",NULL,"11","150","25","921"
"1285","10","What is the operating model structure that closely match from the options","NULL","11","143","100.0","769"
"1286","1","What % applications use ScrumBan / Kanban for Application Management?","NULL","10","143","50.0","770"
"1287","2","What % applications use full stack DevOps for Application Management?","NULL","10","143","50.0","770"
"1288","11","Your support process closely match with which of the options provided?","NULL","11","143","100.0","771"
"1289","3","How many applications are in the production environment as of this month?","NULL","8","143","100.0","772"
"1290","4","What is the average monthly ticket volume for application management (exclude Infra support tickets) based on the last 6 months data?","NULL","8","143","33.0","773"
"1291","13","What percentage of incidents are automatically created in ITSM tool?","NULL","9","143","33.0","774"
"1292","14","What percentage of incident resolutions are automated ( Applications and Batch)","NULL","9","143","33.0","775"
"1293","24","What percentage of applications have the APM tool configuration done (for alert and event management)?","NULL","9","143","100.0","776"
"1294","25","Which of the below describes current state of adoption of AI while facilitating operations?","NULL","11","143","100.0","777"
"1295","26","Are there standard command centers to monitor the health of applications, Severity incidents, Trends etc.","NULL","11","143","100.0","778"
"1296","16","What percentage of service requests are handled through automation?","NULL","9","143","100.0","779"
"1297","17","What is the maturity level of your problem management process?","NULL","11","143","100.0","780"
"1298","18","How frequently are the incidents reviewed to provide suggestions to improve app?","NULL","11","143","50.0","781"
"1299","5","What is the average number of incidents  per month based on the last 6 months data?","NULL","8","143","33.0","773"
