"id","name","parent_id","parent_name","last_updated_by","last_updated_date","dimension_id","metric_id","target_level","duration","source","description"
"1378","Check if supporting details given in the comments why the capability Design & Build\\Cyber Resilience\\Volumetric DDoS attack resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","207","689","L1","90","SME","NULL"
"1379","Explore the opportunities to have lateral attack protection in place.","NULL","NULL","NULL","2023-02-10","207","690","L1","90","SME","NULL"
"1380","Explore the opportunities to have lateral attack protection in place.","NULL","NULL","NULL","2023-02-10","207","690","L3","90","SME","NULL"
"1381","No Recommendation","NULL","NULL","NULL","2023-02-10","207","690","L4","90","SME","NULL"
"1382","Check if supporting details given in the comments why the capability Design & Build\\Cyber Resilience\\Lateral attack protection  is not applicable.","NULL","NULL","NULL","2023-02-10","207","690","L1","90","SME","NULL"
"1383","Explore the opportunities to have DoS attack resilience is handled.,NULL
Have the capacity in place for the system to handle 10X load.","NULL","NULL","NULL","2023-02-10","207","691","L1","90","SME","NULL"
"1384","Explore the opportunities to have DoS attack resilience is handled.,NULL
Have the capacity in place for the system to handle 10X load.","NULL","NULL","NULL","2023-02-10","207","691","L3","90","SME","NULL"
"1385","No Recommendation","NULL","NULL","NULL","2023-02-10","207","691","L4","90","SME","NULL"
"1386","Check if supporting details given in the comments why the capability Design & Build\\Cyber Resilience\\Protocol/Application based DoS attack resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","207","691","L1","90","SME","NULL"
"1387","Explore an option to automate the ceritificate renewal","NULL","NULL","NULL","2023-02-10","207","692","L1","90","SME","NULL"
"1388","Explore an option to automate the ceritificate renewal","NULL","NULL","NULL","2023-02-10","207","692","L3","90","SME","NULL"
"1389","No Recommendation","NULL","NULL","NULL","2023-02-10","207","692","L4","90","SME","NULL"
"1390","Check if supporting details given in the comments why the capability Design & Build\\Cyber Resilience\\Certificate resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","207","692","L1","90","SME","NULL"
"1391","Have auto-scaling feature implemeted.","NULL","NULL","NULL","2023-02-10","207","693","L1","90","SME","NULL"
"1392","Have auto-scaling feature implemeted.","NULL","NULL","NULL","2023-02-10","207","693","L3","90","SME","NULL"
"1393","No Recommendation","NULL","NULL","NULL","2023-02-10","207","693","L4","90","SME","NULL"
"1394","Check if supporting details given in the comments why the capability Design & Build\\Cyber Resilience\\Protocol/Application based DoS attack resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","207","693","L1","90","SME","NULL"
"1395","Have auto-scaling feature implemeted so that the system can handle if any DDoS attack occur.","NULL","NULL","NULL","2023-02-10","207","684","L1","90","SME","NULL"
"1396","Have auto-scaling feature implemeted so that the system can handle if any DDoS attack occur.","NULL","NULL","NULL","2023-02-10","207","684","L3","90","SME","NULL"
"1397","Explore an option to on issuing CA / PKI service higly available","NULL","NULL","NULL","2023-02-10","207","686","L1","90","SME","NULL"
"1398","Explore an option to on issuing CA / PKI service higly available","NULL","NULL","NULL","2023-02-10","207","686","L3","90","SME","NULL"
"1399","Check if supporting details given in the comments why the capability Design & Build\\Cyber Resilience\\Certificate resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","207","686","L1","90","SME","NULL"
"1400","Explore the opportunities to have lateral attack protection in place.","NULL","NULL","NULL","2023-02-10","207","687","L1","90","SME","NULL"
"1401","Explore the opportunities to have lateral attack protection in place.","NULL","NULL","NULL","2023-02-10","207","687","L3","90","SME","NULL"
"1402","Check if supporting details given in the comments why the capability Design & Build\\Cyber Resilience\\Lateral attack protection  is not applicable.","NULL","NULL","NULL","2023-02-10","207","687","L1","90","SME","NULL"
"1403","Implement Venafi to get an alert. Explore an option to automate the ceritificate renewal","NULL","NULL","NULL","2023-02-10","207","688","L1","90","SME","NULL"
"1404","Implement Venafi to get an alert. Explore an option to automate the ceritificate renewal","NULL","NULL","NULL","2023-02-10","207","688","L3","90","SME","NULL"
"1405","Explore the opportunities to have DoS attack resilience is handled.,NULL
Have the capacity in place for the system to handle 5X load.","NULL","NULL","NULL","2023-02-10","207","689","L1","90","SME","NULL"
"1406","Explore the opportunities to have DoS attack resilience is handled.,NULL
Have the capacity in place for the system to handle 5X load.","NULL","NULL","NULL","2023-02-10","207","689","L3","90","SME","NULL"
"1407","Check if supporting details given in the comments why the capability Design & Build\\Cyber Resilience\\Protocol/Application based DoS attack resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","207","689","L1","90","SME","NULL"
"1408","Ensure a signed and monitored contract (SLA)  exist with dat owner to provide quality data in specified time.,NULL
Error procedures to be present.","NULL","NULL","NULL","2023-02-10","208","694","L1","90","SME","NULL"
"1409","Ensure a signed and monitored contract (SLA)  exist with dat owner to provide quality data in specified time.,NULL
Error procedures to be present.","NULL","NULL","NULL","2023-02-10","208","694","L3","90","SME","NULL"
"1410","No Recommendation","NULL","NULL","NULL","2023-02-10","208","694","L4","90","SME","NULL"
"1411","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\SLA with Data producer  is not applicable.","NULL","NULL","NULL","2023-02-10","208","694","L1","90","SME","NULL"
"1412","Ensure data transformation proces is documented to understand the data flow from source to target systems.","NULL","NULL","NULL","2023-02-10","208","695","L1","90","SME","NULL"
"1413","Ensure data transformation proces is documented to understand the data flow from source to target systems.","NULL","NULL","NULL","2023-02-10","208","695","L3","90","SME","NULL"
"1414","No Recommendation","NULL","NULL","NULL","2023-02-10","208","695","L4","90","SME","NULL"
"1415","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Transformation  is not applicable.","NULL","NULL","NULL","2023-02-10","208","695","L1","90","SME","NULL"
"1416","Have the data integrity checks implemented to verify the data consistency to prevent the data processing issues.","NULL","NULL","NULL","2023-02-10","208","696","L1","90","SME","NULL"
"1417","Have the data integrity checks implemented to verify the data consistency to prevent the data processing issues.","NULL","NULL","NULL","2023-02-10","208","696","L3","90","SME","NULL"
"1418","No Recommendation","NULL","NULL","NULL","2023-02-10","208","696","L4","90","SME","NULL"
"1419","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data processing - Data Integrity Checks  is not applicable.","NULL","NULL","NULL","2023-02-10","208","696","L1","90","SME","NULL"
"1420","Explore the opportunities to implement data access and monitoring to ensure audit trail is captured.","NULL","NULL","NULL","2023-02-10","208","697","L1","90","SME","NULL"
"1421","Explore the opportunities to implement data access and monitoring to ensure audit trail is captured.","NULL","NULL","NULL","2023-02-10","208","697","L3","90","SME","NULL"
"1422","No Recommendation","NULL","NULL","NULL","2023-02-10","208","697","L4","90","SME","NULL"
"1423","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Access and Monitoring  is not applicable.","NULL","NULL","NULL","2023-02-10","208","697","L1","90","SME","NULL"
"1424","Explore the opportunities to provide proper access for the users to perform only the respective operations with the data.","NULL","NULL","NULL","2023-02-10","208","698","L1","90","SME","NULL"
"1425","Explore the opportunities to provide proper access for the users to perform only the respective operations with the data.","NULL","NULL","NULL","2023-02-10","208","698","L3","90","SME","NULL"
"1426","No Recommendation","NULL","NULL","NULL","2023-02-10","208","698","L4","90","SME","NULL"
"1427","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Access and Monitoring  is not applicable.","NULL","NULL","NULL","2023-02-10","208","698","L1","90","SME","NULL"
"1428","Have data quality management rules defined to check the data before it is processsed.","NULL","NULL","NULL","2023-02-10","208","699","L1","90","SME","NULL"
"1429","Have data quality management rules defined to check the data before it is processsed.","NULL","NULL","NULL","2023-02-10","208","699","L3","90","SME","NULL"
"1430","No Recommendation","NULL","NULL","NULL","2023-02-10","208","699","L4","90","SME","NULL"
"1431","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data processing - Data Integrity Checks  is not applicable.","NULL","NULL","NULL","2023-02-10","208","699","L1","90","SME","NULL"
"1432","Explore the possibilities to enable data versioning. ,NULL
Explore the possibilities to detect the data deletion and rolling back the deleted data.,NULL
Explore the possibilities to prevent the unexpected data deletion.","NULL","NULL","NULL","2023-02-10","208","700","L1","90","SME","NULL"
"1433","Explore the possibilities to enable data versioning. ,NULL
Explore the possibilities to detect the data deletion and rolling back the deleted data.,NULL
Explore the possibilities to prevent the unexpected data deletion.","NULL","NULL","NULL","2023-02-10","208","700","L3","90","SME","NULL"
"1434","No Recommendation","NULL","NULL","NULL","2023-02-10","208","700","L4","90","SME","NULL"
"1435","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Store (data at rest) - Recovery Capability  is not applicable.","NULL","NULL","NULL","2023-02-10","208","700","L1","90","SME","NULL"
"1436","Define the exit strategies for data migration to another platform.","NULL","NULL","NULL","2023-02-10","208","701","L1","90","SME","NULL"
"1437","Define the exit strategies for data migration to another platform.","NULL","NULL","NULL","2023-02-10","208","701","L3","90","SME","NULL"
"1438","No Recommendation","NULL","NULL","NULL","2023-02-10","208","701","L4","90","SME","NULL"
"1439","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Store (data at rest) - Concentration Risk  is not applicable.","NULL","NULL","NULL","2023-02-10","208","701","L1","90","SME","NULL"
"1440","Ensure a test plan is in place to check the data transformation workloads are proper.","NULL","NULL","NULL","2023-02-10","208","702","L1","90","SME","NULL"
"1441","Ensure a test plan is in place to check the data transformation workloads are proper.","NULL","NULL","NULL","2023-02-10","208","702","L3","90","SME","NULL"
"1442","No Recommendation","NULL","NULL","NULL","2023-02-10","208","702","L4","90","SME","NULL"
"1443","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Transformation  is not applicable.","NULL","NULL","NULL","2023-02-10","208","702","L1","90","SME","NULL"
"1444","Define toll gate checks in order to prevent the data deletion.","NULL","NULL","NULL","2023-02-10","208","703","L1","90","SME","NULL"
"1445","Define toll gate checks in order to prevent the data deletion.","NULL","NULL","NULL","2023-02-10","208","703","L3","90","SME","NULL"
"1446","No Recommendation","NULL","NULL","NULL","2023-02-10","208","703","L4","90","SME","NULL"
"1447","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Processing - Continuous Integration Tests  is not applicable.","NULL","NULL","NULL","2023-02-10","208","703","L1","90","SME","NULL"
"1448","Explore the opportunities to include immediate systems consuming the data into the automated tests.","NULL","NULL","NULL","2023-02-10","208","694","L1","90","SME","NULL"
"1449","Explore the opportunities to include immediate systems consuming the data into the automated tests.","NULL","NULL","NULL","2023-02-10","208","694","L3","90","SME","NULL"
"1450","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Processing - Orchestration and Automated Testing  is not applicable.","NULL","NULL","NULL","2023-02-10","208","694","L1","90","SME","NULL"
"1451","Explore the opportunities to utilise process  orchestration frameworks.","NULL","NULL","NULL","2023-02-10","208","695","L1","90","SME","NULL"
"1452","Explore the opportunities to utilise process  orchestration frameworks.","NULL","NULL","NULL","2023-02-10","208","695","L3","90","SME","NULL"
"1453","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Processing - Orchestration and Automated Testing  is not applicable.","NULL","NULL","NULL","2023-02-10","208","695","L1","90","SME","NULL"
"1454","Explore the possibilities to automatically recover and re-run in case of failures of the data that is being ingested.","NULL","NULL","NULL","2023-02-10","208","696","L1","90","SME","NULL"
"1455","Explore the possibilities to automatically recover and re-run in case of failures of the data that is being ingested.","NULL","NULL","NULL","2023-02-10","208","696","L3","90","SME","NULL"
"1456","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data inbound-feed resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","208","696","L1","90","SME","NULL"
"1457","Have a regular data synchronisation to another vendor platform.","NULL","NULL","NULL","2023-02-10","208","697","L1","90","SME","NULL"
"1458","Have a regular data synchronisation to another vendor platform.","NULL","NULL","NULL","2023-02-10","208","697","L3","90","SME","NULL"
"1459","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Store (data at rest) - Concentration Risk  is not applicable.","NULL","NULL","NULL","2023-02-10","208","697","L1","90","SME","NULL"
"1460","Explore the possibilities to monitor the data ingested from the source systems and raise a notification when the data is not available.","NULL","NULL","NULL","2023-02-10","208","698","L1","90","SME","NULL"
"1461","Explore the possibilities to monitor the data ingested from the source systems and raise a notification when the data is not available.","NULL","NULL","NULL","2023-02-10","208","698","L3","90","SME","NULL"
"1462","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data inbound-feed resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","208","698","L1","90","SME","NULL"
"1463","Have the basic and automated checks implemented to verify the data consistency.","NULL","NULL","NULL","2023-02-10","208","699","L1","90","SME","NULL"
"1464","Have the basic and automated checks implemented to verify the data consistency.","NULL","NULL","NULL","2023-02-10","208","699","L3","90","SME","NULL"
"1465","Explore the opportunities to implement real time data synchronisation to another vendor platform.","NULL","NULL","NULL","2023-02-10","208","700","L1","90","SME","NULL"
"1466","Explore the opportunities to implement real time data synchronisation to another vendor platform.","NULL","NULL","NULL","2023-02-10","208","700","L3","90","SME","NULL"
"1467","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Store (data at rest) - Concentration Risk  is not applicable.","NULL","NULL","NULL","2023-02-10","208","700","L1","90","SME","NULL"
"1468","Explore the possibilities to monitor the data ingested from the upstream systems in order to ensure safe and secure data is transferred.","NULL","NULL","NULL","2023-02-10","208","701","L1","90","SME","NULL"
"1469","Explore the possibilities to monitor the data ingested from the upstream systems in order to ensure safe and secure data is transferred.","NULL","NULL","NULL","2023-02-10","208","701","L3","90","SME","NULL"
"1470","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data inbound-feed resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","208","701","L1","90","SME","NULL"
"1471","Implement the data standards that adhere to the HSBC BIM model.","NULL","NULL","NULL","2023-02-10","208","702","L1","90","SME","NULL"
"1472","Implement the data standards that adhere to the HSBC BIM model.","NULL","NULL","NULL","2023-02-10","208","702","L3","90","SME","NULL"
"1473","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Processing - Orchestration and Automated Testing  is not applicable.","NULL","NULL","NULL","2023-02-10","208","702","L1","90","SME","NULL"
"1474","Have the data integrity checks implemented to verify the data consistency before processing.","NULL","NULL","NULL","2023-02-10","208","703","L1","90","SME","NULL"
"1475","Have the data integrity checks implemented to verify the data consistency before processing.","NULL","NULL","NULL","2023-02-10","208","703","L3","90","SME","NULL"
"1476","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Integrity & Consistency  is not applicable.","NULL","NULL","NULL","2023-02-10","208","703","L1","90","SME","NULL"
"1477","Explore the possibilities to enable data versioning.","NULL","NULL","NULL","2023-02-10","208","694","L1","90","SME","NULL"
"1478","Explore the possibilities to enable data versioning.","NULL","NULL","NULL","2023-02-10","208","694","L3","90","SME","NULL"
"1479","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Store (data at rest) - Recovery Capability  is not applicable.","NULL","NULL","NULL","2023-02-10","208","694","L1","90","SME","NULL"
"1480","Have the continuous integration tests in place to validate the data that is processed.","NULL","NULL","NULL","2023-02-10","208","695","L1","90","SME","NULL"
"1481","Have the continuous integration tests in place to validate the data that is processed.","NULL","NULL","NULL","2023-02-10","208","695","L3","90","SME","NULL"
"1482","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Processing - Continuous Integration Tests  is not applicable.","NULL","NULL","NULL","2023-02-10","208","695","L1","90","SME","NULL"
"1483","Implement the auto-healing routines to detect and create the missing references for the data.","NULL","NULL","NULL","2023-02-10","208","696","L1","90","SME","NULL"
"1484","Implement the auto-healing routines to detect and create the missing references for the data.","NULL","NULL","NULL","2023-02-10","208","696","L3","90","SME","NULL"
"1485","Explore the possibilities to test the backup data regularly on alternative platforms to ensure the backups are working fine.","NULL","NULL","NULL","2023-02-10","208","697","L1","90","SME","NULL"
"1486","Explore the possibilities to test the backup data regularly on alternative platforms to ensure the backups are working fine.","NULL","NULL","NULL","2023-02-10","208","697","L3","90","SME","NULL"
"1487","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Store (data at rest) - Recovery Capability  is not applicable.","NULL","NULL","NULL","2023-02-10","208","697","L1","90","SME","NULL"
"1488","Ensure data processing is documented to understand the data flow from source to target systems.","NULL","NULL","NULL","2023-02-10","208","698","L1","90","SME","NULL"
"1489","Ensure data processing is documented to understand the data flow from source to target systems.","NULL","NULL","NULL","2023-02-10","208","698","L3","90","SME","NULL"
"1490","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Process Resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","208","698","L1","90","SME","NULL"
"1491","Regularly review the access rights to data.","NULL","NULL","NULL","2023-02-10","208","699","L1","90","SME","NULL"
"1492","Regularly review the access rights to data.","NULL","NULL","NULL","2023-02-10","208","699","L3","90","SME","NULL"
"1493","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Provision & Consumption Resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","208","699","L1","90","SME","NULL"
"1494","Have a regular data synchronisation to another vendor platform.","NULL","NULL","NULL","2023-02-10","208","700","L1","90","SME","NULL"
"1495","Have a regular data synchronisation to another vendor platform.","NULL","NULL","NULL","2023-02-10","208","700","L3","90","SME","NULL"
"1496","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Store Resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","208","700","L1","90","SME","NULL"
"1497","Ensure a test plan is in place to check the data processing workloads are proper to avoid any issues in prod related to data processing.","NULL","NULL","NULL","2023-02-10","208","701","L1","90","SME","NULL"
"1498","Ensure a test plan is in place to check the data processing workloads are proper to avoid any issues in prod related to data processing.","NULL","NULL","NULL","2023-02-10","208","701","L3","90","SME","NULL"
"1499","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Process Resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","208","701","L1","90","SME","NULL"
"1500","Have the basic and automated checks implemented to verify the data consistency.","NULL","NULL","NULL","2023-02-10","208","702","L1","90","SME","NULL"
"1501","Have the basic and automated checks implemented to verify the data consistency.","NULL","NULL","NULL","2023-02-10","208","702","L3","90","SME","NULL"
"1502","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Ingestion Resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","208","702","L1","90","SME","NULL"
"1503","Explore the possibilities to automatically recover and re-run in case of failures of the data that is being ingested.","NULL","NULL","NULL","2023-02-10","208","703","L1","90","SME","NULL"
"1504","Explore the possibilities to automatically recover and re-run in case of failures of the data that is being ingested.","NULL","NULL","NULL","2023-02-10","208","703","L3","90","SME","NULL"
"1505","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Process Resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","208","703","L1","90","SME","NULL"
"1506","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Provision & Consumption Resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","208","694","L1","90","SME","NULL"
"1507","Do implement automated process to reprocess or resend the data in case of error and test the automation to avoid any issue in case if the routine is getting triggered.","NULL","NULL","NULL","2023-02-10","208","695","L1","90","SME","NULL"
"1508","Do implement automated process to reprocess or resend the data in case of error and test the automation to avoid any issue in case if the routine is getting triggered.","NULL","NULL","NULL","2023-02-10","208","695","L3","90","SME","NULL"
"1509","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Provision & Consumption Resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","208","695","L1","90","SME","NULL"
"1510","Create step by step support procedure document for data maintenance to be used by support team.","NULL","NULL","NULL","2023-02-10","208","696","L1","90","SME","NULL"
"1511","Create step by step support procedure document for data maintenance to be used by support team.","NULL","NULL","NULL","2023-02-10","208","696","L3","90","SME","NULL"
"1512","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Store Resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","208","696","L1","90","SME","NULL"
"1513","Have the continuous integration tests in place to validate the data that is processed.","NULL","NULL","NULL","2023-02-10","208","697","L1","90","SME","NULL"
"1514","Have the continuous integration tests in place to validate the data that is processed.","NULL","NULL","NULL","2023-02-10","208","697","L3","90","SME","NULL"
"1515","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Process Resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","208","697","L1","90","SME","NULL"
"1516","Define toll gate checks in order to prevent the data deletion.","NULL","NULL","NULL","2023-02-10","208","698","L1","90","SME","NULL"
"1517","Define toll gate checks in order to prevent the data deletion.","NULL","NULL","NULL","2023-02-10","208","698","L3","90","SME","NULL"
"1518","Explore the possibilities to monitor the data ingested from the source systems and raise a notification when the data is not available.","NULL","NULL","NULL","2023-02-10","208","699","L1","90","SME","NULL"
"1519","Explore the possibilities to monitor the data ingested from the source systems and raise a notification when the data is not available.","NULL","NULL","NULL","2023-02-10","208","699","L3","90","SME","NULL"
"1520","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Ingestion Resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","208","699","L1","90","SME","NULL"
"1521","Explore the possibilities to monitor the data ingested from the upstream systems in order to ensure safe and secure data is transferred.","NULL","NULL","NULL","2023-02-10","208","700","L1","90","SME","NULL"
"1522","Explore the possibilities to monitor the data ingested from the upstream systems in order to ensure safe and secure data is transferred.","NULL","NULL","NULL","2023-02-10","208","700","L3","90","SME","NULL"
"1523","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Ingestion Resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","208","700","L1","90","SME","NULL"
"1524","Explore the opportunities to implement data access and monitoring to ensure audit trail is captured.","NULL","NULL","NULL","2023-02-10","208","701","L1","90","SME","NULL"
"1525","Explore the opportunities to implement data access and monitoring to ensure audit trail is captured.","NULL","NULL","NULL","2023-02-10","208","701","L3","90","SME","NULL"
"1526","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Provision & Consumption Resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","208","701","L1","90","SME","NULL"
"1527","Have the data consistency checks implemented to verify the data considstency before processing","NULL","NULL","NULL","2023-02-10","208","702","L1","90","SME","NULL"
"1528","Have the data consistency checks implemented to verify the data considstency before processing","NULL","NULL","NULL","2023-02-10","208","702","L3","90","SME","NULL"
"1529","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Integrity & Consistency  is not applicable.","NULL","NULL","NULL","2023-02-10","208","702","L1","90","SME","NULL"
"1530","Define a procedure to reprocess/resend the data in case of error.","NULL","NULL","NULL","2023-02-10","208","703","L1","90","SME","NULL"
"1531","Define a procedure to reprocess/resend the data in case of error.","NULL","NULL","NULL","2023-02-10","208","703","L3","90","SME","NULL"
"1532","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Provision & Consumption Resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","208","703","L1","90","SME","NULL"
"1533","Have the data integrity checks implemented to verify the data consistency before processing.","NULL","NULL","NULL","2023-02-10","208","694","L1","90","SME","NULL"
"1534","Have the data integrity checks implemented to verify the data consistency before processing.","NULL","NULL","NULL","2023-02-10","208","694","L3","90","SME","NULL"
"1535","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data processing - Data Integrity Checks  is not applicable.","NULL","NULL","NULL","2023-02-10","208","694","L1","90","SME","NULL"
"1536","Explore the possibilities to test the backup data regularly on alternative platforms to ensure the backups are working fine.","NULL","NULL","NULL","2023-02-10","208","695","L1","90","SME","NULL"
"1537","Explore the possibilities to test the backup data regularly on alternative platforms to ensure the backups are working fine.","NULL","NULL","NULL","2023-02-10","208","695","L3","90","SME","NULL"
"1538","Check if supporting details given in the comments why the capability Design & Build\\Data resilience\\Data Store Resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","208","695","L1","90","SME","NULL"
"1539","Explore the opportunities to implement real time data synchronisation to another vendor platform.","NULL","NULL","NULL","2023-02-10","208","696","L1","90","SME","NULL"
"1540","Explore the opportunities to implement real time data synchronisation to another vendor platform.","NULL","NULL","NULL","2023-02-10","208","696","L3","90","SME","NULL"
"1541","Explore the opportunities to include immediate systems consuming the data into the automated tests.","NULL","NULL","NULL","2023-02-10","208","697","L1","90","SME","NULL"
"1542","Explore the opportunities to include immediate systems consuming the data into the automated tests.","NULL","NULL","NULL","2023-02-10","208","697","L3","90","SME","NULL"
"1543","Explore the opportunities to utilise process  orchestration frameworks.","NULL","NULL","NULL","2023-02-10","208","698","L1","90","SME","NULL"
"1544","Explore the opportunities to utilise process  orchestration frameworks.","NULL","NULL","NULL","2023-02-10","208","698","L3","90","SME","NULL"
"1545","Implement auto recovery for data ingestion process.","NULL","NULL","NULL","2023-02-10","208","699","L1","90","SME","NULL"
"1546","Implement auto recovery for data ingestion process.","NULL","NULL","NULL","2023-02-10","208","699","L3","90","SME","NULL"
