id,option_text,question_id,score,impact
3224,Fully Met,784,5,No impact as system is matured.
3225,Not Applicable,784,0,No impact as capability is not applicable.
3226,Not Met,785,1,"Certificate renewal process is not automated and manual steps are required to complete the renewal process.\
Risk of service not working or behaving as expected as there is possibility of missing steps during the certificate renewal."
3227,Partial Met,785,3,"Certificate renewal process is not automated and manual steps are required to complete the renewal process.\
Risk of service not working or behaving as expected as there is possibility of missing steps during the certificate renewal."
3228,Fully Met,785,5,No impact as system is matured.
3229,Not Applicable,785,0,No impact as capability is not applicable.
3230,Not Met,786,1,"No auto scaling capability in place for the service.\
This makes the service degrade when there is a peak load of traffic as the system resources gets exhausted.\
This impacts the availability of the service."
3231,Partial Met,786,3,"No auto scaling capability in place for the service.\
This makes the service degrade when there is a peak load of traffic as the system resources gets exhausted.\
This impacts the availability of the service."
3232,Fully Met,786,5,No impact as system is matured.
3233,Not Applicable,786,0,No impact as capability is not applicable.
3234,Not Met,787,1,"Mutli level DDoS protection in place but no automatic scaling implemented.\
This makes the service degrade when there is a peak load of traffic as the system resources gets exhausted.\
This impacts the availability of the service."
3235,Partial Met,787,3,"Mutli level DDoS protection in place but no automatic scaling implemented.\
This makes the service degrade when there is a peak load of traffic as the system resources gets exhausted.\
This impacts the availability of the service."
3236,Fully Met,787,5,No impact as system is matured.
3237,Not Applicable,787,0,No impact as capability is not applicable.
3238,Not Met,788,1,"No Lateral attack protection in place for inbound and outbound communication.\
This attack compromises a trusted user to get access into the network and uses it to attack other trusted users.\
This compromises on cyber resiliency for the systems."
3239,Partial Met,788,3,"No Lateral attack protection in place for inbound and outbound communication.\
This attack compromises a trusted user to get access into the network and uses it to attack other trusted users.\
This compromises on cyber resiliency for the systems."
3240,Fully Met,788,5,No impact as system is matured.
3241,Not Applicable,788,0,No impact as capability is not applicable.
3242,Not Met,789,1,"Certificate renewal process is not fully automated and issuing of CA/KPI service is not highly available.\
Risk of service not working or behaving as expected as there is possibility of missing steps during the certificate renewal, if any manual steps present."
3243,Partial Met,789,3,"Certificate renewal process is not fully automated and issuing of CA/KPI service is not highly available.\
Risk of service not working or behaving as expected as there is possibility of missing steps during the certificate renewal, if any manual steps present."
3244,Fully Met,789,5,No impact as system is matured.
3245,Not Applicable,789,0,No impact as capability is not applicable.
3246,Not Met,790,1,"No Lateral attack protection in place either at device or service level protection for inbound and network level protection outbound.\
This attack compromises a trusted user to get access into the network and uses it to attack other trusted users.\
This compromises on cyber resiliency for the systems."
3247,Partial Met,790,3,"No Lateral attack protection in place either at device or service level protection for inbound and network level protection outbound.\
This attack compromises a trusted user to get access into the network and uses it to attack other trusted users.\
This compromises on cyber resiliency for the systems."
3248,Fully Met,790,5,No impact as system is matured.
3249,Not Applicable,790,0,No impact as capability is not applicable.
3250,Not Met,791,1,Risk of service not working or behaving as expected as there is possibility of missing certificate renewal if there are no alerts
3251,Partial Met,791,3,Risk of service not working or behaving as expected as there is possibility of missing certificate renewal if there are no alerts
3252,Fully Met,791,5,No impact as system is matured.
3253,Not Applicable,791,0,No impact as capability is not applicable.
3254,Not Met,792,1,"The service is not capable enough of absorbing 5X capacity.\
If a DoS attack happens, and the load is increased beyond 2X, the system will be degraded as the resources are utilized at maximum."
3255,Partial Met,792,3,"The service is not capable enough of absorbing 5X capacity.\
If a DoS attack happens, and the load is increased beyond 2X, the system will be degraded as the resources are utilized at maximum."
3256,Fully Met,792,5,No impact as system is matured.
3257,Not Applicable,792,0,No impact as capability is not applicable.
3258,Not Met,793,1,"No signed contract(SLA) exist with the data owner.\
If quality data is not produced by data owner or not produced within specified time, this impact the systems and affects the business operations."
3259,Partial Met,793,3,"No signed contract(SLA) exist with the data owner.\
If quality data is not produced by data owner or not produced within specified time, this impact the systems and affects the business operations."
3260,Fully Met,793,5,No impact as system is matured.
3261,Not Applicable,793,0,No impact as capability is not applicable.
3262,Not Met,794,1,"Data transformation process is not documented.\
This creates lack of understanding on how the data is transformed across the systems from source to target.\
Difficult to analyze the data flows when an issue occurr across the systems."
3263,Partial Met,794,3,"Data transformation process is not documented.\
This creates lack of understanding on how the data is transformed across the systems from source to target.\
Difficult to analyze the data flows when an issue occurr across the systems."
3264,Fully Met,794,5,No impact as system is matured.
3265,Not Applicable,794,0,No impact as capability is not applicable.
3266,Not Met,795,1,"No data integrity checks implemented as part of data processing.\
This causes to pass through the incomplete data or irrelevant data to the dependent or downstream systems for further processing, resulting in impacting the business operations.\
For example: the data format may be different across the systems which are involved in processing."
3267,Partial Met,795,3,"No data integrity checks implemented as part of data processing.\
This causes to pass through the incomplete data or irrelevant data to the dependent or downstream systems for further processing, resulting in impacting the business operations.\
For example: the data format may be different across the systems which are involved in processing."
3268,Fully Met,795,5,No impact as system is matured.
3269,Not Applicable,795,0,No impact as capability is not applicable.
3270,Not Met,796,1,"User activity logging is not monitored/tracked.\
In case, if there are any data inconsistency issues, it will be difficult to track to know who made the changes to the data.\
This may lead to violate the regulatory requirement."
3271,Partial Met,796,3,"User activity logging is not monitored/tracked.\
In case, if there are any data inconsistency issues, it will be difficult to track to know who made the changes to the data.\
This may lead to violate the regulatory requirement."
3272,Fully Met,796,5,No impact as system is matured.
3273,Not Applicable,796,0,No impact as capability is not applicable.
3274,Not Met,797,1,"Proper access and views are not maintained for data based on the user role, location etc.\
This may lead to data inconsistency if users update incorrect data.\
Due to this incorrect data, application functionalities may not work as expected.\
This also may arise data privacy issues."
3275,Partial Met,797,3,"Proper access and views are not maintained for data based on the user role, location etc.\
This may lead to data inconsistency if users update incorrect data.\
Due to this incorrect data, application functionalities may not work as expected.\
This also may arise data privacy issues."
3276,Fully Met,797,5,No impact as system is matured.
3277,Not Applicable,797,0,No impact as capability is not applicable.
3278,Not Met,798,1,"No regular data quality checks in place for the data being processed.\
This causes to pass through incorrect/incomplete data which results in unexpected application behaviour and impacts business operations."
3279,Partial Met,798,3,"No regular data quality checks in place for the data being processed.\
This causes to pass through incorrect/incomplete data which results in unexpected application behaviour and impacts business operations."
3280,Fully Met,798,5,No impact as system is matured.
3281,Not Applicable,798,0,No impact as capability is not applicable.
3282,Not Met,799,1,"Either manual/no process in place to detect the data deletion and rolling back the data.\
This leads to data inaccuracy and  inconsistency issues.\
The service disruption can occur/service will not perform as expected."
3283,Partial Met,799,3,"Either manual/no process in place to detect the data deletion and rolling back the data.\
This leads to data inaccuracy and  inconsistency issues.\
The service disruption can occur/service will not perform as expected."
3284,Fully Met,799,5,No impact as system is matured.
3285,Not Applicable,799,0,No impact as capability is not applicable.
3286,Not Met,800,1,"No exit strategies are explored for data migration to another platform.\
This will become expensive, time cosuming and could lead to data loss."
3287,Partial Met,800,3,"No exit strategies are explored for data migration to another platform.\
This will become expensive, time cosuming and could lead to data loss."
3288,Fully Met,800,5,No impact as system is matured.
3289,Not Applicable,800,0,No impact as capability is not applicable.
3290,Not Met,801,1,"No test plan in place for the procedures used for data transformation workloads.\
This may cause issues while the data is transformed from one format to another and the systems that use this data will get impacted.\
This compromises data quality."
3291,Partial Met,801,3,"No test plan in place for the procedures used for data transformation workloads.\
This may cause issues while the data is transformed from one format to another and the systems that use this data will get impacted.\
This compromises data quality."
3292,Fully Met,801,5,No impact as system is matured.
3293,Not Applicable,801,0,No impact as capability is not applicable.
3294,Not Met,802,1,"No toll gate checks in place to validate prior to manual data deletion.\
The users may delete the potential data which leads to data inaccuracy.\
The active transactions might get interrupted."
3295,Partial Met,802,3,"No toll gate checks in place to validate prior to manual data deletion.\
The users may delete the potential data which leads to data inaccuracy.\
The active transactions might get interrupted."
3296,Fully Met,802,5,No impact as system is matured.
3297,Not Applicable,802,0,No impact as capability is not applicable.
3298,Not Met,803,1,"Automated tests does not include immediate systems consumig the data.\
This makes to send incorrect data to the downstream systems and impact application behaviour and may cause data consistency issues."
3299,Partial Met,803,3,"Automated tests does not include immediate systems consumig the data.\
This makes to send incorrect data to the downstream systems and impact application behaviour and may cause data consistency issues."
3300,Fully Met,803,5,No impact as system is matured.
3301,Not Applicable,803,0,No impact as capability is not applicable.
3302,Not Met,804,1,Process orchestration frameworks are not used.
3303,Partial Met,804,3,Process orchestration frameworks are not used.
3304,Fully Met,804,5,No impact as system is matured.
3305,Not Applicable,804,0,No impact as capability is not applicable.
3306,Not Met,805,1,"Either the ingestion process is not automatically recovered and re-run for failures OR is the process done manually.\
This makes the business process not to work as expected, since the data is not available.\
Incident may be raised for the same which impacts the other dependent systems as well."
3307,Partial Met,805,3,"Either the ingestion process is not automatically recovered and re-run for failures OR is the process done manually.\
This makes the business process not to work as expected, since the data is not available.\
Incident may be raised for the same which impacts the other dependent systems as well."
3308,Fully Met,805,5,No impact as system is matured.
3309,Not Applicable,805,0,No impact as capability is not applicable.
3310,Not Met,806,1,"Regular data synchronisation to another vendor platform is not implemented.\
This will be an issue when a disaster event occur at the primary site and may cause data loss. \
If the RPO is point of failure, then this cannot be met."
3311,Partial Met,806,3,"Regular data synchronisation to another vendor platform is not implemented.\
This will be an issue when a disaster event occur at the primary site and may cause data loss. \
If the RPO is point of failure, then this cannot be met."
3312,Fully Met,806,5,No impact as system is matured.
3313,Not Applicable,806,0,No impact as capability is not applicable.
3314,Not Met,807,1,"No notifications are generated when source system data is unavailable.\
This makes the business process not to work as expected, since the data is not available.\
Incident may be raised for the same which impacts the other dependent systems as well."
3315,Partial Met,807,3,"No notifications are generated when source system data is unavailable.\
This makes the business process not to work as expected, since the data is not available.\
Incident may be raised for the same which impacts the other dependent systems as well."
3316,Fully Met,807,5,No impact as system is matured.
3317,Not Applicable,807,0,No impact as capability is not applicable.
3318,Not Met,808,1,"Data consistency checks are not in place to check the fields completeness etc.\
This causes to pass through the incomplete data or the unformatted data resulting in unexpected application behaviour and impacts business operations."
3319,Partial Met,808,3,"Data consistency checks are not in place to check the fields completeness etc.\
This causes to pass through the incomplete data or the unformatted data resulting in unexpected application behaviour and impacts business operations."
3320,Fully Met,808,5,No impact as system is matured.
3321,Not Applicable,808,0,No impact as capability is not applicable.
3322,Not Met,809,1,"Real time data synchronisation to another vendor platform is not implemented.\
This will be an issue when a disaster event occur at the site and may cause data loss. \
If the RPO is point of failure, then this cannot be met."
3323,Partial Met,809,3,"Real time data synchronisation to another vendor platform is not implemented.\
This will be an issue when a disaster event occur at the site and may cause data loss. \
If the RPO is point of failure, then this cannot be met."
3324,Fully Met,809,5,No impact as system is matured.
3325,Not Applicable,809,0,No impact as capability is not applicable.
3326,Not Met,810,1,"Data ingestion process is not monitored for failures.\
This leads to pass through the incorrect data to the downstream/dependent systems and makes the business process not to work as expected.\
Also causes data inconsistency."
3327,Partial Met,810,3,"Data ingestion process is not monitored for failures.\
This leads to pass through the incorrect data to the downstream/dependent systems and makes the business process not to work as expected.\
Also causes data inconsistency."
3328,Fully Met,810,5,No impact as system is matured.
3329,Not Applicable,810,0,No impact as capability is not applicable.
3330,Not Met,811,1,"Application is not mapped to HSBC BIM model to deliver structured data.\
This violates HSBC BIM model approach in determining the golden source for specific data.\
This causes the systems to have incomplete, inconsistency and accuracy of the data."
3331,Partial Met,811,3,"Application is not mapped to HSBC BIM model to deliver structured data.\
This violates HSBC BIM model approach in determining the golden source for specific data.\
This causes the systems to have incomplete, inconsistency and accuracy of the data."
3332,Fully Met,811,5,No impact as system is matured.
3333,Not Applicable,811,0,No impact as capability is not applicable.
3334,Not Met,812,1,"No data integrity checks implemented as part of data processing.\
This causes to pass through the incomplete data or irrelevant data  resulting in system behaviour and impacts business operations."
3335,Partial Met,812,3,"No data integrity checks implemented as part of data processing.\
This causes to pass through the incomplete data or irrelevant data  resulting in system behaviour and impacts business operations."
3336,Fully Met,812,5,No impact as system is matured.
3337,Not Applicable,812,0,No impact as capability is not applicable.
3338,Not Met,813,1,"Data objects are not versioned which makes the recovery capability does not exist, in case of any issues with newer version.\
Teams cannot track changes made to the data.\
This leads the teams to put more efforts to determine the new changes for the data(if any).\
In case of critical issues/disasters, its diffcult to find and rollback to the right version of the data, which leads to increase data recovery time."
3339,Partial Met,813,3,"Data objects are not versioned which makes the recovery capability does not exist, in case of any issues with newer version.\
Teams cannot track changes made to the data.\
This leads the teams to put more efforts to determine the new changes for the data(if any).\
In case of critical issues/disasters, its diffcult to find and rollback to the right version of the data, which leads to increase data recovery time."
3340,Fully Met,813,5,No impact as system is matured.
3341,Not Applicable,813,0,No impact as capability is not applicable.
3342,Not Met,814,1,"Either the integration tests not performed OR integration tests manually performed to check the data.\
Chances of missing the data validation scenarios while performing the tests manually.\
Unsure whether the data being processed is relevant and secure."
3343,Partial Met,814,3,"Either the integration tests not performed OR integration tests manually performed to check the data.\
Chances of missing the data validation scenarios while performing the tests manually.\
Unsure whether the data being processed is relevant and secure."
3344,Fully Met,814,5,No impact as system is matured.
3345,Not Applicable,814,0,No impact as capability is not applicable.
3346,Not Met,815,1,"Auto healing routines not in place for the creation of missing references for the data.\
This causes the data inconsistency issues and affects the business operations.\
Efforts required to identify the missing refereces and to resolve the same."
3347,Partial Met,815,3,"Auto healing routines not in place for the creation of missing references for the data.\
This causes the data inconsistency issues and affects the business operations.\
Efforts required to identify the missing refereces and to resolve the same."
3348,Fully Met,815,5,No impact as system is matured.
3349,Not Applicable,815,0,No impact as capability is not applicable.
3350,Not Met,816,1,"Data backups are taken regularly as per the buisness requirement.\
Restoration process with backups is not tested on alternative platform.\
Lack of this process, does not ensure that the backups work in an expected manner when there is an event of database failure. This leads to service degradation."
3351,Partial Met,816,3,"Data backups are taken regularly as per the buisness requirement.\
Restoration process with backups is not tested on alternative platform.\
Lack of this process, does not ensure that the backups work in an expected manner when there is an event of database failure. This leads to service degradation."
3352,Fully Met,816,5,No impact as system is matured.
3353,Not Applicable,816,0,No impact as capability is not applicable.
3354,Not Met,817,1,"Data processing is not documented.\
This creates lack of understanding on how the data is getting processed across the systems from source to target.\
Difficult to analyze the data flows when an issue occurr across the systems."
3355,Partial Met,817,3,"Data processing is not documented.\
This creates lack of understanding on how the data is getting processed across the systems from source to target.\
Difficult to analyze the data flows when an issue occurr across the systems."
3356,Fully Met,817,5,No impact as system is matured.
3357,Not Applicable,817,0,No impact as capability is not applicable.
3358,Not Met,818,1,"Access rights to data is not getting regularly reviewed.\
Risk of unauthorised access to data is high as access rights are not getting regularly reviewed."
3359,Partial Met,818,3,"Access rights to data is not getting regularly reviewed.\
Risk of unauthorised access to data is high as access rights are not getting regularly reviewed."
3360,Fully Met,818,5,No impact as system is matured.
3361,Not Applicable,818,0,No impact as capability is not applicable.
3362,Not Met,819,1,"Regular data synchronisation to another vendor platform is not implemented.\
This will be an issue when a disaster event occur at the primary site and may cause data loss. \
If the RPO is point of failure, then this cannot be met."
3363,Partial Met,819,3,"Regular data synchronisation to another vendor platform is not implemented.\
This will be an issue when a disaster event occur at the primary site and may cause data loss. \
If the RPO is point of failure, then this cannot be met."
3364,Fully Met,819,5,No impact as system is matured.
3365,Not Applicable,819,0,No impact as capability is not applicable.
3366,Not Met,820,1,"No test plan in place for the procedures used for data processing workloads.\
This will lead to induce data processing related incidents in production which will compromised data integrity."
3367,Partial Met,820,3,"No test plan in place for the procedures used for data processing workloads.\
This will lead to induce data processing related incidents in production which will compromised data integrity."
3368,Fully Met,820,5,No impact as system is matured.
3369,Not Applicable,820,0,No impact as capability is not applicable.
3370,Not Met,821,1,"Data consistency checks are not in place to check the fields completeness etc.\
This causes to pass through the incomplete data or the unformatted data resulting in unexpected application behaviour and impacts business operations."
3371,Partial Met,821,3,"Data consistency checks are not in place to check the fields completeness etc.\
This causes to pass through the incomplete data or the unformatted data resulting in unexpected application behaviour and impacts business operations."
3372,Fully Met,821,5,No impact as system is matured.
3373,Not Applicable,821,0,No impact as capability is not applicable.
3374,Not Met,822,1,"Either the ingestion process is not automatically recovered and re-run for failures OR is the process done manually.\
This makes the business process not to work as expected, since the data is not available.\
Incident may be raised for the same which impacts the other dependent systems as well."
3375,Partial Met,822,3,"Either the ingestion process is not automatically recovered and re-run for failures OR is the process done manually.\
This makes the business process not to work as expected, since the data is not available.\
Incident may be raised for the same which impacts the other dependent systems as well."
3376,Fully Met,822,5,No impact as system is matured.
3377,Not Applicable,822,0,No impact as capability is not applicable.
3378,Not Met,823,1,"No signed contract(SLA) exist with the data owner.\
If quality data is not produced by data owner or not produced within specified time, this impact the systems and affects the business operations."
3379,Partial Met,823,3,"No signed contract(SLA) exist with the data owner.\
If quality data is not produced by data owner or not produced within specified time, this impact the systems and affects the business operations."
3380,Fully Met,823,5,No impact as system is matured.
3381,Not Applicable,823,0,No impact as capability is not applicable.
3382,Not Met,824,1,"Due to lack of automation to reprocess or resend the data in case of any issue risk of increased MTTR as data reprocessing is manual and also which may induce any human errors during processing. Business process will be impacted till the time issue data gets reprocessed. \
In case if no proceudre is then silver level questions risk is applicable as well."
3383,Partial Met,824,3,"Due to lack of automation to reprocess or resend the data in case of any issue risk of increased MTTR as data reprocessing is manual and also which may induce any human errors during processing. Business process will be impacted till the time issue data gets reprocessed. \
In case if no proceudre is then silver level questions risk is applicable as well."
3384,Fully Met,824,5,No impact as system is matured.
3385,Not Applicable,824,0,No impact as capability is not applicable.
3386,Not Met,825,1,"No step by step support procedures available for data maintenance for support team.\
Due to lack of step by step support procedure there is risk of incorrect data update and or possiblility of increased maintenance time by new team member. Possibily data integrity will be compromised and increased MTTR in case of any data issue."
3387,Partial Met,825,3,"No step by step support procedures available for data maintenance for support team.\
Due to lack of step by step support procedure there is risk of incorrect data update and or possiblility of increased maintenance time by new team member. Possibily data integrity will be compromised and increased MTTR in case of any data issue."
3388,Fully Met,825,5,No impact as system is matured.
3389,Not Applicable,825,0,No impact as capability is not applicable.
3390,Not Met,826,1,"Either the integration tests not performed OR integration tests manually performed to check the data.\
Chances of missing the data validation scenarios while performing the tests manually.\
Unsure whether the data being processed is relevant and secure."
3391,Partial Met,826,3,"Either the integration tests not performed OR integration tests manually performed to check the data.\
Chances of missing the data validation scenarios while performing the tests manually.\
Unsure whether the data being processed is relevant and secure."
3392,Fully Met,826,5,No impact as system is matured.
3393,Not Applicable,826,0,No impact as capability is not applicable.
3394,Not Met,827,1,"No toll gate checks in place to validate prior to manual data deletion.\
The users may delete the potential data which leads to data inaccuracy.\
The active transactions might get interrupted."
3395,Partial Met,827,3,"No toll gate checks in place to validate prior to manual data deletion.\
The users may delete the potential data which leads to data inaccuracy.\
The active transactions might get interrupted."
3396,Fully Met,827,5,No impact as system is matured.
3397,Not Applicable,827,0,No impact as capability is not applicable.
3398,Not Met,828,1,"No notifications are generated when source system data is unavailable.\
This makes the business process not to work as expected, since the data is not available.\
Incident may be raised for the same which impacts the other dependent systems as well."
3399,Partial Met,828,3,"No notifications are generated when source system data is unavailable.\
This makes the business process not to work as expected, since the data is not available.\
Incident may be raised for the same which impacts the other dependent systems as well."
3400,Fully Met,828,5,No impact as system is matured.
3401,Not Applicable,828,0,No impact as capability is not applicable.
3402,Not Met,829,1,"Data ingestion process is not monitored for failures.\
This leads to pass through the incorrect data to the downstream/dependent systems and makes the business process not to work as expected.\
Also causes data inconsistency."
3403,Partial Met,829,3,"Data ingestion process is not monitored for failures.\
This leads to pass through the incorrect data to the downstream/dependent systems and makes the business process not to work as expected.\
Also causes data inconsistency."
3404,Fully Met,829,5,No impact as system is matured.
3405,Not Applicable,829,0,No impact as capability is not applicable.
3406,Not Met,830,1,"User activity logging is not monitored/tracked.\
In case, if there are any data inconsistency issues, it will be difficult to track to know who made the changes to the data.\
This may lead to violate the regulatory requirement."
3407,Partial Met,830,3,"User activity logging is not monitored/tracked.\
In case, if there are any data inconsistency issues, it will be difficult to track to know who made the changes to the data.\
This may lead to violate the regulatory requirement."
3408,Fully Met,830,5,No impact as system is matured.
3409,Not Applicable,830,0,No impact as capability is not applicable.
3410,Not Met,831,1,No data consistency checks implemented as part of data processing. This causes to pass through the inconsitent data for processing resulting in incorrect data processed and which may produce wrong results or incident in the system. This may also result in impact on business operations.
3411,Partial Met,831,3,No data consistency checks implemented as part of data processing. This causes to pass through the inconsitent data for processing resulting in incorrect data processed and which may produce wrong results or incident in the system. This may also result in impact on business operations.
3412,Fully Met,831,5,No impact as system is matured.
3413,Not Applicable,831,0,No impact as capability is not applicable.
3414,Not Met,832,1,"As there is no procedure in place to reprocess/resend the data in case of incompatibility, process failure or any other error there is risk of data processsing not being carried out and business process will get impacted. In case if such issue occures then team doesnt have any procedure to be follow to recover from the situation and get the business process back to normal."
3415,Partial Met,832,3,"As there is no procedure in place to reprocess/resend the data in case of incompatibility, process failure or any other error there is risk of data processsing not being carried out and business process will get impacted. In case if such issue occures then team doesnt have any procedure to be follow to recover from the situation and get the business process back to normal."
3416,Fully Met,832,5,No impact as system is matured.
3417,Not Applicable,832,0,No impact as capability is not applicable.
3418,Not Met,833,1,"No data integrity checks implemented as part of data processing.\
This causes to pass through the incomplete data or irrelevant data  resulting in system behaviour and impacts business operations."
3419,Partial Met,833,3,"No data integrity checks implemented as part of data processing.\
This causes to pass through the incomplete data or irrelevant data  resulting in system behaviour and impacts business operations."
3420,Fully Met,833,5,No impact as system is matured.
3421,Not Applicable,833,0,No impact as capability is not applicable.
3422,Not Met,834,1,"Data backups are taken regularly as per the buisness requirement.\
Restoration process with backups is not tested on alternative platform.\
Lack of this process, does not ensure that the backups work in an expected manner when there is an event of database failure. This leads to service degradation."
3423,Partial Met,834,3,"Data backups are taken regularly as per the buisness requirement.\
Restoration process with backups is not tested on alternative platform.\
Lack of this process, does not ensure that the backups work in an expected manner when there is an event of database failure. This leads to service degradation."
3424,Fully Met,834,5,No impact as system is matured.
3425,Not Applicable,834,0,No impact as capability is not applicable.
3426,Not Met,835,1,"Real time data synchronisation to another vendor platform is not implemented.\
This will be an issue when a disaster event occur at the site and may cause data loss. \
If the RPO is point of failure, then this cannot be met."
3427,Partial Met,835,3,"Real time data synchronisation to another vendor platform is not implemented.\
This will be an issue when a disaster event occur at the site and may cause data loss. \
If the RPO is point of failure, then this cannot be met."
3428,Fully Met,835,5,No impact as system is matured.
3429,Not Applicable,835,0,No impact as capability is not applicable.
3430,Not Met,836,1,"Automated tests does not include immediate systems consumig the data.\
This makes to send incorrect data to the downstream systems and impact application behaviour and may cause data consistency issues."
3431,Partial Met,836,3,"Automated tests does not include immediate systems consumig the data.\
This makes to send incorrect data to the downstream systems and impact application behaviour and may cause data consistency issues."
3432,Fully Met,836,5,No impact as system is matured.
3433,Not Applicable,836,0,No impact as capability is not applicable.
3434,Not Met,837,1,Process orchestration frameworks are not used.
3435,Partial Met,837,3,Process orchestration frameworks are not used.
3436,Fully Met,837,5,No impact as system is matured.
3437,Not Applicable,837,0,No impact as capability is not applicable.
3438,Not Met,838,1,To be Updated
3439,Partial Met,838,3,To be Updated
3440,Fully Met,838,5,No impact as system is matured.
3441,Not Applicable,838,0,No impact as capability is not applicable.
3442,Not Met,839,1,"Code Build and code review process is manual, which is inefficient, prone to human errors and increase the deployment time. Rollback process too will be time consuming, in case the deployment fails. This affects the service and cause downtime."
3443,Partial Met,839,3,"Code Build and code review process is manual, which is inefficient, prone to human errors and increase the deployment time. Rollback process too will be time consuming, in case the deployment fails. This affects the service and cause downtime."
3444,Fully Met,839,5,No impact as system is matured.
3445,Not Applicable,839,0,No impact as capability is not applicable.
3446,Not Met,840,1,"Capacity measures are considered based on requirement.\
This does not ensure the system can handle peak loads during certain point of time which cause server performance degradation OR slowness OR an outage too, as the resources might get exhuasted when handling the load."
3447,Partial Met,840,3,"Capacity measures are considered based on requirement.\
This does not ensure the system can handle peak loads during certain point of time which cause server performance degradation OR slowness OR an outage too, as the resources might get exhuasted when handling the load."
3448,Fully Met,840,5,No impact as system is matured.
3449,Not Applicable,840,0,No impact as capability is not applicable.
3450,Not Met,841,1,"Application does not follow API/Microservies design OR the application is in different technology where these design principles are not required.\
Legacy architecture may be unstable and posed to security risks.\
Integration problems may arise when the system is required to communicate with any other systems."
3451,Partial Met,841,3,"Application does not follow API/Microservies design OR the application is in different technology where these design principles are not required.\
Legacy architecture may be unstable and posed to security risks.\
Integration problems may arise when the system is required to communicate with any other systems."
3452,Fully Met,841,5,No impact as system is matured.
3453,Not Applicable,841,0,No impact as capability is not applicable.
3454,Not Met,842,1,"The application does not have a deployment strategy to have zero downtime.\
This may impact the service availability and impacts business operations.\
The system may potentially impact the SLA.\
Emergency releases to the service cannot be done, impacting the business, in case if needed."
3455,Partial Met,842,3,"The application does not have a deployment strategy to have zero downtime.\
This may impact the service availability and impacts business operations.\
The system may potentially impact the SLA.\
Emergency releases to the service cannot be done, impacting the business, in case if needed."
3456,Fully Met,842,5,No impact as system is matured.
3457,Not Applicable,842,0,No impact as capability is not applicable.
3458,Not Met,843,1,"Automatic retry pattern not present for failed transactions.\
This makes the active transactions processing incomplete and effects the business.\
Extra efforts are required to understand the failed transactions and retrigger."
