"id","project_id","ci_image","ci_image_name","ci_name","dcount","dtype","icon","order_value","ssp_color","url","views","ctype","dashboard","thershold_mapping"
"26","2","NULL","NULL","Marketing Management","NULL","NULL","NULL","1","NULL","NULL","NULL","3","NULL","NULL"
"27","2","NULL","NULL","Sales Order Management","NULL","NULL","NULL","3","NULL","NULL","NULL","3","NULL","NULL"
"28","2","NULL","NULL","Invoice Match","NULL","NULL","NULL","4","NULL","NULL","NULL","3","NULL","NULL"
"29","2","NULL","NULL","Order Acquisition","NULL","NULL","NULL","3","NULL","NULL","NULL","3","NULL","NULL"
"30","2","NULL","NULL","Authorization","NULL","NULL","NULL","1","NULL","NULL","NULL","4","NULL","NULL"
"31","2","NULL","NULL","Cheetahmail","NULL","NULL","NULL","2","NULL","NULL","NULL","5","NULL","NULL"
"32","2","NULL","NULL","Network","NULL","NULL","NULL","1","NULL","NULL","NULL","5","NULL","NULL"
"33","2","NULL","NULL","Plan","NULL","NULL","NULL","1","NULL","NULL","NULL","6","NULL","NULL"
"34","2","NULL","NULL","Buy","NULL","NULL","NULL","2","NULL","NULL","NULL","6","NULL","NULL"
"35","2","NULL","NULL","Make","NULL","NULL","NULL","3","NULL","NULL","NULL","6","NULL","NULL"
"36","2","NULL","NULL","Move","NULL","NULL","NULL","4","NULL","NULL","NULL","6","NULL","NULL"
"37","2","NULL","NULL","Sell","NULL","NULL","NULL","5","NULL","NULL","NULL","6","NULL","NULL"
"38","2","NULL","NULL","Manguistics","NULL","NULL","NULL","1","NULL","NULL","NULL","7","NULL","NULL"
"39","2","NULL","NULL","Growout Info.","NULL","NULL","NULL","2","NULL","NULL","NULL","7","NULL","NULL"
"41","2","NULL","NULL","HSB MES","NULL","NULL","NULL","4","NULL","NULL","NULL","7","NULL","NULL"
"42","2","NULL","NULL","SAP ECC","NULL","NULL","NULL","5","NULL","NULL","NULL","7","NULL","NULL"
"43","2","NULL","NULL","DLX WM","NULL","NULL","NULL","6","NULL","NULL","NULL","7","NULL","NULL"
"44","2","NULL","NULL","TMS","NULL","NULL","NULL","7","NULL","NULL","NULL","7","NULL","NULL"
"46","2","NULL","NULL","Business Manager","NULL","NULL","NULL","9","NULL","NULL","NULL","7","NULL","NULL"
"47","2","NULL","NULL","SAP MM","NULL","NULL","NULL","10","NULL","NULL","NULL","7","NULL","NULL"
"48","2","NULL","NULL","Plant View","NULL","NULL","NULL","11","NULL","NULL","NULL","7","NULL","NULL"
"49","2","NULL","NULL","EIM","NULL","NULL","NULL","12","NULL","NULL","NULL","7","NULL","NULL"
"50","2","NULL","NULL","Quality","NULL","NULL","NULL","13","NULL","NULL","NULL","7","NULL","NULL"
"51","2","NULL","NULL","SAP FIN","NULL","NULL","NULL","14","NULL","NULL","NULL","7","NULL","NULL"
"52","2","NULL","NULL","Supplier","NULL","NULL","NULL","1","NULL","NULL","NULL","8","NULL","NULL"
"53","2","NULL","NULL","Item Master","NULL","NULL","NULL","2","NULL","NULL","NULL","8","NULL","NULL"
"54","2","NULL","NULL","Pricing","NULL","NULL","NULL","3","NULL","NULL","NULL","8","NULL","NULL"
"55","2","NULL","NULL","Inventory","NULL","NULL","NULL","4","NULL","NULL","NULL","8","NULL","NULL"
"56","2","NULL","NULL","Orders","NULL","NULL","NULL","5","NULL","NULL","NULL","8","NULL","NULL"
"57","2","NULL","NULL","Invoices","NULL","NULL","NULL","6","NULL","NULL","NULL","8","NULL","NULL"
"58","2","NULL","NULL","Sales","NULL","NULL","NULL","7","NULL","NULL","NULL","8","NULL","NULL"
"59","2","NULL","NULL","Demand Planning","NULL","NULL","NULL","1","NULL","NULL","NULL","9","NULL","NULL"
"60","2","NULL","NULL","Production Order Generation","NULL","NULL","NULL","2","NULL","NULL","NULL","9","NULL","NULL"
"61","2","NULL","NULL","Sales Order Generation","NULL","NULL","NULL","3","NULL","NULL","NULL","9","NULL","NULL"
"62","2","NULL","NULL","SKU Maintainance","NULL","NULL","NULL","4","NULL","NULL","NULL","9","NULL","NULL"
"63","2","NULL","NULL","Pick Wave Generation","NULL","NULL","NULL","5","NULL","NULL","NULL","9","NULL","NULL"
"64","2","NULL","NULL","Inventory Updates","NULL","NULL","NULL","6","NULL","NULL","NULL","9","NULL","NULL"
"65","2","NULL","NULL","App Servers","NULL","NULL","NULL","1","NULL","NULL","NULL","10","NULL","NULL"
"66","2","NULL","NULL","DB Servers","NULL","NULL","NULL","2","NULL","NULL","NULL","10","NULL","NULL"
"67","2","NULL","NULL","Web Servers","NULL","NULL","NULL","3","NULL","NULL","NULL","10","NULL","NULL"
"68","2","NULL","NULL","Plan","NULL","NULL","list","1","NULL","NULL","NULL","11","109","NULL"
"69","2","NULL","NULL","Buy","NULL","NULL","shopping-cart","2","NULL","NULL","NULL","11","31","NULL"
"70","2","NULL","NULL","Make","NULL","NULL","plus-square","3","NULL","NULL","NULL","11","23","NULL"
"71","2","NULL","NULL","Move","NULL","NULL","truck","4","NULL","NULL","NULL","11","29","NULL"
"72","2","NULL","NULL","Sell","NULL","NULL","industry","5","NULL","NULL","NULL","11","30","NULL"
"66515","2","NULL","NULL","10.119.16.214","NULL","NULL","NULL","8","NULL","NULL","NULL","10143","NULL","NULL"
"66516","2","NULL","NULL","16.231.24.132","NULL","NULL","NULL","39","NULL","NULL","NULL","10144","NULL","NULL"
"66517","2","NULL","NULL","10.119.17.47","NULL","NULL","NULL","11","NULL","NULL","NULL","10143","NULL","NULL"
"66518","2","NULL","NULL","p1l00531g","NULL","NULL","NULL","30","NULL","NULL","NULL","10144","NULL","NULL"
"66519","2","NULL","NULL","16.231.22.214","NULL","NULL","NULL","15","NULL","NULL","NULL","10143","NULL","NULL"
"66520","2","NULL","NULL","16.231.24.131","NULL","NULL","NULL","2","NULL","NULL","NULL","10143","NULL","NULL"
"66521","2","NULL","NULL","16.231.24.138","NULL","NULL","NULL","40","NULL","NULL","NULL","10144","NULL","NULL"
"66522","2","NULL","NULL","p1lg10781","NULL","NULL","NULL","41","NULL","NULL","NULL","10144","NULL","NULL"
"66523","2","NULL","NULL","Content Server","NULL","NULL","NULL","28","NULL","NULL","NULL","10143","NULL","NULL"
"66524","2","NULL","NULL","10.74.28.76","NULL","NULL","NULL","29","NULL","NULL","NULL","10144","NULL","NULL"
"66525","2","NULL","NULL","Content Server-DR-QTG","NULL","NULL","NULL","23","NULL","NULL","NULL","10143","NULL","NULL"
"66526","2","NULL","NULL","Content Server-PRD","NULL","NULL","NULL","26","NULL","NULL","NULL","10143","NULL","NULL"
"66527","2","NULL","NULL","Content Server-QTG","NULL","NULL","NULL","25","NULL","NULL","NULL","10143","NULL","NULL"
"66528","2","NULL","NULL","ens192","NULL","NULL","NULL","5","NULL","NULL","NULL","10143","NULL","NULL"
"66529","2","NULL","NULL","HPEFS Pricing Engine-PRD","NULL","NULL","NULL","21","NULL","NULL","NULL","10143","NULL","NULL"
"66530","2","NULL","NULL","IntegrationFabric-Kafka-PRD","NULL","NULL","NULL","3","NULL","NULL","NULL","10143","NULL","NULL"
"66531","2","NULL","NULL","IntegrationFabric-SnapLogic-DC01-PRD","NULL","NULL","NULL","19","NULL","NULL","NULL","10143","NULL","NULL"
"66532","2","NULL","NULL","Microsoft Failover Cluster Virtual Adapter","NULL","NULL","NULL","12","NULL","NULL","NULL","10143","NULL","NULL"
"66533","2","NULL","NULL","NetGenComColo-QTG","NULL","NULL","NULL","20","NULL","NULL","NULL","10143","NULL","NULL"
"66534","2","NULL","NULL","NetworkAdapter@169.254.1.184","NULL","NULL","NULL","13","NULL","NULL","NULL","10143","NULL","NULL"
"66535","2","NULL","NULL","p1l00103","NULL","NULL","NULL","24","NULL","NULL","NULL","10143","NULL","NULL"
"66536","2","NULL","NULL","p1l00354g","NULL","NULL","NULL","18","NULL","NULL","NULL","10143","NULL","NULL"
"66537","2","NULL","NULL","p1l00527g","NULL","NULL","NULL","1","NULL","NULL","NULL","10143","NULL","NULL"
"66538","2","NULL","NULL","ens192","NULL","NULL","NULL","33","NULL","NULL","NULL","10144","NULL","NULL"
"66539","2","NULL","NULL","p1l00534g","NULL","NULL","NULL","32","NULL","NULL","NULL","10144","NULL","NULL"
"66540","2","NULL","NULL","p1l00638g","NULL","NULL","NULL","34","NULL","NULL","NULL","10144","NULL","NULL"
"66541","2","NULL","NULL","p1vb0562","NULL","NULL","NULL","35","NULL","NULL","NULL","10144","NULL","NULL"
"66542","2","NULL","NULL","p1v00270","NULL","NULL","NULL","42","NULL","NULL","NULL","10144","NULL","NULL"
"66543","2","NULL","NULL","p1lg11885","NULL","NULL","NULL","9","NULL","NULL","NULL","10143","NULL","NULL"
"66544","2","NULL","NULL","p1lg11888","NULL","NULL","NULL","7","NULL","NULL","NULL","10143","NULL","NULL"
"66545","2","NULL","NULL","10.119.17.13","NULL","NULL","NULL","38","NULL","NULL","NULL","10144","NULL","NULL"
"66546","2","NULL","NULL","p1v00262","NULL","NULL","NULL","10","NULL","NULL","NULL","10143","NULL","NULL"
"66547","2","NULL","NULL","p1v00263","NULL","NULL","NULL","17","NULL","NULL","NULL","10143","NULL","NULL"
"66548","2","NULL","NULL","p1v00272","NULL","NULL","NULL","43","NULL","NULL","NULL","10144","NULL","NULL"
"66549","2","NULL","NULL","Ethernet0","NULL","NULL","NULL","44","NULL","NULL","NULL","10144","NULL","NULL"
"66550","2","NULL","NULL","p1v00274","NULL","NULL","NULL","16","NULL","NULL","NULL","10143","NULL","NULL"
"66551","2","NULL","NULL","p1wg504447","NULL","NULL","NULL","36","NULL","NULL","NULL","10144","NULL","NULL"
"66552","2","NULL","NULL","p1wg11761","NULL","NULL","NULL","14","NULL","NULL","NULL","10143","NULL","NULL"
"66553","2","NULL","NULL","p1lg11925","NULL","NULL","NULL","37","NULL","NULL","NULL","10144","NULL","NULL"
"66554","2","NULL","NULL","q1l00103","NULL","NULL","NULL","27","NULL","NULL","NULL","10143","NULL","NULL"
"66555","2","NULL","NULL","q2l00113g","NULL","NULL","NULL","22","NULL","NULL","NULL","10143","NULL","NULL"
"66556","2","NULL","NULL","RAM slot #0","NULL","NULL","NULL","4","NULL","NULL","NULL","10143","NULL","NULL"
"66557","2","NULL","NULL","RAM slot #1","NULL","NULL","NULL","6","NULL","NULL","NULL","10143","NULL","NULL"
"66558","2","NULL","NULL","p1l00528g","NULL","NULL","NULL","31","NULL","NULL","NULL","10144","NULL","NULL"
"66559","2","NULL","NULL","Accounts Payable","NULL","NULL","NULL","2","NULL","NULL","NULL","3","NULL","NULL"
"66560","2","NULL","NULL","Accounts Receivable","NULL","NULL","NULL","3","NULL","NULL","NULL","3","NULL","NULL"
"66561","2","NULL","NULL","Amend Flows","NULL","NULL","NULL","5","NULL","NULL","NULL","3","NULL","NULL"
"66562","2","NULL","NULL","Analysis & Documentation","NULL","NULL","NULL","9","NULL","NULL","NULL","3","NULL","NULL"
"66563","2","NULL","NULL","Aruba","NULL","NULL","NULL","3","NULL","NULL","NULL","3","NULL","NULL"
"66564","2","NULL","NULL","Asset Accounting","NULL","NULL","NULL","4","NULL","NULL","NULL","3","NULL","NULL"
"66565","2","NULL","NULL","B2I PR / CIG","NULL","NULL","NULL","7","NULL","NULL","NULL","3","NULL","NULL"
"66566","2","NULL","NULL","Billing","NULL","NULL","NULL","3","NULL","NULL","NULL","3","NULL","NULL"
"66567","2","NULL","NULL","BPC/ B4H","NULL","NULL","NULL","8","NULL","NULL","NULL","3","NULL","NULL"
"66568","2","NULL","NULL","Controlling","NULL","NULL","NULL","5","NULL","NULL","NULL","3","NULL","NULL"
"66569","2","NULL","NULL","CPQ","NULL","NULL","NULL","1","NULL","NULL","NULL","3","NULL","NULL"
"66570","2","NULL","NULL","Deal Creation","NULL","NULL","NULL","3","NULL","NULL","NULL","3","42481","NULL"
"66571","2","NULL","NULL","Deals","NULL","NULL","NULL","6","NULL","NULL","NULL","3","NULL","NULL"
"66572","2","NULL","NULL","Deals","NULL","NULL","NULL","1","NULL","NULL","NULL","2","NULL","NULL"
"66573","2","NULL","NULL","Entitlement Services","NULL","NULL","NULL","6","NULL","NULL","NULL","3","NULL","NULL"
"66574","2","NULL","NULL","Finance","NULL","NULL","NULL","5","NULL","NULL","NULL","2","NULL","NULL"
"66575","2","NULL","NULL","Functional Eq & SW Gateway","NULL","NULL","NULL","10","NULL","NULL","NULL","3","NULL","NULL"
"66576","2","NULL","NULL","General Ledger Accounting","NULL","NULL","NULL","1","NULL","NULL","NULL","3","NULL","NULL"
"66577","2","NULL","NULL","Invoice","NULL","NULL","NULL","8","NULL","NULL","NULL","3","NULL","NULL"
"66578","2","NULL","NULL","Logistics","NULL","NULL","NULL","2","NULL","NULL","NULL","3","NULL","NULL"
"66579","2","NULL","NULL","Make","NULL","NULL","NULL","4","NULL","NULL","NULL","3","NULL","NULL"
"66580","2","NULL","NULL","Manage & Track","NULL","NULL","NULL","2","NULL","NULL","NULL","3","NULL","NULL"
"66581","2","NULL","NULL","New Business Quotes","NULL","NULL","NULL","4","NULL","NULL","NULL","3","NULL","NULL"
"66582","2","NULL","NULL","Offers","NULL","NULL","NULL","8","NULL","NULL","NULL","3","NULL","NULL"
"66583","2","NULL","NULL","Order Capture","NULL","NULL","NULL","1","NULL","NULL","NULL","3","NULL","NULL"
"66584","2","NULL","NULL","Planning","NULL","NULL","NULL","5","NULL","NULL","NULL","3","NULL","NULL"
"66585","2","NULL","NULL","Planning & Preparation","NULL","NULL","NULL","5","NULL","NULL","NULL","3","NULL","NULL"
"66586","2","NULL","NULL","PO & GR","NULL","NULL","NULL","9","NULL","NULL","NULL","3","NULL","NULL"
"66587","2","NULL","NULL","Pricing","NULL","NULL","NULL","7","NULL","NULL","NULL","3","NULL","NULL"
"66588","2","NULL","NULL","Refresh Pricing","NULL","NULL","NULL","2","NULL","NULL","NULL","3","NULL","NULL"
"66589","2","NULL","NULL","Renewals Processing","NULL","NULL","NULL","3","NULL","NULL","NULL","3","NULL","NULL"
"66590","2","NULL","NULL","Returns","NULL","NULL","NULL","4","NULL","NULL","NULL","3","NULL","NULL"
"66591","2","NULL","NULL","Sales & Ordering","NULL","NULL","NULL","2","NULL","NULL","NULL","3","NULL","NULL"
"66592","2","NULL","NULL","Sales Custdocs","NULL","NULL","NULL","2","NULL","NULL","NULL","3","NULL","NULL"
"66593","2","NULL","NULL","Service Billing/Invoice","NULL","NULL","NULL","8","NULL","NULL","NULL","3","NULL","NULL"
"66594","2","NULL","NULL","Service Contracts","NULL","NULL","NULL","1","NULL","NULL","NULL","3","NULL","NULL"
"66595","2","NULL","NULL","Services","NULL","NULL","NULL","3","NULL","NULL","NULL","2","NULL","NULL"
"66596","2","NULL","NULL","Settlements","NULL","NULL","NULL","9","NULL","NULL","NULL","3","NULL","NULL"
"66597","2","NULL","NULL","Solids","NULL","NULL","NULL","9","NULL","NULL","NULL","3","NULL","NULL"
"66598","2","NULL","NULL","Sourcing & Procurement","NULL","NULL","NULL","4","NULL","NULL","NULL","2","NULL","NULL"
"66599","2","NULL","NULL","Supplier Chain Collaboration","NULL","NULL","NULL","6","NULL","NULL","NULL","3","NULL","NULL"
"66600","2","NULL","NULL","Supply Chain","NULL","NULL","NULL","1","NULL","NULL","NULL","3","NULL","NULL"
"66601","2","NULL","NULL","TopDeals","NULL","NULL","NULL","0","NULL","NULL","NULL","1","NULL","NULL"
"66602","2","NULL","NULL","Treasury","NULL","NULL","NULL","6","NULL","NULL","NULL","3","NULL","NULL"
"66603","2","NULL","NULL","Upfront & Attach Process","NULL","NULL","NULL","11","NULL","NULL","NULL","3","NULL","NULL"
"66604","2","NULL","NULL","USB TAM","NULL","NULL","NULL","7","NULL","NULL","NULL","3","NULL","NULL"
"66623","2","NULL","NULL","Addison NGIT / ECP_Alerts","NULL","NULL","NULL","1","NULL","NULL","NULL","10143","42479","NULL"
"66625","2","NULL","NULL","Addison NGIT / ECP_Incidents","NULL","NULL","NULL","1","NULL","NULL","NULL","10144","42479","NULL"
"66626","2","NULL","NULL","Addison NGIT / ECP","NULL","NULL","NULL","1","NULL","NULL","NULL","10152","NULL","NULL"
