"id","task_name","task_description","task_def_id","schedule_start_time","schedule_end_time","schedule_start_day","schedule_end_day","schedule_start_Date","schedule_end_Date","task_planned_ind","schedule_sent_ind","schedule_accepted_ind","schedule_sent_dts","task_planned_dts","schedule_accepted_dts","last_updated_by","last_updated_dts","task_group_instance_id","questionnaire_instance_id","application_id","application_name","cluster_id","cluster_name","wave_id","wave_name","lob_id","lob_name","lead","status","duration","minutes_of_meeting_sent","meeting_location","actual_duration","session_objective_met","remarks","project_id","reversekt_flag","transition_id","task_history_id","KT_Session_Link","feedback_rating","meeting_link","feedback_comment","client_sign_off","actual_start_Date","actual_end_Date","actual_start_time","actual_end_time"
"43","WIN-KT-11","Understanding Microsft cluster configuration details (OS version, cluster version, node details, applications) 
(Clusters/NLB/VIP) implemented in environement with Detailed inventory and dependancy
Microsoft NLB Clustering details and configuration
VIP configuration details for all the clusters","3","04:30:00","05:30:00","NULL","NULL","2021-06-11","2021-06-11","true","true","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","application1","7","Cluster2","4","Wave2","NULL","NULL","NULL","Scheduled","NULL","NULL","Skip - CA
Jan - CO 
Abdul - IND
David - OP,KS","","","","2","0","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"44","WIN-KT-12","Understanding Microsft cluster configuration details (OS version, cluster version, node details, applications) 
(Clusters/NLB/VIP) implemented in environement with Detailed inventory and dependancy
Microsoft NLB Clustering details and configuration
VIP configuration details for all the clusters","3","04:30:00","05:30:00","NULL","NULL","2021-06-12","2021-06-12","true","true","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","application1","7","Cluster2","4","Wave2","NULL","NULL","NULL","Scheduled","NULL","NULL","Skip - CA
Jan - CO 
Abdul - IND
David - OP,KS","","","","2","0","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"45","WIN-KT-13","Understanding Microsft cluster configuration details (OS version, cluster version, node details, applications) 
(Clusters/NLB/VIP) implemented in environement with Detailed inventory and dependancy
Microsoft NLB Clustering details and configuration
VIP configuration details for all the clusters","3","04:30:00","05:30:00","NULL","NULL","2021-06-13","2021-06-13","true","true","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","application1","7","Cluster2","4","Wave2","NULL","NULL","NULL","Scheduled","NULL","NULL","Skip - CA
Jan - CO 
Abdul - IND
David - OP,KS","","","","2","0","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"46","WIN-KT-14","Understanding Microsft cluster configuration details (OS version, cluster version, node details, applications) 
(Clusters/NLB/VIP) implemented in environement with Detailed inventory and dependancy
Microsoft NLB Clustering details and configuration
VIP configuration details for all the clusters","3","04:30:00","05:30:00","NULL","NULL","2021-06-14","2021-06-14","true","true","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","application1","7","Cluster2","4","Wave2","NULL","NULL","NULL","Scheduled","NULL","NULL","Skip - CA
Jan - CO 
Abdul - IND
David - OP,KS","","","","2","0","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"47","WIN-KT-15","Understanding Microsft cluster configuration details (OS version, cluster version, node details, applications) 
(Clusters/NLB/VIP) implemented in environement with Detailed inventory and dependancy
Microsoft NLB Clustering details and configuration
VIP configuration details for all the clusters","3","04:30:00","05:30:00","NULL","NULL","2021-06-15","2021-06-15","true","true","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","application1","7","Cluster2","4","Wave2","NULL","NULL","NULL","Scheduled","NULL","NULL","Skip - CA
Jan - CO 
Abdul - IND
David - OP,KS","","","","2","0","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"48","WIN-KT-16","Understanding Microsft cluster configuration details (OS version, cluster version, node details, applications) 
(Clusters/NLB/VIP) implemented in environement with Detailed inventory and dependancy
Microsoft NLB Clustering details and configuration
VIP configuration details for all the clusters","3","04:30:00","05:30:00","NULL","NULL","2021-06-16","2021-06-16","true","true","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","application1","7","Cluster2","4","Wave2","NULL","NULL","NULL","Completed","NULL","NULL","Skip - CA
Jan - CO 
Abdul - IND
David - OP,KS","","","","2","1","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2021-02-26","NULL","NULL"
"49","WIN-KT-17","Understanding Microsft cluster configuration details (OS version, cluster version, node details, applications) 
(Clusters/NLB/VIP) implemented in environement with Detailed inventory and dependancy
Microsoft NLB Clustering details and configuration
VIP configuration details for all the clusters","3","04:30:00","05:30:00","NULL","NULL","2021-06-17","2021-06-17","true","true","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","application1","7","Cluster2","4","Wave2","NULL","NULL","NULL","Cancelled","NULL","NULL","Skip - CA
Jan - CO 
Abdul - IND
David - OP,KS","","","","2","0","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"50","WIN-KT-18","Understanding Microsft cluster configuration details (OS version, cluster version, node details, applications) 
(Clusters/NLB/VIP) implemented in environement with Detailed inventory and dependancy
Microsoft NLB Clustering details and configuration
VIP configuration details for all the clusters","3","04:30:00","05:30:00","NULL","NULL","2021-06-18","2021-06-18","true","true","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","application1","7","Cluster2","4","Wave2","NULL","NULL","NULL","Completed","NULL","NULL","Skip - CA
Jan - CO 
Abdul - IND
David - OP,KS","","","","2","0","2","NULL","NULL","5.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"51","WIN-KT-19","Understanding Microsft cluster configuration details (OS version, cluster version, node details, applications) 
(Clusters/NLB/VIP) implemented in environement with Detailed inventory and dependancy
Microsoft NLB Clustering details and configuration
VIP configuration details for all the clusters","3","04:30:00","05:30:00","NULL","NULL","2021-06-19","2021-06-19","true","true","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","application1","7","Cluster2","4","Wave2","NULL","NULL","NULL","Completed","NULL","NULL","Skip - CA
Jan - CO 
Abdul - IND
David - OP,KS","","","","2","0","2","NULL","NULL","4.5","NULL","NULL","NULL","NULL","2021-02-26","NULL","NULL"
"172","WIN_KT_UAT","NULL","1","06:49:00","07:49:00","NULL","NULL","2021-06-22","2021-06-22","false","false","NULL","NULL","NULL","NULL","1","2021-02-26T07:04:08","NULL","72","2","application1","7","Cluster2","4","Wave2","4","NULL","NULL","Completed","NULL","NULL","NULL","NULL","NULL","NULL","2","0","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2021-02-26","NULL","NULL"
