ConfigId,AppName,ConfigName,ConfigVal,ProjectId,IsEncrypt,InstanceName,ConfigDescription
63,capworkflowexecution,WorkflowParamName,Input,NULL,FALSE,NULL,
64,capworkflowexecution,WorkflowParamName,Input,NULL,FALSE,NULL,
65,capworkflowexecution,SecurityKey,SecurityKey,NULL,FALSE,NULL,
66,capworkflowexecution,Sequence,"LicenseType,ApplicationName,Date,Validity,HostName,UserName",NULL,FALSE,NULL,
67,capworkflowexecution,TimeLimit,1000,NULL,FALSE,NULL,
68,capworkflowexecution,PassWFOCRPath,TRUE,NULL,FALSE,NULL,
69,capworkflowexecution,SaveOCRImagesDest,db,NULL,FALSE,NULL,
70,capworkflowexecution,CurrentDirectory,###,NULL,FALSE,NULL,
71,capworkflowexecution,GetTemplateApiUrl,api/ocr/TextFromImageBytes,NULL,FALSE,NULL,
72,capworkflowexecution,IsBotFactoryEnabled,FALSE,NULL,FALSE,NULL,
73,capworkflowexecution,BotFactoryApi,http://localhost:8081/,NULL,FALSE,NULL,
74,capworkflowexecution,VaultToolName,CAP,NULL,FALSE,NULL,
75,capworkflowexecution,SaveFindControlTemplateAndScreenshot,FALSE,NULL,FALSE,NULL,
76,capworkflowexecution,ConfidenceForImageMatch,75,NULL,FALSE,NULL,
77,capworkflowexecution,headlessNodeUrl,http://punhjw380958d:8090/nodeHeadLess,NULL,FALSE,NULL,
78,capworkflowexecution,IsMongoDB,TRUE,NULL,FALSE,NULL,
79,capworkflowexecution,LogTableName,Log,NULL,FALSE,NULL,
80,capworkflowexecution,LogTableName,Log,NULL,FALSE,NULL,
81,capuploadUtility,IsClassCode,0,NULL,FALSE,NULL,
82,capuploadUtility,VbsClassCode,~LibraryJsonParse.vbs,NULL,FALSE,NULL,
83,capuploadUtility,WFFilePath,~LibraryWFFiles.zip,NULL,FALSE,NULL,
84,capuploadUtility,IsWFFiles,~LibraryWFFiles.zip,NULL,FALSE,NULL,
85,capuploadUtility,PackagePath,D:Package.zip,NULL,FALSE,NULL,
86,capuploadUtility,ChunkSizeInKB,3072,NULL,FALSE,NULL,
87,capuploadUtility,IsReleaseBinary,1,NULL,FALSE,NULL,
88,capuploadUtility,MySQLDBName,icap16dec,NULL,FALSE,NULL,
89,capuploadUtility,ReleasePath,"D:	empicap1.3.9.zip",NULL,FALSE,NULL,
90,cappurge,Buffer,20000,NULL,FALSE,NULL,
91,cappurge,LogDuration,100,NULL,FALSE,NULL,
92,cappurge,WorkflowTxnDuration,100,NULL,FALSE,NULL,
93,cappurge,ProbeTxnDuration,360,NULL,FALSE,NULL,
94,capprocessscript,OutputZipPath,D:SAPTest,NULL,FALSE,NULL,
95,capprocessscript,ScriptPath,D:SAPTestScript.vbs,NULL,FALSE,NULL,
96,capprocessscript,Properties,"text,focusDate,selected,key",NULL,FALSE,NULL,
97,capinsertreleasescript,ReleasePath,D:\\Config_Templates\\Config_Templates\\,NULL,FALSE,NULL,
98,capinsertreleasescript,ReleaseType,Partial,NULL,FALSE,NULL,
99,capdistributewf,ApplicationName,leo1311,NULL,FALSE,NULL,
100,capdistributewf,Instance,PrimaryBotmonitor,NULL,FALSE,NULL,
101,capdistributewf,HeartbeatThreshold,5,NULL,FALSE,NULL,
102,capdistributewf,PortfolioName,leo1311,NULL,FALSE,NULL,
103,capbotmonitor,MySQLDBName,iampicappng,NULL,FALSE,NULL,
104,capbotmonitor,Instance,PrimaryBotmonitor,NULL,FALSE,NULL,
105,capbotmonitor,HeartbeatThreshold,5,NULL,FALSE,NULL,
106,capbotmonitor,SREEnabled,TRUE,NULL,FALSE,NULL,
107,capbotmonitor,AppId,1,NULL,FALSE,NULL,
108,capbotmonitor,IsReleaseBinary,1,NULL,FALSE,NULL,
109,capbotmonitor,ReleasePath,D:ICAP_workbenchEditorWithAgent.zip,NULL,FALSE,NULL,
110,capbotmonitor,IsPackageBinary,0,NULL,FALSE,NULL,
111,capbotmonitor,PackagePath,D:Package.zip,NULL,FALSE,NULL,
112,capbotmonitor,IsWFFiles,1,NULL,FALSE,NULL,
113,capbotmonitor,WFFilePath,~LibraryWFFiles.zip,NULL,FALSE,NULL,
114,capbotmonitor,IsClassCode,1,NULL,FALSE,NULL,
115,capbotmonitor,VbsClassCode,~LibraryJsonParse.vbs,NULL,FALSE,NULL,
116,capbotmonitor,inactivityThreshold,10,NULL,FALSE,NULL,
117,capbotmonitor,Host,#SMTPIP#,NULL,FALSE,NULL,
118,capbotmonitor,Port,#PORT#,NULL,FALSE,NULL,
119,capbotmonitor,SSL,TRUE,NULL,FALSE,NULL,
120,capbotmonitor,FromEmail,#FROMEMAIL#,NULL,FALSE,NULL,
121,capbotmonitor,ToEmail,#TOEMAIL#,NULL,FALSE,NULL,
122,capbotmonitor,Username,divyansh.gupta01,NULL,FALSE,NULL,
123,capbotmonitor,Pass,pass,NULL,FALSE,NULL,
124,capbotmonitor,sleep,5,NULL,FALSE,NULL,
125,capbotmonitor,sendmail,FALSE,NULL,FALSE,NULL,
126,capbotmonitor,Thresholdmins,5,NULL,FALSE,NULL,
127,capbotmonitor,PortfolioNames,PNG,NULL,FALSE,NULL,
128,capbotmonitor,ApplicationNames,MONITORING_APP,NULL,FALSE,NULL,
129,capbotmonitor,monitoringNodes,"PUNHJW472620D,VICTADPST-06",NULL,FALSE,NULL,
130,capautodeployer,SharedPath, ,NULL,FALSE,NULL,
131,capautodeployer,SaveLastNScreenshots,3,NULL,FALSE,NULL,
132,capappavailability,Instance,PrimaryMailUtility,NULL,FALSE,NULL,
133,capappavailability,HeartbeatThreshold,5,NULL,FALSE,NULL,
134,capappavailability,AbortKeywords,protocol##chromium##timeout##network##protocol##page not found,NULL,FALSE,NULL,
135,capappavailability,AbortExclusionKeywords,protocol##chromium##timeout##network##protocol##page not found,NULL,FALSE,NULL,
136,capappavailability,AbortEmailRecipients,kirti.bodekar@lfn.com;mayank.kumar03@lfn.com;rahul.mandal@lfn.com;thomasrajamani.s@lfn.com,NULL,FALSE,NULL,
137,capappavailability,AbortEmailRecipients,kirti.bodekar@lfn.com;mayank.kumar03@lfn.com;rahul.mandal@lfn.com;thomasrajamani.s@lfn.com,NULL,FALSE,NULL,
138,capappavailability,AbortRec,1,NULL,FALSE,NULL,
139,capappavailability,DownTimeExpiry,4,NULL,FALSE,NULL,
140,capappavailability,Host,192.168.105.74,NULL,FALSE,NULL,
141,capappavailability,Port,25,NULL,FALSE,NULL,
142,capappavailability,SSL,TRUE,NULL,FALSE,NULL,
143,capappavailability,thresholdpercent,5,NULL,FALSE,NULL,
144,capappavailability,FromEmail,divyansh.gupta01@lfn.com,NULL,FALSE,NULL,
145,capappavailability,FromMailServer,divyansh.gupta01@lfn.com,NULL,FALSE,NULL,
146,capappavailability,ToMailServer,divyansh.gupta01@lfn.com,NULL,FALSE,NULL,
147,capappavailability,Username,Rajesh_Thankappan,NULL,FALSE,NULL,
148,capappavailability,Pass,Acer@2025,NULL,FALSE,NULL,
149,capappavailability,ServiceNowUrl,https://pggeiide3.service-now.com_dummy/api/now/import/u_incident,NULL,FALSE,NULL,
150,capappavailability,ServiceNowGetUrl,https://pgglobalenterpriseuat.service-now.com/api/now/table/incident,NULL,FALSE,NULL,
151,capappavailability,ServiceNowCred,servicenowintl10.im:p^*n&lt;srN23*j-,NULL,FALSE,NULL,
152,capappavailability,ServiceNowFormat,XML,NULL,FALSE,NULL,
154,Generic,EnableFileLog,TRUE,NULL,FALSE,NULL,
156,capagent,replacementTemplate,###,NULL,FALSE,NULL,
157,capgeneratetrigger,Nodeids,[],NULL,FALSE,NULL,
158,capgeneratetrigger,releaseid,#ReleaseId#,NULL,FALSE,NULL,
159,capgeneratetrigger,isrelease,TRUE,NULL,FALSE,NULL,
160,capgeneratetrigger,isconfig,TRUE,NULL,FALSE,NULL,
161,capgeneratetrigger,level,ERROR,NULL,FALSE,NULL,
162,capgeneratetrigger,BotScreenShotMode,File,NULL,FALSE,NULL,
163,capgeneratetrigger,BotScreenShotThresholdDays,10,NULL,FALSE,NULL,
164,capgeneratetrigger,bufferSize,5,NULL,FALSE,NULL,
165,capgeneratetrigger,screenshotday,10,NULL,FALSE,NULL,
166,capgeneratetrigger,retrythreshold,3,NULL,FALSE,NULL,
167,capgeneratetrigger,headlessSS,TRUE,NULL,FALSE,NULL,
168,capdistributewf,sleepTime,5,NULL,FALSE,NULL,
