attributes,dataset_type,description,exp_status,name,organization,schemajson,type,backing_dataset,dataset_schema,datasource,lastmodifiedby,lastmodifieddate,alias,context,is_approval_required,is_permission_managed,is_inbox_required,is_audit_required,is_archival_enabled,archival_config,dashboard,metadata,modeltype,views,taskdetails,tags,interfacetype,adaptername,isadapteractive,indexname,summary,event_details
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].Dashboard_Name')) AS `Dashboard_Name`,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].count')) AS `count`\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='monthly_dashboard_average' ORDER BY `DateTime` DESC LIMIT 1) AS t\\n)\\nSELECT\\n    JSON_UNQUOTE(JSON_EXTRACT(td.Dashboard_Name, CONCAT('$[', n.n, ']'))) AS Dashboard_Name,\\n    CAST(JSON_UNQUOTE(JSON_EXTRACT(td.count, CONCAT('$[', n.n, ']'))) AS FLOAT) AS `counts`\\nFROM telemetry_data td \\nINNER JOIN numbers n ON n.n < JSON_LENGTH(td.Dashboard_Name) ORDER BY counts DESC LIMIT 3"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":"""",""uniqueIdentifier"":""""}",NULL,NULL,"2","LEODSHBR92446","leo1311",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-02-14 10:49:31.652885","Dashboard Monthly Visit Average",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View","[]","[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (  \\n    SELECT 0 AS n  \\n    UNION ALL  \\n    SELECT n + 1 FROM numbers WHERE n < (SELECT metric_value FROM dailysnapshot WHERE metric_name='total_ExecutedPipeline' ORDER BY `DateTime` DESC LIMIT 1)   \\n),  \\ntelemetry_data AS (   \\n    SELECT  \\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].Pipeline_Name')) AS `Pipeline_Name`,  \\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].counts')) AS `counts`  \\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='Pipeline Execution Summary' ORDER BY `DateTime` DESC LIMIT 1) AS t  \\n)  \\nSELECT  \\n    JSON_UNQUOTE(JSON_EXTRACT(td.Pipeline_Name, CONCAT('$[', n.n, ']'))) AS Pipeline_Name,  \\n    JSON_UNQUOTE(JSON_EXTRACT(td.counts, CONCAT('$[', n.n, ']'))) AS `counts`  \\nFROM telemetry_data td   \\nINNER JOIN numbers n ON n.n < JSON_LENGTH(td.Pipeline_Name)   \\nORDER BY CAST(`counts` AS UNSIGNED) DESC;"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":"""",""uniqueIdentifier"":""Pipeline_Name""}",NULL,NULL,NULL,"LEOPPLNX46149","leo1311",NULL,"rw",NULL,NULL,"LEOTLMTR19390","admin","2025-02-14 12:14:53.878861","Pipeline Execution Summary",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View","[]","[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].Pipeline_Name')) AS Pipeline_Name,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].counts')) AS counts\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='monthly_average_pipelines_execution' ORDER BY `DateTime` DESC LIMIT 1) AS t\\n)\\nSELECT\\n    JSON_UNQUOTE(JSON_EXTRACT(td.Pipeline_Name, CONCAT('$[', n.n, ']'))) AS Pipeline_Name\\nFROM telemetry_data td\\nINNER JOIN numbers n ON n.n < JSON_LENGTH(td.Pipeline_Name) LIMIT 3;"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":"""",""uniqueIdentifier"":""""}",NULL,NULL,NULL,"LEOMNTHL66231","leo1311",NULL,"rw",NULL,NULL,"LEOTLMTR19390","admin","2025-02-14 08:37:09.735375","Monthly Top 3 Pipelines",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View",NULL,"[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (  \\n    SELECT 0 AS n  \\n    UNION ALL  \\n    SELECT n + 1 FROM numbers WHERE n < 10   \\n),  \\ntelemetry_data AS (   \\n    SELECT  \\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].Pipeline_Name')) AS Pipeline_Name,  \\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].counts')) AS counts  \\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='monthly_average_pipelines_execution' ORDER BY `DateTime` DESC LIMIT 1) AS t  \\n)  \\nSELECT  \\n    JSON_UNQUOTE(JSON_EXTRACT(td.Pipeline_Name, CONCAT('$[', n.n, ']'))) AS Pipeline_Name  \\nFROM telemetry_data td  \\nINNER JOIN numbers n ON n.n < JSON_LENGTH(td.Pipeline_Name)   \\nORDER BY CAST(JSON_UNQUOTE(JSON_EXTRACT(td.counts, CONCAT('$[', n.n, ']'))) AS DECIMAL) ASC  \\nLIMIT 3; "",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":"""",""uniqueIdentifier"":""""}",NULL,NULL,NULL,"LEOMNTHL66859","leo1311",NULL,"rw",NULL,NULL,"LEOTLMTR19390","admin","2025-02-14 09:00:22.399018","Monthly Least Run Pipelines",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View",NULL,"[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""select * from dailysnapshot"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":""dailysnapshot"",""uniqueIdentifier"":""""}",NULL,NULL,NULL,"LEOTLMTR57504","Pragya_1177353","""\\""null\\""""","r",NULL,NULL,"LEOTLMTR19390","admin","2025-02-04 09:12:58.997546","telemetry new dataset",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View",NULL,"[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""select * from dailysnapshot"",""isStreaming"":""false"",""defaultValues"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":""dailysnapshot"",""uniqueIdentifier"":""""}",NULL,NULL,NULL,"LEOSNPSH41456","Pragya_1177353","""null""","r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-17 08:39:11.741841","snapshot",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View",NULL,"[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].Dashboard_Name')) AS Dashboard_Name,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].counts')) AS counts\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='top 3 dashboard' ORDER BY `DateTime` DESC LIMIT 1) AS t\\n)\\nSELECT\\n    JSON_UNQUOTE(JSON_EXTRACT(td.Dashboard_Name, CONCAT('$[', n.n, ']'))) AS Dashboard_Name,\\n    JSON_UNQUOTE(JSON_EXTRACT(td.counts, CONCAT('$[', n.n, ']'))) AS counts\\nFROM telemetry_data td\\nINNER JOIN numbers n ON n.n < JSON_LENGTH(td.Dashboard_Name);"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":"""",""uniqueIdentifier"":""""}",NULL,NULL,NULL,"LEOTP3DS97285","Pragya_1177353",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-30 08:28:43.459257","Top 3 Dashboard",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View","[]","[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].Dashboard_Name')) AS Dashboard_Name,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].project')) AS project,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].cnt')) AS cnt\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='top 3 dashboard by project' ORDER BY `DateTime` DESC LIMIT 1) AS t\\n)\\nSELECT\\n    JSON_UNQUOTE(JSON_EXTRACT(td.Dashboard_Name, CONCAT('$[', n.n, ']'))) AS Dashboard_Name,\\n    JSON_UNQUOTE(JSON_EXTRACT(td.project, CONCAT('$[', n.n, ']'))) AS project,\\n    JSON_UNQUOTE(JSON_EXTRACT(td.cnt, CONCAT('$[', n.n, ']'))) AS cnt\\nFROM telemetry_data td\\nINNER JOIN numbers n ON n.n < JSON_LENGTH(td.Dashboard_Name)"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":"""",""uniqueIdentifier"":""""}",NULL,NULL,NULL,"LEOTP3DS48621","Pragya_1177353",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-30 08:27:51.148038","Top 3 Dashboard by Project",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View","[]","[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""select * from dailysnapshot"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":"""",""uniqueIdentifier"":""""}",NULL,NULL,NULL,"LEOSNPSH56321","Pragya_1177353",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-17 08:14:39.929794","Snapshot",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View",NULL,"[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""select * from open_telemetry"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":"""",""uniqueIdentifier"":""""}",NULL,NULL,NULL,"LEOTLMTR94537","Pragya_1177353",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-17 08:32:54.821650","telemetrynewdb",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View",NULL,"[]",NULL,NULL,NULL,NULL,NULL,NULL
