"id","project_id","ci_image","ci_image_name","ci_name","dcount","dtype","icon","order_value","ssp_color","url","views","ctype","dashboard","thershold_mapping"
"26","2","NULL","NULL","Marketing Management","NULL","NULL","NULL","1","NULL","NULL","NULL","3","NULL","NULL"
"27","2","NULL","NULL","Sales Order Management","NULL","NULL","NULL","3","NULL","NULL","NULL","3","NULL","NULL"
"28","2","NULL","NULL","Invoice Match","NULL","NULL","NULL","4","NULL","NULL","NULL","3","NULL","NULL"
"29","2","NULL","NULL","Order Acquisition","NULL","NULL","NULL","3","NULL","NULL","NULL","3","NULL","NULL"
"30","2","NULL","NULL","Authorization","NULL","NULL","NULL","1","NULL","NULL","NULL","4","NULL","NULL"
"31","2","NULL","NULL","Cheetahmail","NULL","NULL","NULL","2","NULL","NULL","NULL","5","NULL","NULL"
"32","2","NULL","NULL","Network","NULL","NULL","NULL","1","NULL","NULL","NULL","5","NULL","NULL"
"33","2","NULL","NULL","Plan","NULL","NULL","NULL","1","NULL","NULL","NULL","6","NULL","NULL"
"34","2","NULL","NULL","Buy","NULL","NULL","NULL","2","NULL","NULL","NULL","6","NULL","NULL"
"35","2","NULL","NULL","Make","NULL","NULL","NULL","3","NULL","NULL","NULL","6","NULL","NULL"
"36","2","NULL","NULL","Move","NULL","NULL","NULL","4","NULL","NULL","NULL","6","NULL","NULL"
"37","2","NULL","NULL","Sell","NULL","NULL","NULL","5","NULL","NULL","NULL","6","NULL","NULL"
"38","2","NULL","NULL","Manguistics","NULL","NULL","NULL","1","NULL","NULL","NULL","7","NULL","NULL"
"39","2","NULL","NULL","Growout Info.","NULL","NULL","NULL","2","NULL","NULL","NULL","7","NULL","NULL"
"41","2","NULL","NULL","HSB MES","NULL","NULL","NULL","4","NULL","NULL","NULL","7","NULL","NULL"
"42","2","NULL","NULL","SAP ECC","NULL","NULL","NULL","5","NULL","NULL","NULL","7","NULL","NULL"
"43","2","NULL","NULL","DLX WM","NULL","NULL","NULL","6","NULL","NULL","NULL","7","NULL","NULL"
"44","2","NULL","NULL","TMS","NULL","NULL","NULL","7","NULL","NULL","NULL","7","NULL","NULL"
"46","2","NULL","NULL","Business Manager","NULL","NULL","NULL","9","NULL","NULL","NULL","7","NULL","NULL"
"47","2","NULL","NULL","SAP MM","NULL","NULL","NULL","10","NULL","NULL","NULL","7","NULL","NULL"
"48","2","NULL","NULL","Plant View","NULL","NULL","NULL","11","NULL","NULL","NULL","7","NULL","NULL"
"49","2","NULL","NULL","EIM","NULL","NULL","NULL","12","NULL","NULL","NULL","7","NULL","NULL"
"50","2","NULL","NULL","Quality","NULL","NULL","NULL","13","NULL","NULL","NULL","7","NULL","NULL"
"51","2","NULL","NULL","SAP FIN","NULL","NULL","NULL","14","NULL","NULL","NULL","7","NULL","NULL"
"52","2","NULL","NULL","Supplier","NULL","NULL","NULL","1","NULL","NULL","NULL","8","NULL","NULL"
"53","2","NULL","NULL","Item Master","NULL","NULL","NULL","2","NULL","NULL","NULL","8","NULL","NULL"
"54","2","NULL","NULL","Pricing","NULL","NULL","NULL","3","NULL","NULL","NULL","8","NULL","NULL"
"55","2","NULL","NULL","Inventory","NULL","NULL","NULL","4","NULL","NULL","NULL","8","NULL","NULL"
"56","2","NULL","NULL","Orders","NULL","NULL","NULL","5","NULL","NULL","NULL","8","NULL","NULL"
"57","2","NULL","NULL","Invoices","NULL","NULL","NULL","6","NULL","NULL","NULL","8","NULL","NULL"
"58","2","NULL","NULL","Sales","NULL","NULL","NULL","7","NULL","NULL","NULL","8","NULL","NULL"
"59","2","NULL","NULL","Demand Planning","NULL","NULL","NULL","1","NULL","NULL","NULL","9","NULL","NULL"
"60","2","NULL","NULL","Production Order Generation","NULL","NULL","NULL","2","NULL","NULL","NULL","9","NULL","NULL"
"61","2","NULL","NULL","Sales Order Generation","NULL","NULL","NULL","3","NULL","NULL","NULL","9","NULL","NULL"
"62","2","NULL","NULL","SKU Maintainance","NULL","NULL","NULL","4","NULL","NULL","NULL","9","NULL","NULL"
"63","2","NULL","NULL","Pick Wave Generation","NULL","NULL","NULL","5","NULL","NULL","NULL","9","NULL","NULL"
"64","2","NULL","NULL","Inventory Updates","NULL","NULL","NULL","6","NULL","NULL","NULL","9","NULL","NULL"
"65","2","NULL","NULL","App Servers","NULL","NULL","NULL","1","NULL","NULL","NULL","10","NULL","NULL"
"66","2","NULL","NULL","DB Servers","NULL","NULL","NULL","2","NULL","NULL","NULL","10","NULL","NULL"
"67","2","NULL","NULL","Web Servers","NULL","NULL","NULL","3","NULL","NULL","NULL","10","NULL","NULL"
"68","2","NULL","NULL","Plan","NULL","NULL","list","1","NULL","NULL","NULL","11","109","NULL"
"69","2","NULL","NULL","Buy","NULL","NULL","shopping-cart","2","NULL","NULL","NULL","11","31","NULL"
"70","2","NULL","NULL","Make","NULL","NULL","plus-square","3","NULL","NULL","NULL","11","23","NULL"
"71","2","NULL","NULL","Move","NULL","NULL","truck","4","NULL","NULL","NULL","11","29","NULL"
"72","2","NULL","NULL","Sell","NULL","NULL","industry","5","NULL","NULL","NULL","11","30","NULL"
