"entity","entity_type","model_group","organization"
"Cluster_Incident_Details","dataset","Leap","leo1311"
"Cluster_Incidents_By_Assignee","dataset","Leap","leo1311"
"Cluster_Pareto","dataset","Leap","leo1311"
"Cluster_Prediction","pipeline","Leap","leo1311"
"ClusterClassification_Training","pipeline","Leap","leo1311"
"Completed_workflow_status","dataset","Leap","leo1311"
"correlation_alerts","dataset","Leap","leo1311"
"count_per_wf","dataset","Leap","leo1311"
"CPU_Percent","dataset","Leap","leo1311"
"CPU_percentAnamoly","dataset","Leap","leo1311"
"CriticalPriorityTickets","dataset","Leap","leo1311"
"CriticalResolutionSLA_05","dataset","Leap","leo1311"
"CriticalResolutionSLA_1","dataset","Leap","leo1311"
"CriticalResolutionSLA_4hr","dataset","Leap","leo1311"
"CriticalResolutionSLA_6hr","dataset","Leap","leo1311"
"CriticalTickets","dataset","Leap","leo1311"
"CriticalTicketsAvgDuration","dataset","Leap","leo1311"
"Current_month_wf_exec","dataset","Leap","leo1311"
"DailyVolume","dataset","Leap","leo1311"
"DiskSpace","dataset","Leap","leo1311"
"DiskSpaceAnamoly","dataset","Leap","leo1311"
"DistributionByAssignmentGroup","dataset","Leap","leo1311"
"DistributionByCategory","dataset","Leap","leo1311"
"DistributionByEASE","dataset","Leap","leo1311"
"DistributionByPriority","dataset","Leap","leo1311"
"DistributionByState","dataset","Leap","leo1311"
"ease_distributionByKeyword","dataset","Leap","leo1311"
"ease_ditributionByCategory","dataset","Leap","leo1311"
"ease_tickets","dataset","Leap","leo1311"
"ease_TotalTickets","dataset","Leap","leo1311"
"ease_wordcloud","dataset","Leap","leo1311"
"ACMKYPHR40814","pipeline","Leap","leo1311"
"Execution_count_per_wf","dataset","Leap","leo1311"
"Execution_per_node","dataset","Leap","leo1311"
"Executions_per_bot_","dataset","Leap","leo1311"
"Extract_NER","pipeline","Leap","leo1311"
"Failed_Workflow_status","dataset","Leap","leo1311"
"FailedResolutionSLAin24hours","dataset","Leap","leo1311"
"FilterDashboardTimestamp","dataset","Leap","leo1311"
"filterServer","dataset","Leap","leo1311"
"Forecast","pipeline","Leap","leo1311"
"Forecast","schema","Leap","leo1311"
"GenericWorkflowResolver","pipeline","Leap","leo1311"
"getConfigItemsFromIncidents","dataset","Leap","leo1311"
"HA_Instance","dataset","Leap","leo1311"
"HighPriorityTickets","dataset","Leap","leo1311"
"HighResolutionSLA_05","dataset","Leap","leo1311"
"HighResolutionSLA_1hr","dataset","Leap","leo1311"
"HighResolutionSLA_4hr","dataset","Leap","leo1311"
"HighResolutionSLA_6hr","dataset","Leap","leo1311"
"HighTicketAvgDuration","dataset","Leap","leo1311"
"icap_resolved_tickets","dataset","Leap","leo1311"
"icm_aio_tkt_ner","dataset","Leap","leo1311"
"icm_auto_assign","dataset","Leap","leo1311"
"icm_avg_reso","dataset","Leap","leo1311"
"icm_cluster_description","dataset","Leap","leo1311"
"icm_cluster_reso","dataset","Leap","leo1311"
"icm_documents","dataset","Leap","leo1311"
"icm_get_workflow","dataset","Leap","leo1311"
"icm_problem_type","dataset","Leap","leo1311"
"icm_recommended_resolution","dataset","Leap","leo1311"
"icm_related_tkts","dataset","Leap","leo1311"
"icm_resolver_logs","dataset","Leap","leo1311"
"icm_sops","dataset","Leap","leo1311"
"icm_specific_ner","dataset","Leap","leo1311"
"icm_ticket_sla","dataset","Leap","leo1311"
"icm_tickets_sla_data","dataset","Leap","leo1311"
"icm_tickets_with_description","dataset","Leap","leo1311"
"icm_tkt_classification","dataset","Leap","leo1311"
"icm_tkt_sop","dataset","Leap","leo1311"
"icm_tool_metadata","dataset","Leap","leo1311"
"icm_workflow_list","dataset","Leap","leo1311"
"Incident_Arrival_by_Category","dataset","Leap","leo1311"
"Incident_Count_By_Cluster","dataset","Leap","leo1311"
"IncidentCountByApplication","dataset","Leap","leo1311"
"JavascriptTest","pipeline","Leap","leo1311"
"L2_Forecast_of_job","dataset","Leap","leo1311"
"last_month_wf","dataset","Leap","leo1311"
"least_5_executed_wf","dataset","Leap","leo1311"
"least5_executed_processes","dataset","Leap","leo1311"
"LowPriorityTickets","dataset","Leap","leo1311"
"LowTicketsAvgDuration","dataset","Leap","leo1311"
"MediumPriorityTickets","dataset","Leap","leo1311"
"MediunTicketsAvgDuration","dataset","Leap","leo1311"
"MemoryPercent","dataset","Leap","leo1311"
"MemoryPercentAnomaly","dataset","Leap","leo1311"
"monitor_bot_table","dataset","Leap","leo1311"
"Monitor_bots_count","dataset","Leap","leo1311"
"MonthlyTicketArrivalTrend","dataset","Leap","leo1311"
"my_workflow","dataset","Leap","leo1311"
"NGAcme_bjm1_JobActualDuration","dataset","Leap","leo1311"
"NGAcme_bjm1_Total_dependent_job_Instances","dataset","Leap","leo1311"
"NGAcme_bjm1_Total_Job_Instances","dataset","Leap","leo1311"
"node_wise_wf_stats","dataset","Leap","leo1311"
"Online_TPS","dataset","Leap","leo1311"
"OpenTicketPriorityDistribution","dataset","Leap","leo1311"
"OpenTickets","dataset","Leap","leo1311"
"OpenTicketsbyAssignmentGroup","dataset","Leap","leo1311"
"Out_Of_Stock","dataset","Leap","leo1311"
"Queue_details","dataset","Leap","leo1311"
"ResolutionPercentBreachedMonth_Priority","dataset","Leap","leo1311"
"ResolutionPercentMetMonth_prioritywise","dataset","Leap","leo1311"
"Resolved_Incident_dashboard","dataset","Leap","leo1311"
"Scheduled_wf_count","dataset","Leap","leo1311"
"servercount","dataset","Leap","leo1311"
"serverdetail","dataset","Leap","leo1311"
"SLAPercentage","dataset","Leap","leo1311"
"SNOW_Create_API","pipeline","Leap","leo1311"
"SNOW_Get_API","pipeline","Leap","leo1311"
"SNOW_Get_Metadata_API","pipeline","Leap","leo1311"
"SNOW_Update_API","pipeline","Leap","leo1311"
"SOPClassification","pipeline","Leap","leo1311"
"technologystats","dataset","Leap","leo1311"
"TicketDetails","dataset","Leap","leo1311"
"TicketMetResolutionSLA","dataset","Leap","leo1311"
"TicketResolver","pipeline","Leap","leo1311"
"Tickets","dataset","Leap","leo1311"
"TicketsBreachedResolutionSLA","dataset","Leap","leo1311"
"TicketsSchema","schema","Leap","leo1311"
"TimeFreqFilter","dataset","Leap","leo1311"
"Top_5_executed_wf","dataset","Leap","leo1311"
"Top5_executed_processes","dataset","Leap","leo1311"
"total_available_wf","dataset","Leap","leo1311"
"Total_bots","dataset","Leap","leo1311"
"Total_processes","dataset","Leap","leo1311"
"Total_wf","dataset","Leap","leo1311"
"TotalExtractedTickets","dataset","Leap","leo1311"
"TotalTicketAvgDuration","dataset","Leap","leo1311"
"TotalTickets","dataset","Leap","leo1311"
"Water_Raising","dataset","Leap","leo1311"
"Week_wise_wf","dataset","Leap","leo1311"
"wf_completed","dataset","Leap","leo1311"
"wf_completed_count","dataset","Leap","leo1311"
"wf_failed","dataset","Leap","leo1311"
"wf_failed_count","dataset","Leap","leo1311"
"wf_in_progress","dataset","Leap","leo1311"
"wf_in_progress_count","dataset","Leap","leo1311"
"worfklow_status","dataset","Leap","leo1311"
"workerbot","dataset","Leap","leo1311"
"Workflow_completed_count","dataset","Leap","leo1311"
"workflow_execution_details","dataset","Leap","leo1311"
"workflow_failed_count","dataset","Leap","leo1311"
"workflow_in_progress","dataset","Leap","leo1311"
"workflow_inprogress_count","dataset","Leap","leo1311"
"Workflow_InProgress_Status","dataset","Leap","leo1311"
"Workflow_wise_stats","dataset","Leap","leo1311"
"workflowcount","dataset","Leap","leo1311"
"workflowExecutionTime","dataset","Leap","leo1311"
"workflowgenerationstat","dataset","Leap","leo1311"
"workFlowStatus","dataset","Leap","leo1311"
"workflowUsageStat","dataset","Leap","leo1311"
"Tickets_Enriched","dataset","Leap","leo1311"
"TelemetryLogging","pipeline","Leap","leo1311"
"ACMTCKTS40780","schema","Leap","leo1311"
"LDA_Topics","dataset","Leap","leo1311"
"ACMKYPHR29686","dataset","Leap","leo1311"
"ACMLDCLS41479","dataset","Leap","leo1311"
"ACMSNDXC88406","dataset","Leap","leo1311"
"ACMNGRMC77467","dataset","Leap","leo1311"
"ACMMNLCL47649","dataset","Leap","leo1311"
"ACMLDTPC70674","dataset","Leap","leo1311"
"ACMSLCNF38699","dataset","Leap","leo1311"
"ACMASGNM88206","dataset","Leap","leo1311"
"ACMASGNM67307","schema","Leap","leo1311"
"ACMSHFTR56235","schema","Leap","leo1311"
"ACMSLCNF56467","schema","Leap","leo1311"
"ACMGNRCN39596","pipeline","Leap","leo1311"
"Network_ProcessTemplate_Edge","dataset","Leap","leo1311"
"IC_ProcessTemplate_Graph","dataset","Leap","leo1311"
"Variation_ProcessTemplate_Graph","dataset","Leap","leo1311"
"VF_ProcessTemplate_Graph","dataset","Leap","leo1311"
"ProcessTemplate_Graph","dataset","Leap","leo1311"
"VAverage_ProcessTemplate_Graph","dataset","Leap","leo1311"
"ProcessTemplate_Variant","dataset","Leap","leo1311"
"ProcessTemplate_TimeFrequency","dataset","Leap","leo1311"
"ACMTCKTS76661","dataset","Leap","leo1311"
"SNOWToolMetadata","schema","Leap","leo1311"
"ACMESMPN94605","schema","Leap","leo1311"
"ACMSPCNF87143","schema","Leap","leo1311"
"ACMESMPN85731","dataset","Leap","leo1311"
"ACMSPCNF36673","dataset","Leap","leo1311"
"ACMRSLTN82640","pipeline","Leap","leo1311"
"ACMCLSTR30039","schema","Leap","leo1311"
"ACMPHRSX57460","pipeline","Leap","leo1311"
"ACMLP_CR65949","pipeline","Leap","leo1311"
"ACMLP_PD72695","pipeline","Leap","leo1311"
"ACMSHFTR92626","dataset","Leap","leo1311"
"job_vm_type","schema","Leap","leo1311"
"Actual VM Type","dataset","Leap","leo1311"
"Predicted VM_Type","dataset","Leap","leo1311"
"VM Type Count","dataset","Leap","leo1311"
"Actual SLA Not Met","dataset","Leap","leo1311"
"Predicted SLA Not Met","dataset","Leap","leo1311"
"Duration Count","dataset","Leap","leo1311"
"Actual Status","dataset","Leap","leo1311"
"PredictedStatus","dataset","Leap","leo1311"
"ACMGTNCD87880","dataset","Leap","leo1311"
"GetUserById","dataset","Leap","leo1311"
"GetAllUsers","dataset","Leap","leo1311"
"GetUserGroup","dataset","Leap","leo1311"
"GetConfigItem","dataset","Leap","leo1311"
"GetIncidentTsk","dataset","Leap","leo1311"

"LEOBTM_S61592","pipeline","Leap","leo1311"
"LEOBTM_C22107","pipeline","Leap","leo1311"

"LEOGNRCP84126","schema","Leap","leo1311"
"LEOGNRCP84127","schema","Leap","leo1311"
"LEOCSMNG76939","dataset","Leap","leo1311"
"LEOCSMNG44245","schema","Leap","leo1311"
"LEOCSMNG76939","dataset","ICMS","leo1311"
"LEOCSMNG44245","schema","ICMS","leo1311"
