"id","metric_id","initiative_id","milestone_id","org_id","usm_project_id","value_lever_id","project_sponsor","business_champion","tech_champion","owner","start_date","end_date","status","priority","target_score","irr","payback_period","npv","roi","name","actual_start_date","actual_end_date","questionnaire_instance_id","tool_id"
"39","1054","27","NULL","1","2","44","NULL","NULL","NULL","NULL","2023-11-27","2024-01-11","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Improve change management using automation and standardization of processes","NULL","NULL","231","NULL"
"40","1057","28","NULL","1","2","44","NULL","NULL","NULL","NULL","2023-11-25","2024-05-09","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Improve change management using automation and standardization of processes","NULL","NULL","231","NULL"
"41","1027","50","NULL","1","2","59","NULL","NULL","NULL","NULL","2023-11-13","2024-07-15","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Increase the usage of AI/ML and automation","NULL","NULL","231","NULL"
"42","1027","51","NULL","1","2","59","NULL","NULL","NULL","NULL","2023-11-13","2024-03-07","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Increase the usage of AI/ML and automation","2023-11-15","NULL","231","NULL"
"43","1047","58","NULL","1","2","59","NULL","NULL","NULL","NULL","2023-11-19","2024-01-18","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Increase the usage of AI/ML and automation","2023-11-22","NULL","231","NULL"
"44","1038","56","NULL","1","2","66","NULL","NULL","NULL","NULL","2023-11-27","2024-02-20","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Adopt Agile processes","2023-11-29","NULL","231","NULL"
"45","1028","52","NULL","1","2","60","NULL","NULL","NULL","NULL","2023-11-26","2023-12-29","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Adopt DevOps and DevSecOps practices","2023-11-28","NULL","231","NULL"
"46","1028","53","NULL","1","2","60","NULL","NULL","NULL","NULL","2023-11-13","2023-12-28","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Adopt DevOps and DevSecOps practices","2023-11-15","2023-12-26","231","NULL"
"47","1028","54","NULL","1","2","60","NULL","NULL","NULL","NULL","2023-11-13","2023-12-30","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Adopt DevOps and DevSecOps practices","2023-11-14","2023-12-28","231","NULL"
"48","1028","55","NULL","1","2","60","NULL","NULL","NULL","NULL","2023-11-06","2024-01-18","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Adopt DevOps and DevSecOps practices","2023-11-08","2024-01-16","231","NULL"
"49","1039","57","NULL","1","2","60","NULL","NULL","NULL","NULL","2023-11-19","2024-02-09","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Adopt DevOps and DevSecOps practices","2023-11-22","2024-02-05","231","NULL"
"50","746","64","NULL","1","2","67","NULL","NULL","NULL","NULL","2023-11-27","2024-02-25","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Improve performance, security, availability","NULL","NULL","228","NULL"
"51","746","65","NULL","1","2","67","NULL","NULL","NULL","NULL","2023-11-26","2024-02-24","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Improve performance, security, availability","NULL","NULL","228","NULL"
"52","750","66","NULL","1","2","58","NULL","NULL","NULL","NULL","2023-11-12","2024-02-10","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Optimize Processes, applications, services","NULL","NULL","228","NULL"
"53","750","69","NULL","1","2","116","NULL","NULL","NULL","NULL","2023-11-05","2024-02-03","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Optimize Processes, applications, services","NULL","NULL","228","NULL"
"54","714","60","NULL","1","2","116","NULL","NULL","NULL","NULL","2023-11-13","2024-02-11","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Improve Financial Planning & Analysis","2023-11-14","NULL","228","NULL"
"55","714","61","NULL","1","2","116","NULL","NULL","NULL","NULL","2023-11-12","2024-02-10","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Improve Financial Planning & Analysis","2023-11-15","NULL","228","NULL"
"56","751","62","NULL","1","2","116","NULL","NULL","NULL","NULL","2023-10-31","2024-01-29","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Improve Financial Planning & Analysis","2023-11-02","NULL","228","NULL"
"57","751","63","NULL","1","2","116","NULL","NULL","NULL","NULL","2023-11-19","2024-02-17","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Improve Financial Planning & Analysis","2023-11-21","NULL","228","NULL"
"58","741","67","NULL","1","2","116","NULL","NULL","NULL","NULL","2023-11-07","2024-02-05","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Improve Financial Planning & Analysis","2023-11-09","2024-02-01","228","NULL"
"59","741","68","NULL","1","2","116","NULL","NULL","NULL","NULL","2023-11-13","2024-02-11","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Improve Financial Planning & Analysis","2023-11-17","2024-02-07","228","NULL"
"60","741","71","NULL","1","2","116","NULL","NULL","NULL","NULL","2023-10-31","2024-01-29","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Improve Financial Planning & Analysis","2023-11-03","2024-01-03","228","NULL"
"61","899","80","NULL","1","2","65","NULL","NULL","NULL","NULL","2023-12-03","2024-01-31","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Increase usage of Self service and chatbots","2023-12-08","NULL","229","NULL"
"62","891","77","NULL","1","2","63","NULL","NULL","NULL","NULL","2023-11-05","2024-01-31","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Optimize problem management processes","NULL","NULL","229","NULL"
"63","907","75","NULL","1","2","58","NULL","NULL","NULL","NULL","2023-09-06","2023-12-31","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Optimize Processes, applications, services","NULL","NULL","229","NULL"
"64","907","76","NULL","1","2","58","NULL","NULL","NULL","NULL","2023-11-29","2023-12-31","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Optimize Processes, applications, services","NULL","NULL","229","NULL"
"65","895","81","NULL","1","2","31","NULL","NULL","NULL","NULL","2023-12-06","2024-03-31","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Centralize product organization structure and associated processes","2023-12-07","2023-12-25","229","NULL"
"66","900","78","NULL","1","2","59","NULL","NULL","NULL","NULL","2023-11-30","2023-12-31","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Increase the usage of AI/ML and automation","2023-12-01","NULL","229","NULL"
"67","900","79","NULL","1","2","59","NULL","NULL","NULL","NULL","2023-12-01","2024-01-24","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Increase the usage of AI/ML and automation","2023-12-18","NULL","229","NULL"
"68","905","82","NULL","1","2","61","NULL","NULL","NULL","NULL","2023-12-21","2024-01-24","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Increase proactive resolutions at early stages","2023-12-05","2023-12-31","229","NULL"
