"id","slno","question_id","question","usm_project_id","answer","score","questionnaire_instance_id","last_updated_date","last_updated_by","metric_dimension_id"
"29","13","1291","What percentage of incidents are automatically created in ITSM tool?","2","<10%","1.00","229","2023-09-28","admin","774"
"30","14","1292","What percentage of incident resolutions are automated ( Applications and Batch)","2","10%-20%","2.00","229","2023-09-28","admin","775"
"31","16","1296","What percentage of service requests are handled through automation?","2","10%-20%","2.00","229","2023-09-28","admin","779"
"32","17","1297","What is the maturity level of your problem management process?","2","0.0","2.00","229","2023-09-28","admin","780"
"33","19","1303","What is the average year on year ticket reduction through different intervention plans in last 3 years","2","5%-10%","2.00","229","2023-09-28","admin","784"
"34","18","1298","How frequently are the incidents reviewed to provide suggestions to improve app?","2","0.0","2.00","229","2023-09-28","admin","781"
"35","20","1306","What is the maturity level of your change management  and release management process ?","2","0.0","4.00","229","2023-09-28","admin","787"
"36","22","1316","What percentage of alerts, anomalies in the system are proactively self healed thru automations?","2","10%-20%","2.00","229","2023-09-28","admin","797"
"37","21","1312","How is the event data from various sources used to optimize the operations and resilience?","2","0.0","3.00","229","2023-09-28","admin","793"
"38","23","1313","How would you best describe automation methodology used within the enterprise?","2","0.0","4.00","229","2023-09-28","admin","794"
"39","24","1293","What percentage of applications have the APM tool configuration done (for alert and event management)?","2","30%-60%","4.00","229","2023-09-28","admin","776"
"40","25","1294","Which of the below describes current state of adoption of AI while facilitating operations?","2","0.0","3.30","229","2023-09-28","admin","777"
"41","26","1295","Are there standard command centers to monitor the health of applications, Severity incidents, Trends etc.","2","0.0","3.20","229","2023-09-28","admin","778"
"42","27","1307","What is your log monitoring maturity level?","2","0.0","2.70","229","2023-09-28","admin","788"
"43","28","1309","How are any disruptions that impact business service availability dealt with?","2","0.0","2.00","229","2023-09-28","admin","790"
"44","31","1315","How do you correlate different business, IT data sources and identify the causality for any disruptions?","2","0.0","2.00","229","2023-09-28","admin","796"
"45","29","1310","What do you do to measure and enhance the customer experience?","2","0.0","1.00","229","2023-09-28","admin","791"
"46","30","1311","To derive the best business value from the IT, apps, what is the strategy you follow?","2","0.0","4.00","229","2023-09-28","admin","792"
"47","32","1314","What do you do to bring in agility to the response to fast moving business changes?","2","0.0","3.00","229","2023-09-28","admin","795"
"62","1","1511","How many applications are in the production environment as of this month?","2","80","NULL","231","2023-09-28","admin","972"
"63","2","1512","What is the average number of problems tickets  per month, based on the last 6 months data?","2","70","NULL","231","2023-09-28","admin","973"
"64","3","1513","What % applications use full stack DevOps for Application Management?","2","80","NULL","231","2023-09-28","admin","974"
"65","4","1514","What % applications use ScrumBan / Kanban for Application Management?","2","80","NULL","231","2023-09-28","admin","974"
"66","5","1515","What is the average number of critical and high priority (P1 and P2) tickets per month, based on the last 6 months data?","2","60","NULL","231","2023-09-28","admin","975"
"67","6","1516","What is the average number of FTEs working on Application management based on the last 6 months data?","2","60","NULL","231","2023-09-28","admin","976"
"68","9","2067","What is the average number of service requests per month based on the last 6 months data?","2","80","NULL","231","2023-09-28","admin","977"
"69","7","1517","What is the average monthly ticket volume for application management (exclude Infra support tickets) based on the last 6 months data?","2","60","NULL","231","2023-09-28","admin","977"
"70","8","1518","What is the average number of incidents  per month based on the last 6 months data?","2","70","NULL","231","2023-09-28","admin","977"
"71","1","1446","What is the status of automation planning?","2","0.0","0.50","231","2023-09-28","admin","908"
"72","2","1447","Is productivity improvement plan aligned with the service line goals?","2","20.0","4.20","231","2023-09-28","admin","909"
"73","3","1448","Has the team been formed for executing automation roadmap?","2","20.0","2.75","231","2023-09-28","admin","910"
"74","10","1455","How is SLA management done?","2","0.0","1.75","231","2023-09-28","admin","917"
"75","11","1456","How are audit and compliance reports produced?","2","0.0","1.66","231","2023-09-28","admin","918"
"76","12","1457","How are regular progress reports generated?","2","100.0","3.32","231","2023-09-28","admin","919"
"77","30","1475","What is the level of reuse maturity within your org?","2","0.0","3.75","231","2023-09-28","admin","935"
"78","31","1476","What is the operating model structure that closely match from the options?","2","0.0","1.50","231","2023-09-28","admin","936"
"79","32","1477","Your Application Management process closely matches with which of the options provided?","2","0.0","1.70","231","2023-09-28","admin","937"
"80","4","1449","How is infra provisioned across environments?","2","0.0","2.75","231","2023-09-28","admin","911"
"81","5","1450","How is data refresh done from prod to lower environments?","2","0.0","1.66","231","2023-09-28","admin","912"
"82","6","1451","How are packaged deployed across environments?","2","0.0","3.75","231","2023-09-28","admin","913"
"83","7","1452","Is the data archival and purging automated?","2","0.0","5.00","231","2023-09-28","admin","914"
"84","8","1453","How is data profiling and cleaning handled?","2","0.0","2.99","231","2023-09-28","admin","915"
"85","9","1454","How is data migration activity performed?","2","80.0","4.65","231","2023-09-28","admin","916"
"86","33","1478","How are the data report Service Requests handled?","2","0.0","0.50","231","2023-09-28","admin","938"
"87","34","1479","How are the data update Service Requests handled today?","2","0.0","2.16","231","2023-09-28","admin","939"
"88","35","1480","How do you address user queries and user training?","2","20.0","4.75","231","2023-09-28","admin","940"
"89","36","1481","How do you handle Batch job failures in the current state?","2","0.0","0.83","231","2023-09-28","admin","941"
"90","37","1482","How do you handle Incident response and triage at present?","2","10.0","3.63","231","2023-09-28","admin","942"
"91","38","1483","How do you handle security related request specific to user role?","2","50.0","4.15","231","2023-09-28","admin","943"
"92","39","1484","How do you handle server and DB issues at present?","2","0.0","3.50","231","2023-09-28","admin","944"
"93","40","1485","How does historical resolution repository help in solving the new tickets?","2","0.0","3.50","231","2023-09-28","admin","945"
"94","42","1487","How does the Simple Queries get addressed in the System?","2","0.0","4.50","231","2023-09-28","admin","947"
"95","43","1488","How does the ticket enrichment happens in the current process?","2","0.0","3.82","231","2023-09-28","admin","948"
"96","99","1904","What percentage of tickets are handled through standard operating procedures and/ or run books?","2","80","4.00","231","2023-09-28","admin","1175"
"97","44","1489","How does the User Lifecycle Management happens today?","2","50.0","3.88","231","2023-09-28","admin","949"
"98","41","1905","How does the service request resolution happens today?","2","0.0","1.90","231","2023-09-28","admin","946"
"99","45","1490","What is the current state of Shift Management process?","2","0.0","4.25","231","2023-09-28","admin","950"
"100","41","1906","How does the incident resolution happens today?","2","80.0","2.20","231","2023-09-28","admin","1176"
"101","46","1491","What percentage of incidents are automatically created in ITSM tool?","2","70","4.50","231","2023-09-28","admin","951"
"102","47","1492","Which of these is closest to the change planning and approval processes followed at your org?","2","80.0","2.25","231","2023-09-28","admin","952"
"103","48","1493","How are regression test cases executed?","2","80.0","1.83","231","2023-09-28","admin","953"
"104","49","1494","How are performance test cases executed?","2","10.0","1.60","231","2023-09-28","admin","954"
"105","50","1495","What is the closest state of deploying new changes to production?","2","0.0","2.41","231","2023-09-28","admin","955"
"106","51","1496","How is code quality improved?","2","60.0","4.65","231","2023-09-28","admin","956"
"107","52","1497","How is impact analysis performed for the changes and disruptions?","2","0.0","2.13","231","2023-09-28","admin","957"
"108","53","1498","How are change requests estimated?","2","100.0","3.32","231","2023-09-28","admin","958"
"109","54","1499","What is the branching strategy for the source code and releases?","2","0.0","0.80","231","2023-09-28","admin","959"
"110","55","1500","How is coding accelerated?","2","0.0","3.65","231","2023-09-28","admin","960"
"111","56","1501","How are forward and rollback changes for DB applied?","2","0.0","1.70","231","2023-09-28","admin","961"
"112","57","1502","What is the approach for unit testing of the enhancements?","2","80.0","2.32","231","2023-09-28","admin","962"
"113","58","1503","How is the code quality ensured for the enhancements?","2","0.0","0.70","231","2023-09-28","admin","963"
"114","59","1504","How is progressive testing performed?","2","0.0","3.30","231","2023-09-28","admin","964"
"115","60","1505","Are the support processes SOP driven?","2","0.0","0.83","231","2023-09-28","admin","965"
"116","61","1506","How capable is the team to build and deploy automations for their use cases?","2","0.0","2.25","231","2023-09-28","admin","966"
"117","62","1507","What is the average year on year ticket reduction through different intervention plans in last 3 years","2","80","4.50","231","2023-09-28","admin","967"
"118","63","1508","How frequently are the incidents/service requests reviewed to provide improvement suggestions?","2","0.0","1.50","231","2023-09-28","admin","968"
"119","64","1509","What percentage of alerts, anomalies in the system are proactively self healed thru automations?","2","80","4.50","231","2023-09-28","admin","969"
"120","65","1510","How is the event and  alert data from various sources used to optimize the operations?","2","0.0","1.50","231","2023-09-28","admin","969"
"121","99","1827","What is the maturity level of your problem management process?","2","0.0","5.00","231","2023-09-28","admin","1106"
"122","16","1461","How is application capacity planning and management performed?","2","0.0","1.66","231","2023-09-28","admin","922"
"123","17","1462","How are DB performance managed?","2","20.0","2.99","231","2023-09-28","admin","923"
"124","18","1463","What percentage of applications have the APM tool configuration done (for alert and event management)?","2","100","4.50","231","2023-09-28","admin","924"
"125","19","1464","Which of the below describes current state of adoption of AI while facilitating operations?","2","0.0","1.50","231","2023-09-28","admin","925"
"126","20","1465","How is application health monitoring performed?","2","0.0","1.50","231","2023-09-28","admin","926"
"127","21","1466","How is the monitoring done for applications, infrastructure, databases, batch jobs, interfaces ?","2","0.0","2.49","231","2023-09-28","admin","927"
"128","22","1467","How does the Business process with Transaction monitoring set up currently?","2","0.0","3.50","231","2023-09-28","admin","928"
"129","23","1468","Are there standard command centers to monitor the health of applications, Severity incidents, Trends etc.","2","80.0","3.30","231","2023-09-28","admin","929"
"130","24","1469","What is the current state of Log Management system?","2","100.0","3.75","231","2023-09-28","admin","930"
"131","25","1470","How does the planned improvement fair against the actuals realized?","2","80","3.32","231","2023-09-28","admin","931"
"132","26","1471","How do you correlate different business, IT data sources and identify the causality for any disruptions?","2","0.0","2.50","231","2023-09-28","admin","932"
"133","27","1472","To derive the best business value from the IT, apps, what is the strategy you follow?","2","100.0","2.50","231","2023-09-28","admin","932"
"134","28","1473","What do you do to measure and enhance the customer experience?","2","0.0","2.50","231","2023-09-28","admin","933"
"135","29","1474","What do you do to bring in agility to the response to fast moving business changes?","2","0.0","2.50","231","2023-09-28","admin","934"
"136","1","1374","Who (\"Unto Whom\") is negatively impacted by the system? (Stakeholders)","2","Government agencies/regulators (d)","0.00","230","2023-09-28","admin","866"
"137","2","1375","Can users (\"For Whom\") opt out, e.g. switch systems? Can users challenge or correct the output?","2","Users cannot opt out of the AI systemâ€™s output","0.00","230","2023-09-28","admin","866"
"138","3","1376","Is there any risk identified while developing AI tool?","2","Risk has been identified but no mitigation measures are taken","0.00","230","2023-09-28","admin","866"
"139","4","1377","Are there mechanisms in place to ensure that data quality is maintained in scenarios such as data becoming obsolete, outdated, incomplete, incorrect data being used, source tool getting decommissioned etc has to be taken care and make necessary changes in algorithm (applicable for PII data)","2","There is regular process in place to ensure data quality is maintained","0.00","230","2023-09-28","admin","866"
"140","5","1378","Is sensitive data such as health data, biometric data being required and processed by the tool and any propotionate controls implemented for protecting sensitive data?","2","Sensitive personal data is being processed by the tool and separate controls implemented for protecting sensitive personal data","5.00","230","2023-09-28","admin","866"
"141","7","1380","Is there a clearly stated and documented purpose for the tool which is aligned to Human, societal well being and does not have negative impact to the privacy, rights and freedom of individuals?","2","Tool doesnâ€™t have capabilities to handle DSR's","10.00","230","2023-09-28","admin","867"
"142","8","1381","Does the tool have DSR handling capabilities, including the process, procedures and technical capabilities?","2","There is no plan to communicate to users about rolling out of AI solution to users as this tool is rolled out for business interest of company","10.00","230","2023-09-28","admin","867"
"143","9","1382","Is communication sent to data subjects before rolling out AI solution and are there feedbacks incorporated to ensure that the solution is not overriding the interest of the data subjects?","2","There is no provision provided in the tool to take acknowledgement/ consent from data subjects","20.00","230","2023-09-28","admin","867"
"144","10","1383","Has adequate notice/consent been taken from data subjects a) before using their data for training the AI tool b) before rolling out the tool c) when they are interacting with an AI or assisted by AI for decision making or if a decision is made about them by AI. And is this consent/acknowledgement being recorded?","2","Rule of law, absence of arbitrary sentencing","10.00","230","2023-09-28","admin","867"
"145","11","1384","Can the system s outputs negatively impact fundamental human rights?","2","Aggregate society-level risk","0.00","230","2023-09-28","admin","867"
"146","12","1385","Can the system s outputs negatively impact areas of life related to well-being?","2","Work-life balance","0.00","230","2023-09-28","admin","868"
"147","13","1386","Could the system automate non-hazardous tasks that are or were being executed by humans?","2","Activities of extraterritorial organizations and bodies","0.50","230","2023-09-28","admin","868"
"148","14","1387","Which industrial sector is the system deployed in?","2","Electricity, gas, steam, and air conditioning supply","0.50","230","2023-09-28","admin","868"
"149","15","1388","What business function(s) is the system employed in?","2","Marketing and advertisement","0.50","230","2023-09-28","admin","869"
"150","16","1389","Jurisdiction in which AI is trained & applied","2","Yes, it will impact one or multiple critical business operations of the organization","5.00","230","2023-09-28","admin","870"
"151","17","1390","Would a disruption of the system s function / activity affect essential services?","2","Vendor IP soltions are being used and vendor has agreed to explain how the resuls are arrived during the entire lifecycle phase","5.00","230","2023-09-28","admin","870"
"152","18","1391","Is the solution using Vendor IP solutions? If yes whether vendor has agreed to explain how the results are arrived in case of DSRs or any queries from regulatory authorities?","2","The technology elements/solution are piloted in multiple organizations","5.00","230","2023-09-28","admin","870"
"153","19","1392","Where vendor is involved, have they been made accountable for privacy and data protection by adding relevant data protection clauses to the contract","2","No validation mechanism available to ensure that training and testing data is obtained in a fair and lawful manner","10.00","230","2023-09-28","admin","871"
"154","20","1393","How technically mature is the system?","2","Tool has been provided with functionality to implement data deletion automatically as per business & regulatory requirements","0.00","230","2023-09-28","admin","871"
"155","22","1395","Does the AI system have functionality built in to implement data deletion after use? (Applicable for PII data)","2","Anonymized data or Aggregated data","0.00","230","2023-09-28","admin","872"
"156","21","1394","How do you ensure training & testing data is obtained in a fair and lawful manner (applicable for PII data)","2","Combination of all above","10.00","230","2023-09-28","admin","872"
"157","23","1396","Are the data and input from experts; provided, observed, synthetic or derived?","2","Models combining both discriminative and generative properties","10.00","230","2023-09-28","admin","874"
"158","24","1397","If personal data, will the data be anonymized; pseudonymized?","2","Documentation is not  available which explains how decision is arrived using AI model","10.00","230","2023-09-28","admin","874"
"159","25","1398","Is the model generative, discriminative or both?","2","Review is done on ad-hoc basis","10.00","230","2023-09-28","admin","874"
"160","26","1399","Does the model evolve and / or acquire abilities from interacting with data in the field?","2","A cross-functional advisory committee reviews the AI model during development and operation","0.00","230","2023-09-28","admin","875"
"161","27","1400","Is there a mechanism or documentation which explains how the decision is arrived using the AI/ML model?","2","Event detection: Connecting data points to detect patterns, as well as outliers or anomalies","0.50","230","2023-09-28","admin","875"
"162","29","1402","Do you have any advisory committee for fairness and bias review of any AI model?","2","Goal-driven optimization: Finding the optimal solution to a problem for a cost function or predefined goal","0.50","230","2023-09-28","admin","877"
"163","30","1403","What tasks does the system perform?","2","Monitoring and control systems: These systems manage, command, direct or regulate the behavior of other devices or systems using control loops","5.00","230","2023-09-28","admin","877"
"164","31","1404","Does the system combine several tasks and actions?","2","Medium-action autonomy (also referred to as â€œhuman-on-the-loop  ): System evaluates input and acts upon its recommendations or output unless the human vetoes","10.00","230","2023-09-28","admin","877"
"165","34","1409","Are notifications provided in accessible formats for vulnerable groups such as children or persons with disabilities?","2","Tool is not provided with any functionality to capture feedback from differnt stakeholders","10.00","230","2023-09-28","admin","878"
"166","35","1410","Is the purpose of processing of the AI system reasonably expected by Data Subject?","2","Data set is providing same result when executed multiple times on same dataset","10.00","230","2023-09-28","admin","878"
"167","36","1411","Is the output analysed every quarter to avoid any biases and discrimination?","2","Human intervention available","5.00","230","2023-09-28","admin","879"
"168","37","1412","Is the system that continue to learn after being rolled out is developed in such a way to ensure that possibly biased outputs due to outputs used as an input for future operations ( feedback loops ) are duly addressed with appropriate mitigation measures","2","Training data will be analysed every quarter for representiveness and the data used is diverse, relevant, error free and complete","5.00","230","2023-09-28","admin","879"
"169","38","1413","Is the algorithm able to produce similar results on same dataset when it is executed multiple times?","2","Not Applicable","0.00","230","2023-09-28","admin","879"
"170","39","1414","Is there a provision for human intervention in cases where fully automated decisions are made?","2","Not Applicable","0.00","230","2023-09-28","admin","880"
"171","40","1415","Are the training & testing datasets analyzed at every quarter for representativeness? Is the data being used diverse enough and balanced and are they relevant, error free and complete and devoid of any bias and discrimination?","2","Not Applicable","0.00","230","2023-09-28","admin","880"
"172","32","1405","Are there predefined KPI's available for the tool and also for measuring output of tool?","2","KPI's are defined AND available FOR tool FOR measuring output OF tool","2.00","230","2023-09-28","admin","878"
"173","33","1406","How autonomous are the system s actions and what role do humans play?","2","Low-ACTION autonomy (also referred TO AS  human-IN-the-loop ): SYSTEM evaluates input AND acts upon its recommendations OR output IF the human agrees.","2.00","230","2023-09-28","admin","878"
"174","8","3139","How is the strategy define in place to adapt to the digital future of work?","2","There is growing awareness of digital future of work, but fragmented systems and no defined strategy for adapting","2.00","235","2023-09-28","admin","1678"
"175","9","3140","How the HR operating model is aligned with the business model and HR strategy?","2","The HR operating model is aligned with HR strategy in terms of the structure of the HR function and people capabilities","2.00","235","2023-09-28","admin","1678"
"176","10","3141","What is the organization strategy to measure the impact of its well-being investment and how it incorporates multiple data sources (e.g., employee feedback, business metrics)?","2","The organization does not track any well-being leading indicators","1.00","235","2023-09-28","admin","1678"
"177","11","3142","How does the chief human resources officer drives the talent agenda and alignment between the corporate strategy, people strategy and HR transformation?","2","HR provides information for strategic decisions but remains tactical in focus","2.00","235","2023-09-28","admin","1678"
"178","12","3143","Are HR and finance are tightly integrated (in terms of leadership, strategy, data) and work together to ensure efficient and effective business execution?","2","HR and finance data and processes are inconsistent, siloed, and largely manual","1.00","235","2023-09-28","admin","1678"
"179","1","3132","How does the chief human resources officer focuses on organization culture, employee experience, engagement and well-being?","2","The company web site talks about culture, but it is not measured","1.00","235","2023-09-28","admin","1678"
"180","2","3133","How is the employer branding done with respect to recruitment?","2","Standard advertisements","2.00","235","2023-09-28","admin","1678"
"181","3","3134","Female management headcount in percentage","2","60","3.00","235","2023-09-28","admin","1679"
"182","4","3135","How does the organization focuses on multiple aspects of well-being (e.g., mind, body, social, financial, purpose)?","2","Employee well-being viewed as an executive leadership topic to achieve overall employee well-being","3.00","235","2023-09-28","admin","1678"
"183","5","3136","How does the organization monitors the environment to predict any engagement and compliance issues?","2","Annual surveys conducted to collect employee feedback but minimal action is taken on the results","2.00","235","2023-09-28","admin","1678"
"184","6","3137","In what ways the organization ensures safe working conditions for its entire workforce?","2","Health and safety information and employee training records are maintained in stand-alone tools","2.00","235","2023-09-28","admin","1678"
"185","7","3138","Do the organization has established processes for promoting diversity and inclusion?","2","Diversity and inclusion are promoted but no formal policies exist","2.00","235","2023-09-28","admin","1678"
"186","13","3144","Does your organization leverage visa programs to source talent from international labor markets?","2","No plans to do this","2.00","235","2023-09-28","admin","1680"
"187","14","3145","Time to hire external workforce in days","2","20","2.00","235","2023-09-28","admin","1681"
"188","15","3146","New hire retention rate in percentage in a year","2","40","1.00","235","2023-09-28","admin","1682"
"189","16","3147","What are the ways in which the organization delivers social collaboration, connecting employees, customers, and partners with the people they need to get work done?","2","Social collaboration is integrated into key, strategic talent outcomes (learning, development, and so on), and participation and contributions can be used to predict future focus areas","3.00","235","2023-09-28","admin","1680"
"190","17","3148","How does the organization aligns present and future business needs to ensure the right people are available in the right place at the right time?","2","Workforce requirements are based on real-time data; simulations and what-if scenarios and predictive analytics is used to predict workforce requirements","3.00","235","2023-09-28","admin","1680"
"191","18","3149","How does the organization manages the entire workforce lifecycle for in-house talent as well as for external labor?","2","Disconnected processes with minimal automation are used across the organization, resulting in limited workforce insights","2.00","235","2023-09-28","admin","1683"
"192","19","3150","External workforce in percentage","2","70","4.00","235","2023-09-28","admin","1684"
"193","20","3151","External workforce trained on compliance and security in percentage","2","68","2.00","235","2023-09-28","admin","1685"
"194","21","3152","How is the compensation structure defined?","2","Past data trends studied manually and designed","2.00","235","2023-09-28","admin","1683"
"195","22","3153","What are ways to identify new workforce segmentation patterns and guide workforce decisions (correlations between coaching and engagement etc.)?","2","Standard processes in place to generate operational reports and compliance reports that focuses on data accuracy, consistency and timelines","2.00","235","2023-09-28","admin","1683"
"196","24","3155","HR FTEs per 100 vacancies","2","60","4.00","235","2023-09-28","admin","1687"
"197","25","3156","Cost per hire in dollars","2","80","1.00","235","2023-09-28","admin","1688"
"198","26","3157","Time to hire in days","2","70","4.00","235","2023-09-28","admin","1689"
"199","27","3158","Bad hires as a percentage of total hires","2","80","4.00","235","2023-09-28","admin","1690"
"200","28","3159","Employee referral rate in percentage","2","70","4.00","235","2023-09-28","admin","1691"
"201","29","3160","Do your organization have a reporting tool to assess current state of the recruiting process and continuously improve recruiting effectiveness ?","2","Periodic process of reporting various recruiting metrics","2.00","235","2023-09-28","admin","1686"
"202","30","3161","Does the organization evaluate the recruitment & staffing process to identify bottlenecks and improve the process further?","2","No, but considering it for future","2.00","235","2023-09-28","admin","1686"
"203","31","3162","In what way is the recruiting strategy is aligned with risk management practices to optimize positive business impact?","2","Recruiting process managed in a consistent manner to fill in vacancies as soon as possible but not aligned with recruiting processes","2.00","235","2023-09-28","admin","1686"
"204","23","3154","Do the organization measures the current state of the recruiting process to improve recruiting effectiveness and acquire the best talent?","2","Manual process for reporting recruiting activities on ad hoc basis","2.00","235","2023-09-28","admin","1686"
"205","32","3163","How does HR provides useful and relevant workforce data to key stakeholders ?","2","There is no 360-degree view of the workforce, and data resides in silos","2.00","235","2023-09-28","admin","1692"
"206","33","3164","How the Job Description(JD) is prepared and reviewed?","2","Preparing and reviewing the JD manually with a standard format","2.00","235","2023-09-28","admin","1692"
"207","34","3165","Does the organization put effort to ensure job descriptions are consistent, neutral and able to attract a diverse talent pool?","2","Focus on basic data such as job requirements and characteristics","2.00","235","2023-09-28","admin","1692"
"208","35","3166","What is the average time to draft and review JD in hours?","2","100","4.00","235","2023-09-28","admin","1693"
"209","36","3167","What is the average time required to align and obtain approvals for JDs from relevant parties?","2","70","4.00","235","2023-09-28","admin","1694"
"210","40","3171","What  multichannel sourcing is utilized for recruitment ?","2","Sourcing through job posting on website","1.00","235","2023-09-28","admin","1695"
"211","41","3172","What is the cost to source 100 profiles for a role in dollars?","2","100","1.00","235","2023-09-28","admin","1697"
"212","42","3173","What is the conversion rate? (percentage of screened candidates clearing all rounds of interview)","2","80","4.00","235","2023-09-28","admin","1698"
"213","43","3174","HR FTEs to source & screen 10 profiles","2","50","4.00","235","2023-09-28","admin","1699"
"214","37","3168","How does the organization streamline the sourcing  & screening process and identify candidates with the right skills and education?","2","Manual standard talent-screening process","2.00","235","2023-09-28","admin","1695"
"215","38","3169","How to gauge candidate interest for a particular position?","2","Semi-automated with human in loop","2.00","235","2023-09-28","admin","1695"
"216","39","3170","What is the average time to screen 10 profiles for a role in days?","2","20","4.00","235","2023-09-28","admin","1696"
"217","44","3175","Does the organization leverage AI for preliminary interviewing ?","2","Applicant-tracking system","2.00","235","2023-09-28","admin","1700"
"218","45","3176","What is the average time taken to schedule the first round of interviews in days?","2","70","4.00","235","2023-09-28","admin","1701"
"219","46","3177","What is the average time taken to schedule subsequent round of interviews in days?","2","80","4.00","235","2023-09-28","admin","1702"
"220","47","3178","What is the average time taken to interview a candidate and provide feedback in hours?","2","14","4.00","235","2023-09-28","admin","1703"
"221","48","3179","What is the percentage of candidates clearing round 1?","2","75","4.00","235","2023-09-28","admin","1704"
"222","49","3180","What is the percentage of candidates clearing subsequent rounds?","2","80","4.00","235","2023-09-28","admin","1705"
"223","50","3181","What is the average time to complete a background check in days?","2","80","4.00","235","2023-09-28","admin","1706"
"224","51","3182","What is the average time to roll out the offer for a role in days?","2","70","4.00","235","2023-09-28","admin","1707"
"225","52","3183","What is the average time taken by a candidate to accept the offer in days?","2","60","4.00","235","2023-09-28","admin","1708"
"226","53","3184","What is the percentage of candidates rejecting the offer?","2","90","4.00","235","2023-09-28","admin","1709"
"227","56","3187","How does the organization measures the current state of the onboarding process in order to continuously improve employee experience?","2"," Onboarding reports and feedback from new-hire surveys to analyze trends and measure the effectiveness","2.00","235","2023-09-28","admin","1711"
"228","57","3188","New hires receiving basic training in first 3 months in percentage","2","80","1.00","235","2023-09-28","admin","1712"
"229","58","3189","Cost to onboard per hire in dollars","2","60","1.00","235","2023-09-28","admin","1713"
"230","59","3190","HR FTEs to onboard 100 candidates","2","90","4.00","235","2023-09-28","admin","1714"
"231","60","3191","Is there technology-enabled onboarding process to ensure 100% day 1 onboarding readiness?","2","No, but considering it for future","2.00","235","2023-09-28","admin","1711"
